#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720541.1         -            559 5407at5820           -            457  8.1e-251  830.9  24.6   1   1  2.5e-253  2.3e-250  829.4  24.6     2   457     3   500     2   500 0.94 | transcript=PVPAM_090030700_t1 | gene=PVPAM_090030700 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000009:1172849-1175347(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720542.1         -            566 5407at5820           -            457   4.6e-43  146.1  13.8   1   1   6.7e-46   6.2e-43  145.6  13.8    51   450   140   554   120   560 0.82 | transcript=PVPAM_090030800_t1 | gene=PVPAM_090030800 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000009:1176622-1178912(-) | protein_length=566 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723478.1         -            586 5407at5820           -            457   3.4e-37  126.7  13.8   1   1   5.6e-40   5.1e-37  126.1  13.8    46   431   128   527   122   549 0.80 | transcript=PVPAM_140040100_t1 | gene=PVPAM_140040100 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000014:1520948-1522708(-) | protein_length=586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722220.1         -            878 5407at5820           -            457     1e-20   72.4   0.1   1   3   1.7e-06    0.0016   15.7   0.0   264   320    15    72     1    82 0.78 | transcript=PVPAM_120045800_t1 | gene=PVPAM_120045800 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=CASCJQ010000012:1628851-1631615(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722220.1         -            878 5407at5820           -            457     1e-20   72.4   0.1   2   3   3.9e-17   3.6e-14   50.8   0.0   119   291    87   266    80   276 0.80 | transcript=PVPAM_120045800_t1 | gene=PVPAM_120045800 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=CASCJQ010000012:1628851-1631615(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722220.1         -            878 5407at5820           -            457     1e-20   72.4   0.1   3   3     0.033        30    1.6   0.1    67    88   295   316   280   325 0.85 | transcript=PVPAM_120045800_t1 | gene=PVPAM_120045800 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=CASCJQ010000012:1628851-1631615(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722282.1         -            647 5407at5820           -            457   8.8e-16   56.1  15.7   1   2   3.5e-16   3.2e-13   47.7   7.7    68   264    83   280    74   287 0.47 | transcript=PVPAM_120051900_t1 | gene=PVPAM_120051900 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000012:1898527-1900470(-) | protein_length=647 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722282.1         -            647 5407at5820           -            457   8.8e-16   56.1  15.7   2   2     2e-05     0.019   12.2   1.0   270   336   344   412   332   468 0.73 | transcript=PVPAM_120051900_t1 | gene=PVPAM_120051900 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000012:1898527-1900470(-) | protein_length=647 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720601.1         -           2386 5407at5820           -            457   2.2e-08   31.7   2.1   1   3     0.091        84    0.1   0.0    76   101  1190  1215  1176  1250 0.79 | transcript=PVPAM_090036500_t1 | gene=PVPAM_090036500 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000009:1392224-1399384(+) | protein_length=2386 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720601.1         -           2386 5407at5820           -            457   2.2e-08   31.7   2.1   2   3     0.019        18    2.3   0.0    77   138  1269  1342  1258  1365 0.74 | transcript=PVPAM_090036500_t1 | gene=PVPAM_090036500 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000009:1392224-1399384(+) | protein_length=2386 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720601.1         -           2386 5407at5820           -            457   2.2e-08   31.7   2.1   3   3   2.2e-09     2e-06   25.3   0.4   232   322  1446  1534  1428  1545 0.84 | transcript=PVPAM_090036500_t1 | gene=PVPAM_090036500 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000009:1392224-1399384(+) | protein_length=2386 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719139.1         -           1608 5407at5820           -            457    0.0009   16.5   0.6   1   3      0.15   1.4e+02   -0.5   0.1   162   196   551   586   500   594 0.47 | transcript=PVPAM_060014600_t1 | gene=PVPAM_060014600 | organism=Plasmodium_vivax_PAM | gene_product=tRNA wybutosine-synthesizing protein, putative | transcript_product=tRNA wybutosine-synthesizing protein, putative | location=CASCJQ010000006:393736-398562(-) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
