#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722825.1         -           1493 1634at5820           -           1163         0 1774.2 110.9   1   4    1e-281  5.6e-279  927.2  48.1     1   535     7   596     7   599 0.94 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722825.1         -           1493 1634at5820           -           1163         0 1774.2 110.9   2   4   9.9e-18   5.3e-15   53.0   3.7   522   590   651   722   643   738 0.84 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722825.1         -           1493 1634at5820           -           1163         0 1774.2 110.9   3   4   1.1e-48   6.1e-46  155.5   0.6   604   729   780   919   774   924 0.93 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722825.1         -           1493 1634at5820           -           1163         0 1774.2 110.9   4   4  2.4e-198  1.3e-195  651.1  36.1   740  1146   981  1401   956  1411 0.94 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719283.1         -            317 1634at5820           -           1163     2e-21   74.2  46.2   1   3   4.5e-08   2.4e-05   21.0  13.1   751   819    27    98    16   102 0.84 | transcript=PVPAM_060029000_t1 | gene=PVPAM_060029000 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000006:984401-985891(-) | protein_length=317 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719283.1         -            317 1634at5820           -           1163     2e-21   74.2  46.2   2   3   5.5e-11   2.9e-08   30.7   5.7    39   101    99   161    96   166 0.95 | transcript=PVPAM_060029000_t1 | gene=PVPAM_060029000 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000006:984401-985891(-) | protein_length=317 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719283.1         -            317 1634at5820           -           1163     2e-21   74.2  46.2   3   3   3.5e-12   1.9e-09   34.6  13.1  1007  1132   166   300   162   305 0.84 | transcript=PVPAM_060029000_t1 | gene=PVPAM_060029000 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000006:984401-985891(-) | protein_length=317 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720749.1         -            340 1634at5820           -           1163   1.4e-15   55.0  49.3   1   3     2e-13   1.1e-10   38.7   9.1   103   184   119   201    94   204 0.87 | transcript=PVPAM_090051300_t1 | gene=PVPAM_090051300 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000009:2058046-2059068(+) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720749.1         -            340 1634at5820           -           1163   1.4e-15   55.0  49.3   2   3   3.8e-10     2e-07   27.9  13.7  1008  1102   171   265   171   270 0.91 | transcript=PVPAM_090051300_t1 | gene=PVPAM_090051300 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000009:2058046-2059068(+) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720749.1         -            340 1634at5820           -           1163   1.4e-15   55.0  49.3   3   3   2.1e-06    0.0011   15.4  10.4    88   156   215   282   208   313 0.65 | transcript=PVPAM_090051300_t1 | gene=PVPAM_090051300 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000009:2058046-2059068(+) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721044.1         -            371 1634at5820           -           1163   2.2e-11   41.0  17.8   1   2   5.7e-14   3.1e-11   40.5  10.1    59   181    27   148    16   169 0.86 | transcript=PVPAM_100031200_t1 | gene=PVPAM_100031200 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000010:1136254-1137982(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721044.1         -            371 1634at5820           -           1163   2.2e-11   41.0  17.8   2   2     0.003       1.6    5.0   0.9   840   887   274   323   255   333 0.83 | transcript=PVPAM_100031200_t1 | gene=PVPAM_100031200 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000010:1136254-1137982(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721160.1         -            176 1634at5820           -           1163   7.7e-11   39.2  10.2   1   1   1.9e-13     1e-10   38.8  10.2   110   232    41   163     5   168 0.87 | transcript=PVPAM_110006200_t1 | gene=PVPAM_110006200 | organism=Plasmodium_vivax_PAM | gene_product=U2 small nuclear ribonucleoprotein A', putative | transcript_product=U2 small nuclear ribonucleoprotein A', putative | location=CASCJQ010000011:47761-49104(+) | protein_length=176 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721881.1         -            250 1634at5820           -           1163   2.6e-10   37.5  18.4   1   1   1.9e-12     1e-09   35.5  18.4    48   225    30   209    10   215 0.85 | transcript=PVPAM_120011500_t1 | gene=PVPAM_120011500 | organism=Plasmodium_vivax_PAM | gene_product=centrosomal protein CEP72, putative | transcript_product=centrosomal protein CEP72, putative | location=CASCJQ010000012:270052-271785(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718799.1         -            198 1634at5820           -           1163   3.7e-10   36.9   9.9   1   1   1.7e-12   9.3e-10   35.6   9.9   986  1137    27   188    11   196 0.79 | transcript=PVPAM_050019300_t1 | gene=PVPAM_050019300 | organism=Plasmodium_vivax_PAM | gene_product=dynein light chain 1, putative | transcript_product=dynein light chain 1, putative | location=CASCJQ010000005:638781-640263(+) | protein_length=198 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722365.1         -            361 1634at5820           -           1163   1.2e-07   28.6  40.3   1   2     2e-09   1.1e-06   25.5  18.6    57   168    24   137    17   140 0.77 | transcript=PVPAM_120060100_t1 | gene=PVPAM_120060100 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000012:2228762-2229847(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
