#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719309.1         -            437 4771at5820           -            726   0.00014   18.8  14.3   1   1   6.6e-07   0.00017   18.5  14.3   421   532   245   351   119   377 0.58 | transcript=PVPAM_060031600_t1 | gene=PVPAM_060031600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:1083235-1084548(+) | protein_length=437 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722718.1         -            360 4771at5820           -            726     0.016   12.0  28.9   1   1   8.6e-05     0.022   11.5  28.9   391   523    69   198    42   235 0.39 | transcript=PVPAM_130021900_t1 | gene=PVPAM_130021900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:763412-764644(+) | protein_length=360 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721999.1         -            420 4771at5820           -            726     0.036   10.8  10.7   1   1    0.0002     0.052   10.3  10.7   364   522    12   170    10   191 0.40 | transcript=PVPAM_120023800_t1 | gene=PVPAM_120023800 | organism=Plasmodium_vivax_PAM | gene_product=MSP7-like protein | transcript_product=MSP7-like protein | location=CASCJQ010000012:777286-778548(+) | protein_length=420 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717693.1         -            325 4771at5820           -            726     0.044   10.5  13.5   1   1   0.00022     0.057   10.2  13.5   371   543    14   198     7   237 0.41 | transcript=PVPAM_010020700_t1 | gene=PVPAM_010020700 | organism=Plasmodium_vivax_PAM | gene_product=mediator of RNA polymerase II transcription subunit 10, putative | transcript_product=mediator of RNA polymerase II transcription subunit 10, putative | location=CASCJQ010000001:749026-750003(+) | protein_length=325 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723404.1         -            436 4771at5820           -            726     0.065   10.0  13.7   1   1   0.00035     0.091    9.5  13.7   418   547    80   211    72   215 0.55 | transcript=PVPAM_140032600_t1 | gene=PVPAM_140032600 | organism=Plasmodium_vivax_PAM | gene_product=drug/metabolite transporter DMT1, putative | transcript_product=drug/metabolite transporter DMT1, putative | location=CASCJQ010000014:1186879-1188189(-) | protein_length=436 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723273.1         -            158 4771at5820           -            726     0.076    9.8  12.8   1   1   0.00026     0.067    9.9  12.8   452   521    87   155    13   158 0.61 | transcript=PVPAM_140019200_t1 | gene=PVPAM_140019200 | organism=Plasmodium_vivax_PAM | gene_product=PhIL1-interacting candidate PIC5, putative | transcript_product=PhIL1-interacting candidate PIC5, putative | location=CASCJQ010000014:645115-645591(-) | protein_length=158 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718108.1         -            824 4771at5820           -            726     0.085    9.6  18.2   1   1   0.00064      0.17    8.6  18.2   411   494   288   382   267   396 0.30 | transcript=PVPAM_030010400_t1 | gene=PVPAM_030010400 | organism=Plasmodium_vivax_PAM | gene_product=NYN domain-containing protein, putative | transcript_product=NYN domain-containing protein, putative | location=CASCJQ010000003:267451-270102(-) | protein_length=824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721622.1         -            332 4771at5820           -            726      0.16    8.7  14.9   1   1   0.00072      0.19    8.5  14.9   399   517    79   194    31   237 0.51 | transcript=PVPAM_110052600_t1 | gene=PVPAM_110052600 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=CASCJQ010000011:2005086-2006297(+) | protein_length=332 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720335.1         -            630 4771at5820           -            726      0.24    8.1  28.6   1   2     0.001      0.27    7.9  10.8   445   517   214   287   176   312 0.49 | transcript=PVPAM_090010100_t1 | gene=PVPAM_090010100 | organism=Plasmodium_vivax_PAM | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=CASCJQ010000009:324938-326830(+) | protein_length=630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720335.1         -            630 4771at5820           -            726      0.24    8.1  28.6   2   2    0.0039         1    6.0   9.8   434   524   402   458   342   492 0.42 | transcript=PVPAM_090010100_t1 | gene=PVPAM_090010100 | organism=Plasmodium_vivax_PAM | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=CASCJQ010000009:324938-326830(+) | protein_length=630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719968.1         -            525 4771at5820           -            726       0.3    7.8  25.0   1   1    0.0016      0.41    7.3  25.0   376   496   391   507   365   524 0.34 | transcript=PVPAM_080019000_t1 | gene=PVPAM_080019000 | organism=Plasmodium_vivax_PAM | gene_product=rho GTPase-activating protein, putative | transcript_product=rho GTPase-activating protein, putative | location=CASCJQ010000008:650867-653155(-) | protein_length=525 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
