#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720884.1         -            986 7767at5820           -            425  2.9e-197  654.3 148.6   1   5  2.9e-112  1.9e-109  365.0  15.5     1   203    14   217    14   228 0.82 | transcript=PVPAM_100015200_t1 | gene=PVPAM_100015200 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:446340-449300(-) | protein_length=986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720884.1         -            986 7767at5820           -            425  2.9e-197  654.3 148.6   2   5   0.00058      0.38    8.1  41.0   147   306   230   402   220   421 0.65 | transcript=PVPAM_100015200_t1 | gene=PVPAM_100015200 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:446340-449300(-) | protein_length=986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720884.1         -            986 7767at5820           -            425  2.9e-197  654.3 148.6   3   5     1e-23   6.6e-21   73.2  29.0   163   279   452   578   411   582 0.73 | transcript=PVPAM_100015200_t1 | gene=PVPAM_100015200 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:446340-449300(-) | protein_length=986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720884.1         -            986 7767at5820           -            425  2.9e-197  654.3 148.6   4   5   4.6e-47     3e-44  150.2  26.9   208   379   619   790   599   831 0.77 | transcript=PVPAM_100015200_t1 | gene=PVPAM_100015200 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:446340-449300(-) | protein_length=986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720884.1         -            986 7767at5820           -            425  2.9e-197  654.3 148.6   5   5   1.3e-26   8.5e-24   82.8   4.4   374   425   935   986   919   986 0.89 | transcript=PVPAM_100015200_t1 | gene=PVPAM_100015200 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:446340-449300(-) | protein_length=986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719506.1         -            839 7767at5820           -            425   7.3e-35  119.2  16.4   1   5   1.1e-37   7.3e-35  119.2  16.4     5   131    38   164    34   222 0.79 | transcript=PVPAM_070012000_t1 | gene=PVPAM_070012000 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000007:395318-397837(-) | protein_length=839 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719506.1         -            839 7767at5820           -            425   7.3e-35  119.2  16.4   2   5     0.054        35    1.7   0.9   165   219   165   224   154   247 0.78 | transcript=PVPAM_070012000_t1 | gene=PVPAM_070012000 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000007:395318-397837(-) | protein_length=839 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719506.1         -            839 7767at5820           -            425   7.3e-35  119.2  16.4   3   5        10   6.5e+03   -8.9  13.7   149   238   315   400   293   449 0.66 | transcript=PVPAM_070012000_t1 | gene=PVPAM_070012000 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000007:395318-397837(-) | protein_length=839 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719506.1         -            839 7767at5820           -            425   7.3e-35  119.2  16.4   4   5        10   6.5e+03  -23.7  38.1   121   276   454   608   445   631 0.61 | transcript=PVPAM_070012000_t1 | gene=PVPAM_070012000 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000007:395318-397837(-) | protein_length=839 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719506.1         -            839 7767at5820           -            425   7.3e-35  119.2  16.4   5   5        10   6.5e+03  -23.5  28.0   204   260   625   654   564   710 0.36 | transcript=PVPAM_070012000_t1 | gene=PVPAM_070012000 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000007:395318-397837(-) | protein_length=839 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719982.1         -            514 7767at5820           -            425   8.4e-26   89.4   7.0   1   3   1.3e-28   8.4e-26   89.4   7.0     4   120     9   128     6   173 0.85 | transcript=PVPAM_080020400_t1 | gene=PVPAM_080020400 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger (CCCH type) protein, putative | transcript_product=zinc finger (CCCH type) protein, putative | location=CASCJQ010000008:727351-728895(+) | protein_length=514 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719982.1         -            514 7767at5820           -            425   8.4e-26   89.4   7.0   2   3      0.12        80    0.5   1.2   214   265   249   301   224   337 0.63 | transcript=PVPAM_080020400_t1 | gene=PVPAM_080020400 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger (CCCH type) protein, putative | transcript_product=zinc finger (CCCH type) protein, putative | location=CASCJQ010000008:727351-728895(+) | protein_length=514 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719982.1         -            514 7767at5820           -            425   8.4e-26   89.4   7.0   3   3      0.59   3.8e+02   -1.8   0.5   235   263   456   484   418   510 0.43 | transcript=PVPAM_080020400_t1 | gene=PVPAM_080020400 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger (CCCH type) protein, putative | transcript_product=zinc finger (CCCH type) protein, putative | location=CASCJQ010000008:727351-728895(+) | protein_length=514 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721271.1         -            965 7767at5820           -            425   5.3e-22   76.9   6.2   1   4   8.1e-25   5.3e-22   76.9   6.2    14   117     8   113     3   122 0.91 | transcript=PVPAM_110017300_t1 | gene=PVPAM_110017300 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000011:526903-529800(-) | protein_length=965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721271.1         -            965 7767at5820           -            425   5.3e-22   76.9   6.2   2   4        10   6.5e+03  -24.4  32.8   167   323   179   334   171   378 0.53 | transcript=PVPAM_110017300_t1 | gene=PVPAM_110017300 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000011:526903-529800(-) | protein_length=965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721271.1         -            965 7767at5820           -            425   5.3e-22   76.9   6.2   3   4       5.7   3.7e+03   -5.0   5.5   219   267   502   551   457   589 0.59 | transcript=PVPAM_110017300_t1 | gene=PVPAM_110017300 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000011:526903-529800(-) | protein_length=965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
