#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719253.1         -            441 5959at5820           -            374  8.4e-224  740.7  16.0   1   1  1.8e-226    2e-223  739.5  16.0     1   365     1   401     1   406 0.94 | transcript=PVPAM_060026000_t1 | gene=PVPAM_060026000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000006:877027-878352(-) | protein_length=441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722175.1         -            443 5959at5820           -            374   2.6e-11   41.5   0.2   1   1   3.7e-14     4e-11   40.8   0.2   308   367   347   406   337   411 0.90 | transcript=PVPAM_120041300_t1 | gene=PVPAM_120041300 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000012:1426294-1427794(+) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719201.1         -            446 5959at5820           -            374   2.4e-07   28.4   0.0   1   1     6e-10   6.4e-07   27.0   0.0   256   356   334   433   320   442 0.92 | transcript=PVPAM_060020800_t1 | gene=PVPAM_060020800 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000006:683043-685057(-) | protein_length=446 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721304.1         -            988 5959at5820           -            374   0.00095   16.6   0.0   1   4     0.036        39    1.4   0.8   132   174    82   123    66   144 0.77 | transcript=PVPAM_110020700_t1 | gene=PVPAM_110020700 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000011:668060-671026(+) | protein_length=988 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721304.1         -            988 5959at5820           -            374   0.00095   16.6   0.0   2   4      0.32   3.5e+02   -1.7   1.0   321   361   237   273   190   284 0.58 | transcript=PVPAM_110020700_t1 | gene=PVPAM_110020700 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000011:668060-671026(+) | protein_length=988 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721304.1         -            988 5959at5820           -            374   0.00095   16.6   0.0   3   4     0.061        65    0.6   0.0   237   301   733   798   692   811 0.76 | transcript=PVPAM_110020700_t1 | gene=PVPAM_110020700 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000011:668060-671026(+) | protein_length=988 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721304.1         -            988 5959at5820           -            374   0.00095   16.6   0.0   4   4   8.9e-07   0.00095   16.6   0.0   309   358   867   916   855   927 0.83 | transcript=PVPAM_110020700_t1 | gene=PVPAM_110020700 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000011:668060-671026(+) | protein_length=988 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721979.1         -            635 5959at5820           -            374     0.003   14.9   4.9   1   1   4.1e-06    0.0044   14.4   4.9   134   249   439   554   398   573 0.76 | transcript=PVPAM_120021800_t1 | gene=PVPAM_120021800 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000012:707767-710269(-) | protein_length=635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723603.1         -           1230 5959at5820           -            374     0.071   10.4  12.4   1   4     0.039        42    1.3   0.6   153   266   441   557   422   566 0.59 | transcript=PVPAM_140052700_t1 | gene=PVPAM_140052700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:2053095-2056787(+) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723603.1         -           1230 5959at5820           -            374     0.071   10.4  12.4   2   4      0.74   7.9e+02   -2.9   0.1    64   113   640   690   625   766 0.67 | transcript=PVPAM_140052700_t1 | gene=PVPAM_140052700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:2053095-2056787(+) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723603.1         -           1230 5959at5820           -            374     0.071   10.4  12.4   3   4    0.0013       1.4    6.2   0.0   244   297   891   947   871   951 0.74 | transcript=PVPAM_140052700_t1 | gene=PVPAM_140052700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:2053095-2056787(+) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
