#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717675.1         -            832 2617at5820           -            738         0 1652.5   9.9   1   1         0         0 1652.3   9.9     1   738    13   806    13   806 0.98 | transcript=PVPAM_010018500_t1 | gene=PVPAM_010018500 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM7, putative | transcript_product=DNA replication licensing factor MCM7, putative | location=CASCJQ010000001:655820-658318(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721305.1         -            944 2617at5820           -            738   4.6e-90  301.1   8.2   1   2   1.5e-13   1.2e-10   38.5   0.1   161   294   218   349   209   361 0.86 | transcript=PVPAM_110020800_t1 | gene=PVPAM_110020800 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=CASCJQ010000011:671628-674462(-) | protein_length=944 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721305.1         -            944 2617at5820           -            738   4.6e-90  301.1   8.2   2   2   6.3e-82   5.1e-79  264.6   5.1   251   666   349   764   347   829 0.81 | transcript=PVPAM_110020800_t1 | gene=PVPAM_110020800 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=CASCJQ010000011:671628-674462(-) | protein_length=944 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723338.1         -            955 2617at5820           -            738   5.3e-85  284.4   7.7   1   3   2.4e-06    0.0019   14.7   0.5   175   292   280   404   268   456 0.69 | transcript=PVPAM_140025700_t1 | gene=PVPAM_140025700 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=CASCJQ010000014:900877-903744(+) | protein_length=955 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723338.1         -            955 2617at5820           -            738   5.3e-85  284.4   7.7   2   3   3.9e-82   3.2e-79  265.3   0.5   317   553   459   697   455   720 0.93 | transcript=PVPAM_140025700_t1 | gene=PVPAM_140025700 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=CASCJQ010000014:900877-903744(+) | protein_length=955 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723338.1         -            955 2617at5820           -            738   5.3e-85  284.4   7.7   3   3   0.00052      0.42    7.0   0.0   621   656   816   854   757   867 0.68 | transcript=PVPAM_140025700_t1 | gene=PVPAM_140025700 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=CASCJQ010000014:900877-903744(+) | protein_length=955 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722762.1         -            758 2617at5820           -            738   9.6e-75  250.5   0.3   1   1   1.7e-77   1.4e-74  249.9   0.3   241   650   260   664   240   706 0.88 | transcript=PVPAM_130026300_t1 | gene=PVPAM_130026300 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM5, putative | transcript_product=DNA replication licensing factor MCM5, putative | location=CASCJQ010000013:971149-973889(+) | protein_length=758 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722954.1         -            972 2617at5820           -            738   1.2e-72  243.5   0.4   1   2   2.6e-14   2.1e-11   41.1   0.0   220   379   367   519   305   530 0.73 | transcript=PVPAM_130046000_t1 | gene=PVPAM_130046000 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM2, putative | transcript_product=DNA replication licensing factor MCM2, putative | location=CASCJQ010000013:1768405-1771500(-) | protein_length=972 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722954.1         -            972 2617at5820           -            738   1.2e-72  243.5   0.4   2   2   1.6e-62   1.3e-59  200.4   0.1   382   655   546   840   537   864 0.87 | transcript=PVPAM_130046000_t1 | gene=PVPAM_130046000 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM2, putative | transcript_product=DNA replication licensing factor MCM2, putative | location=CASCJQ010000013:1768405-1771500(-) | protein_length=972 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720862.1         -            971 2617at5820           -            738   9.4e-65  217.4   7.9   1   3   1.9e-67   1.6e-64  216.7   0.2   239   556   285   600   275   623 0.90 | transcript=PVPAM_100013000_t1 | gene=PVPAM_100013000 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=CASCJQ010000010:352385-355420(+) | protein_length=971 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720862.1         -            971 2617at5820           -            738   9.4e-65  217.4   7.9   2   3    0.0014       1.1    5.6   0.0   587   642   709   762   686   778 0.80 | transcript=PVPAM_100013000_t1 | gene=PVPAM_100013000 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=CASCJQ010000010:352385-355420(+) | protein_length=971 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
