#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720630.1         -           1575 1728at5820           -           1097         0 1565.6 128.0   1   9   1.1e-06    0.0072   12.6   0.0     1    25     1    25     1    29 0.91 | transcript=PVPAM_090039400_t1 | gene=PVPAM_090039400 | organism=Plasmodium_vivax_PAM | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=CASCJQ010000009:1516971-1521800(+) | protein_length=1575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720630.1         -           1575 1728at5820           -           1097         0 1565.6 128.0   2   9   2.3e-26   1.5e-22   77.8   0.8    19   108    42   153    34   159 0.82 | transcript=PVPAM_090039400_t1 | gene=PVPAM_090039400 | organism=Plasmodium_vivax_PAM | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=CASCJQ010000009:1516971-1521800(+) | protein_length=1575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720630.1         -           1575 1728at5820           -           1097         0 1565.6 128.0   3   9   1.9e-80   1.3e-76  256.9  15.8   104   301   186   416   184   420 0.92 | transcript=PVPAM_090039400_t1 | gene=PVPAM_090039400 | organism=Plasmodium_vivax_PAM | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=CASCJQ010000009:1516971-1521800(+) | protein_length=1575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720630.1         -           1575 1728at5820           -           1097         0 1565.6 128.0   4   9     6e-81   3.9e-77  258.5  14.4   299   475   459   652   444   686 0.87 | transcript=PVPAM_090039400_t1 | gene=PVPAM_090039400 | organism=Plasmodium_vivax_PAM | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=CASCJQ010000009:1516971-1521800(+) | protein_length=1575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720630.1         -           1575 1728at5820           -           1097         0 1565.6 128.0   5   9   2.2e-64   1.4e-60  203.7   8.3   492   612   754   874   726   894 0.85 | transcript=PVPAM_090039400_t1 | gene=PVPAM_090039400 | organism=Plasmodium_vivax_PAM | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=CASCJQ010000009:1516971-1521800(+) | protein_length=1575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720630.1         -           1575 1728at5820           -           1097         0 1565.6 128.0   6   9   1.3e-23   8.3e-20   68.7   7.5   620   686   933  1018   930  1024 0.78 | transcript=PVPAM_090039400_t1 | gene=PVPAM_090039400 | organism=Plasmodium_vivax_PAM | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=CASCJQ010000009:1516971-1521800(+) | protein_length=1575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720630.1         -           1575 1728at5820           -           1097         0 1565.6 128.0   7   9   2.1e-29   1.4e-25   87.8   2.3   681   758  1041  1118  1032  1127 0.91 | transcript=PVPAM_090039400_t1 | gene=PVPAM_090039400 | organism=Plasmodium_vivax_PAM | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=CASCJQ010000009:1516971-1521800(+) | protein_length=1575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720630.1         -           1575 1728at5820           -           1097         0 1565.6 128.0   8   9   2.4e-69   1.5e-65  220.1  13.4   743   888  1148  1297  1125  1303 0.90 | transcript=PVPAM_090039400_t1 | gene=PVPAM_090039400 | organism=Plasmodium_vivax_PAM | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=CASCJQ010000009:1516971-1521800(+) | protein_length=1575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720630.1         -           1575 1728at5820           -           1097         0 1565.6 128.0   9   9  2.7e-129  1.7e-125  418.6  10.7   884  1097  1356  1575  1352  1575 0.96 | transcript=PVPAM_090039400_t1 | gene=PVPAM_090039400 | organism=Plasmodium_vivax_PAM | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=CASCJQ010000009:1516971-1521800(+) | protein_length=1575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1728at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1728at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1728at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:26 2026
# [ok]
