#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718159.1         -           1746 598at5820            -           1293         0 2411.3 128.1   1   6   3.1e-72   6.7e-69  231.5  15.1     1   143     1   154     1   168 0.94 | transcript=PVPAM_030015900_t1 | gene=PVPAM_030015900 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase alpha catalytic subunit A, putative | transcript_product=DNA polymerase alpha catalytic subunit A, putative | location=CASCJQ010000003:470841-476677(-) | protein_length=1746 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718159.1         -           1746 598at5820            -           1293         0 2411.3 128.1   2   6  2.4e-108  5.2e-105  351.1  18.5   143   341   377   577   352   585 0.95 | transcript=PVPAM_030015900_t1 | gene=PVPAM_030015900 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase alpha catalytic subunit A, putative | transcript_product=DNA polymerase alpha catalytic subunit A, putative | location=CASCJQ010000003:470841-476677(-) | protein_length=1746 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718159.1         -           1746 598at5820            -           1293         0 2411.3 128.1   3   6  2.2e-100   4.7e-97  324.8  10.1   343   519   635   821   629   831 0.95 | transcript=PVPAM_030015900_t1 | gene=PVPAM_030015900 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase alpha catalytic subunit A, putative | transcript_product=DNA polymerase alpha catalytic subunit A, putative | location=CASCJQ010000003:470841-476677(-) | protein_length=1746 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718159.1         -           1746 598at5820            -           1293         0 2411.3 128.1   4   6  5.8e-104  1.3e-100  336.6   4.6   518   681   861  1024   852  1032 0.97 | transcript=PVPAM_030015900_t1 | gene=PVPAM_030015900 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase alpha catalytic subunit A, putative | transcript_product=DNA polymerase alpha catalytic subunit A, putative | location=CASCJQ010000003:470841-476677(-) | protein_length=1746 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718159.1         -           1746 598at5820            -           1293         0 2411.3 128.1   5   6         0         0 1037.3  38.7   681  1189  1077  1607  1070  1615 0.98 | transcript=PVPAM_030015900_t1 | gene=PVPAM_030015900 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase alpha catalytic subunit A, putative | transcript_product=DNA polymerase alpha catalytic subunit A, putative | location=CASCJQ010000003:470841-476677(-) | protein_length=1746 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718159.1         -           1746 598at5820            -           1293         0 2411.3 128.1   6   6   1.3e-50   2.8e-47  159.9   1.7  1190  1293  1633  1746  1628  1746 0.94 | transcript=PVPAM_030015900_t1 | gene=PVPAM_030015900 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase alpha catalytic subunit A, putative | transcript_product=DNA polymerase alpha catalytic subunit A, putative | location=CASCJQ010000003:470841-476677(-) | protein_length=1746 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719122.1         -           1096 598at5820            -           1293   4.4e-49  165.8  21.3   1   2   3.6e-15   7.7e-12   42.4   0.8   394   525   363   492   331   500 0.81 | transcript=PVPAM_060012900_t1 | gene=PVPAM_060012900 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase delta catalytic subunit, putative | transcript_product=DNA polymerase delta catalytic subunit, putative | location=CASCJQ010000006:343929-347219(+) | protein_length=1096 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719122.1         -           1096 598at5820            -           1293   4.4e-49  165.8  21.3   2   2   1.5e-40   3.2e-37  126.5  13.7   627   950   566   906   539   950 0.78 | transcript=PVPAM_060012900_t1 | gene=PVPAM_060012900 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase delta catalytic subunit, putative | transcript_product=DNA polymerase delta catalytic subunit, putative | location=CASCJQ010000006:343929-347219(+) | protein_length=1096 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719318.1         -           1907 598at5820            -           1293   4.5e-10   36.6  13.6   1   5      0.14     3e+02   -2.6   6.0   374   493   698   807   659   829 0.71 | transcript=PVPAM_060032500_t1 | gene=PVPAM_060032500 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase zeta catalytic subunit, putative | transcript_product=DNA polymerase zeta catalytic subunit, putative | location=CASCJQ010000006:1120991-1127220(+) | protein_length=1907 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719318.1         -           1907 598at5820            -           1293   4.5e-10   36.6  13.6   2   5   2.3e-07   0.00049   16.6   0.1   644   680   956   992   949  1002 0.84 | transcript=PVPAM_060032500_t1 | gene=PVPAM_060032500 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase zeta catalytic subunit, putative | transcript_product=DNA polymerase zeta catalytic subunit, putative | location=CASCJQ010000006:1120991-1127220(+) | protein_length=1907 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719318.1         -           1907 598at5820            -           1293   4.5e-10   36.6  13.6   3   5   3.5e-12   7.6e-09   32.5   9.0   688   887  1167  1360  1155  1367 0.87 | transcript=PVPAM_060032500_t1 | gene=PVPAM_060032500 | organism=Plasmodium_vivax_PAM | gene_product=DNA polymerase zeta catalytic subunit, putative | transcript_product=DNA polymerase zeta catalytic subunit, putative | location=CASCJQ010000006:1120991-1127220(+) | protein_length=1907 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
