#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718204.1         -            315 12613at5820          -            173   1.3e-74  248.6  14.4   1   3   1.7e-74   5.9e-72  239.9  12.8     1   150    51   216    51   220 0.90 | transcript=PVPAM_030020400_t1 | gene=PVPAM_030020400 | organism=Plasmodium_vivax_PAM | gene_product=pre-rRNA-processing protein ESF2, putative | transcript_product=pre-rRNA-processing protein ESF2, putative | location=CASCJQ010000003:665003-665950(-) | protein_length=315 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718204.1         -            315 12613at5820          -            173   1.3e-74  248.6  14.4   2   3       1.5   5.4e+02   -0.9   0.0   151   162   257   268   254   275 0.81 | transcript=PVPAM_030020400_t1 | gene=PVPAM_030020400 | organism=Plasmodium_vivax_PAM | gene_product=pre-rRNA-processing protein ESF2, putative | transcript_product=pre-rRNA-processing protein ESF2, putative | location=CASCJQ010000003:665003-665950(-) | protein_length=315 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718204.1         -            315 12613at5820          -            173   1.3e-74  248.6  14.4   3   3      0.17        61    2.2   0.0   157   173   299   315   298   315 0.91 | transcript=PVPAM_030020400_t1 | gene=PVPAM_030020400 | organism=Plasmodium_vivax_PAM | gene_product=pre-rRNA-processing protein ESF2, putative | transcript_product=pre-rRNA-processing protein ESF2, putative | location=CASCJQ010000003:665003-665950(-) | protein_length=315 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 12613at5820          -            173   5.5e-09   34.9   7.5   1   4   0.00053      0.19   10.4   0.0    24    94    18    86    12    94 0.84 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 12613at5820          -            173   5.5e-09   34.9   7.5   2   4      0.13        46    2.6   0.1    19    93   101   172    89   180 0.80 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 12613at5820          -            173   5.5e-09   34.9   7.5   3   4   0.00014     0.049   12.3   0.1    17    91   188   257   179   262 0.85 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 12613at5820          -            173   5.5e-09   34.9   7.5   4   4   0.00032      0.12   11.1   0.1    19    93   445   517   433   526 0.82 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 12613at5820          -            173   1.8e-06   26.8   0.2   1   3   0.00068      0.24   10.0   0.0    25    89    91   153    87   157 0.91 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 12613at5820          -            173   1.8e-06   26.8   0.2   2   3   5.9e-05     0.021   13.5   0.0    24    88   189   251   181   265 0.81 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 12613at5820          -            173   1.8e-06   26.8   0.2   3   3       4.2   1.5e+03   -2.3   0.0    22    57   414   451   376   472 0.56 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721566.1         -            747 12613at5820          -            173   4.7e-06   25.4   3.9   1   3     0.022       7.9    5.1   0.3    11    91   392   467   386   492 0.77 | transcript=PVPAM_110047100_t1 | gene=PVPAM_110047100 | organism=Plasmodium_vivax_PAM | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=CASCJQ010000011:1758675-1761668(+) | protein_length=747 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
