#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717952.1         -            159 14674at5820          -            109   1.4e-38  129.9  24.8   1   3   9.9e-08     8e-05   21.3   0.4     1    23     1    23     1    29 0.94 | transcript=PVPAM_020018400_t1 | gene=PVPAM_020018400 | organism=Plasmodium_vivax_PAM | gene_product=thrombospondin-related sporozoite protein, putative | transcript_product=thrombospondin-related sporozoite protein, putative | location=CASCJQ010000002:559060-560017(-) | protein_length=159 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717952.1         -            159 14674at5820          -            109   1.4e-38  129.9  24.8   2   3     1e-23   8.1e-21   72.7   7.1    17    72    40   102    34   112 0.87 | transcript=PVPAM_020018400_t1 | gene=PVPAM_020018400 | organism=Plasmodium_vivax_PAM | gene_product=thrombospondin-related sporozoite protein, putative | transcript_product=thrombospondin-related sporozoite protein, putative | location=CASCJQ010000002:559060-560017(-) | protein_length=159 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717952.1         -            159 14674at5820          -            109   1.4e-38  129.9  24.8   3   3   1.6e-15   1.3e-12   46.3   4.6    56   109   106   159   101   159 0.83 | transcript=PVPAM_020018400_t1 | gene=PVPAM_020018400 | organism=Plasmodium_vivax_PAM | gene_product=thrombospondin-related sporozoite protein, putative | transcript_product=thrombospondin-related sporozoite protein, putative | location=CASCJQ010000002:559060-560017(-) | protein_length=159 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720151.1         -           2147 14674at5820          -            109   2.4e-11   42.2  44.2   1   7     0.019        15    4.3   0.7    29    43  1551  1565  1538  1583 0.80 | transcript=PVPAM_080037300_t1 | gene=PVPAM_080037300 | organism=Plasmodium_vivax_PAM | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=CASCJQ010000008:1463841-1470284(-) | protein_length=2147 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720151.1         -           2147 14674at5820          -            109   2.4e-11   42.2  44.2   2   7   8.3e-06    0.0067   15.1   0.3    29    55  1624  1650  1617  1656 0.87 | transcript=PVPAM_080037300_t1 | gene=PVPAM_080037300 | organism=Plasmodium_vivax_PAM | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=CASCJQ010000008:1463841-1470284(-) | protein_length=2147 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720151.1         -           2147 14674at5820          -            109   2.4e-11   42.2  44.2   3   7   4.1e-06    0.0033   16.0   2.7    27    71  1692  1743  1687  1751 0.71 | transcript=PVPAM_080037300_t1 | gene=PVPAM_080037300 | organism=Plasmodium_vivax_PAM | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=CASCJQ010000008:1463841-1470284(-) | protein_length=2147 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720151.1         -           2147 14674at5820          -            109   2.4e-11   42.2  44.2   4   7      0.68   5.5e+02   -0.7   2.5    30    45  1751  1766  1749  1775 0.79 | transcript=PVPAM_080037300_t1 | gene=PVPAM_080037300 | organism=Plasmodium_vivax_PAM | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=CASCJQ010000008:1463841-1470284(-) | protein_length=2147 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720151.1         -           2147 14674at5820          -            109   2.4e-11   42.2  44.2   5   7     8e-08   6.4e-05   21.6   0.5    30    56  1839  1865  1836  1883 0.89 | transcript=PVPAM_080037300_t1 | gene=PVPAM_080037300 | organism=Plasmodium_vivax_PAM | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=CASCJQ010000008:1463841-1470284(-) | protein_length=2147 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720151.1         -           2147 14674at5820          -            109   2.4e-11   42.2  44.2   6   7      0.43   3.4e+02   -0.1   0.3    30    47  1899  1916  1895  1939 0.81 | transcript=PVPAM_080037300_t1 | gene=PVPAM_080037300 | organism=Plasmodium_vivax_PAM | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=CASCJQ010000008:1463841-1470284(-) | protein_length=2147 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720151.1         -           2147 14674at5820          -            109   2.4e-11   42.2  44.2   7   7    0.0002      0.16   10.6   0.3    31    47  1982  1998  1979  2011 0.78 | transcript=PVPAM_080037300_t1 | gene=PVPAM_080037300 | organism=Plasmodium_vivax_PAM | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=CASCJQ010000008:1463841-1470284(-) | protein_length=2147 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720257.1         -            377 14674at5820          -            109   6.7e-06   24.7   0.0   1   1   1.3e-08   1.1e-05   24.0   0.0    35    74   310   353   301   376 0.77 | transcript=PVPAM_080048000_t1 | gene=PVPAM_080048000 | organism=Plasmodium_vivax_PAM | gene_product=circumsporozoite (CS) protein | transcript_product=circumsporozoite (CS) protein | location=CASCJQ010000008:1866303-1867436(+) | protein_length=377 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721466.1         -           1488 14674at5820          -            109   0.00015   20.3   0.4   1   2   1.9e-07   0.00015   20.3   0.4    14    53   245   285   233   295 0.71 | transcript=PVPAM_110037100_t1 | gene=PVPAM_110037100 | organism=Plasmodium_vivax_PAM | gene_product=TRAP-like protein, putative | transcript_product=TRAP-like protein, putative | location=CASCJQ010000011:1346879-1351345(-) | protein_length=1488 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721466.1         -           1488 14674at5820          -            109   0.00015   20.3   0.4   2   2       6.2     5e+03   -3.8   0.2    57    78   545   566   542   568 0.82 | transcript=PVPAM_110037100_t1 | gene=PVPAM_110037100 | organism=Plasmodium_vivax_PAM | gene_product=TRAP-like protein, putative | transcript_product=TRAP-like protein, putative | location=CASCJQ010000011:1346879-1351345(-) | protein_length=1488 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723523.1         -            340 14674at5820          -            109    0.0011   17.5   1.7   1   1   5.5e-06    0.0045   15.6   1.7    32    72   234   279   223   323 0.64 | transcript=PVPAM_140044700_t1 | gene=PVPAM_140044700 | organism=Plasmodium_vivax_PAM | gene_product=thrombospondin-related apical membrane protein | transcript_product=thrombospondin-related apical membrane protein | location=CASCJQ010000014:1658727-1659749(+) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721993.1         -            556 14674at5820          -            109    0.0013   17.4   1.7   1   1   3.4e-06    0.0027   16.3   1.7    28    62   237   270   220   282 0.75 | transcript=PVPAM_120023200_t1 | gene=PVPAM_120023200 | organism=Plasmodium_vivax_PAM | gene_product=thrombospondin-related anonymous protein, putative | transcript_product=thrombospondin-related anonymous protein, putative | location=CASCJQ010000012:753859-755529(+) | protein_length=556 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718797.1         -            695 14674at5820          -            109    0.0095   14.6   0.9   1   3       1.3     1e+03   -1.6   0.1    56    89   167   200   158   208 0.73 | transcript=PVPAM_050019100_t1 | gene=PVPAM_050019100 | organism=Plasmodium_vivax_PAM | gene_product=thrombospondin-related protein 1, putative | transcript_product=thrombospondin-related protein 1, putative | location=CASCJQ010000005:630715-632802(+) | protein_length=695 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718797.1         -            695 14674at5820          -            109    0.0095   14.6   0.9   2   3   1.2e-05    0.0095   14.6   0.9    30    45   332   347   321   383 0.83 | transcript=PVPAM_050019100_t1 | gene=PVPAM_050019100 | organism=Plasmodium_vivax_PAM | gene_product=thrombospondin-related protein 1, putative | transcript_product=thrombospondin-related protein 1, putative | location=CASCJQ010000005:630715-632802(+) | protein_length=695 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
