#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721351.1         -           2597 352at5820            -           1432         0 2312.1 206.3   1   9   3.4e-17   1.3e-14   51.3   0.6     9    71    80   142    76   184 0.87 | transcript=PVPAM_110025400_t1 | gene=PVPAM_110025400 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=CASCJQ010000011:864280-872073(-) | protein_length=2597 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721351.1         -           2597 352at5820            -           1432         0 2312.1 206.3   2   9   1.9e-87   7.4e-85  284.1  35.9    69   314   429   730   413   746 0.76 | transcript=PVPAM_110025400_t1 | gene=PVPAM_110025400 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=CASCJQ010000011:864280-872073(-) | protein_length=2597 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721351.1         -           2597 352at5820            -           1432         0 2312.1 206.3   3   9    0.0019      0.71    5.8   3.4   285   328   862   906   858   920 0.85 | transcript=PVPAM_110025400_t1 | gene=PVPAM_110025400 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=CASCJQ010000011:864280-872073(-) | protein_length=2597 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721351.1         -           2597 352at5820            -           1432         0 2312.1 206.3   4   9   1.1e-42   4.1e-40  135.8  12.2   315   411   926  1022   910  1029 0.87 | transcript=PVPAM_110025400_t1 | gene=PVPAM_110025400 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=CASCJQ010000011:864280-872073(-) | protein_length=2597 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721351.1         -           2597 352at5820            -           1432         0 2312.1 206.3   5   9   5.3e-79     2e-76  256.2   7.3   397   562  1073  1249  1053  1253 0.90 | transcript=PVPAM_110025400_t1 | gene=PVPAM_110025400 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=CASCJQ010000011:864280-872073(-) | protein_length=2597 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721351.1         -           2597 352at5820            -           1432         0 2312.1 206.3   6   9  5.5e-153  2.1e-150  501.3  49.8   560   918  1312  1724  1311  1739 0.86 | transcript=PVPAM_110025400_t1 | gene=PVPAM_110025400 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=CASCJQ010000011:864280-872073(-) | protein_length=2597 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721351.1         -           2597 352at5820            -           1432         0 2312.1 206.3   7   9      0.35   1.3e+02   -1.7   0.6   887   910  1743  1766  1731  1777 0.87 | transcript=PVPAM_110025400_t1 | gene=PVPAM_110025400 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=CASCJQ010000011:864280-872073(-) | protein_length=2597 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721351.1         -           2597 352at5820            -           1432         0 2312.1 206.3   8   9  1.7e-147  6.5e-145  483.1  28.2   896  1170  1777  2087  1771  2098 0.87 | transcript=PVPAM_110025400_t1 | gene=PVPAM_110025400 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=CASCJQ010000011:864280-872073(-) | protein_length=2597 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721351.1         -           2597 352at5820            -           1432         0 2312.1 206.3   9   9  8.8e-193  3.3e-190  633.2   8.4  1162  1432  2240  2514  2154  2514 0.89 | transcript=PVPAM_110025400_t1 | gene=PVPAM_110025400 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=CASCJQ010000011:864280-872073(-) | protein_length=2597 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722441.1         -           1526 352at5820            -           1432   1.8e-13   47.5  26.9   1   4    0.0086       3.3    3.6  10.5   873  1046   393   567   356   585 0.59 | transcript=PVPAM_120067800_t1 | gene=PVPAM_120067800 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | location=CASCJQ010000012:2556552-2561283(+) | protein_length=1526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722441.1         -           1526 352at5820            -           1432   1.8e-13   47.5  26.9   2   4   7.7e-13   2.9e-10   36.9   4.5  1172  1283   571   675   553   683 0.76 | transcript=PVPAM_120067800_t1 | gene=PVPAM_120067800 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | location=CASCJQ010000012:2556552-2561283(+) | protein_length=1526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
