#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720113.1         -           1727 555at5820            -           1342         0 2686.6  68.0   1   5  4.9e-156  5.3e-153  509.9   8.9     1   252    10   270    10   275 0.97 | transcript=PVPAM_080033500_t1 | gene=PVPAM_080033500 | organism=Plasmodium_vivax_PAM | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=CASCJQ010000008:1280951-1286134(-) | protein_length=1727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720113.1         -           1727 555at5820            -           1342         0 2686.6  68.0   2   5  3.1e-133  3.3e-130  434.4   9.8   251   452   340   546   332   551 0.97 | transcript=PVPAM_080033500_t1 | gene=PVPAM_080033500 | organism=Plasmodium_vivax_PAM | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=CASCJQ010000008:1280951-1286134(-) | protein_length=1727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720113.1         -           1727 555at5820            -           1342         0 2686.6  68.0   3   5   2.2e-34   2.4e-31  106.8   0.2   462   522   646   706   625   713 0.89 | transcript=PVPAM_080033500_t1 | gene=PVPAM_080033500 | organism=Plasmodium_vivax_PAM | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=CASCJQ010000008:1280951-1286134(-) | protein_length=1727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720113.1         -           1727 555at5820            -           1342         0 2686.6  68.0   4   5   1.2e-52   1.3e-49  167.4   0.1   523   615   762   855   757   860 0.96 | transcript=PVPAM_080033500_t1 | gene=PVPAM_080033500 | organism=Plasmodium_vivax_PAM | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=CASCJQ010000008:1280951-1286134(-) | protein_length=1727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720113.1         -           1727 555at5820            -           1342         0 2686.6  68.0   5   5         0         0 1486.3  23.6   614  1342   914  1724   903  1724 0.93 | transcript=PVPAM_080033500_t1 | gene=PVPAM_080033500 | organism=Plasmodium_vivax_PAM | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=CASCJQ010000008:1280951-1286134(-) | protein_length=1727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723535.1         -           1514 555at5820            -           1342  9.8e-111  369.9  55.8   1   7   1.2e-24   1.3e-21   74.6   0.4    42   142    24   124    10   142 0.90 | transcript=PVPAM_140045900_t1 | gene=PVPAM_140045900 | organism=Plasmodium_vivax_PAM | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=CASCJQ010000014:1725979-1732037(-) | protein_length=1514 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723535.1         -           1514 555at5820            -           1342  9.8e-111  369.9  55.8   2   7   1.7e-13   1.8e-10   37.7   0.2   143   238   190   289   169   301 0.88 | transcript=PVPAM_140045900_t1 | gene=PVPAM_140045900 | organism=Plasmodium_vivax_PAM | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=CASCJQ010000014:1725979-1732037(-) | protein_length=1514 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723535.1         -           1514 555at5820            -           1342  9.8e-111  369.9  55.8   3   7   1.4e-18   1.5e-15   54.5   4.8   255   390   361   502   350   509 0.80 | transcript=PVPAM_140045900_t1 | gene=PVPAM_140045900 | organism=Plasmodium_vivax_PAM | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=CASCJQ010000014:1725979-1732037(-) | protein_length=1514 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723535.1         -           1514 555at5820            -           1342  9.8e-111  369.9  55.8   4   7     6e-09   6.4e-06   22.6   0.0   395   456   616   675   602   714 0.86 | transcript=PVPAM_140045900_t1 | gene=PVPAM_140045900 | organism=Plasmodium_vivax_PAM | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=CASCJQ010000014:1725979-1732037(-) | protein_length=1514 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723535.1         -           1514 555at5820            -           1342  9.8e-111  369.9  55.8   5   7     0.011        12    1.8   0.0   537   571   730   764   718   776 0.86 | transcript=PVPAM_140045900_t1 | gene=PVPAM_140045900 | organism=Plasmodium_vivax_PAM | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=CASCJQ010000014:1725979-1732037(-) | protein_length=1514 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723535.1         -           1514 555at5820            -           1342  9.8e-111  369.9  55.8   6   7   6.8e-62   7.4e-59  198.0  14.3   650  1084   884  1302   877  1314 0.82 | transcript=PVPAM_140045900_t1 | gene=PVPAM_140045900 | organism=Plasmodium_vivax_PAM | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=CASCJQ010000014:1725979-1732037(-) | protein_length=1514 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723535.1         -           1514 555at5820            -           1342  9.8e-111  369.9  55.8   7   7      0.96     1e+03   -4.6   5.5  1167  1280  1350  1459  1307  1468 0.80 | transcript=PVPAM_140045900_t1 | gene=PVPAM_140045900 | organism=Plasmodium_vivax_PAM | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=CASCJQ010000014:1725979-1732037(-) | protein_length=1514 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720671.1         -           3984 555at5820            -           1342   3.5e-81  271.9  73.1   1   8     3e-41   3.2e-38  129.6  15.8    54   387    89   424    81   432 0.83 | transcript=PVPAM_090043600_t1 | gene=PVPAM_090043600 | organism=Plasmodium_vivax_PAM | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=CASCJQ010000009:1693656-1705610(-) | protein_length=3984 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720671.1         -           3984 555at5820            -           1342   3.5e-81  271.9  73.1   2   8   2.5e-05     0.027   10.6   0.1   402   471   689   759   681   782 0.78 | transcript=PVPAM_090043600_t1 | gene=PVPAM_090043600 | organism=Plasmodium_vivax_PAM | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=CASCJQ010000009:1693656-1705610(-) | protein_length=3984 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720671.1         -           3984 555at5820            -           1342   3.5e-81  271.9  73.1   3   8         6   6.5e+03  -11.6   8.2   817   922  1192  1301  1173  1315 0.72 | transcript=PVPAM_090043600_t1 | gene=PVPAM_090043600 | organism=Plasmodium_vivax_PAM | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=CASCJQ010000009:1693656-1705610(-) | protein_length=3984 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720671.1         -           3984 555at5820            -           1342   3.5e-81  271.9  73.1   4   8    0.0021       2.3    4.2   0.2   535   591  1402  1455  1381  1459 0.73 | transcript=PVPAM_090043600_t1 | gene=PVPAM_090043600 | organism=Plasmodium_vivax_PAM | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=CASCJQ010000009:1693656-1705610(-) | protein_length=3984 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720671.1         -           3984 555at5820            -           1342   3.5e-81  271.9  73.1   5   8    0.0003      0.32    7.0   0.0   636   677  1451  1494  1446  1503 0.85 | transcript=PVPAM_090043600_t1 | gene=PVPAM_090043600 | organism=Plasmodium_vivax_PAM | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=CASCJQ010000009:1693656-1705610(-) | protein_length=3984 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720671.1         -           3984 555at5820            -           1342   3.5e-81  271.9  73.1   6   8   3.9e-20   4.2e-17   59.6   0.5   687   806  1637  1765  1628  1772 0.86 | transcript=PVPAM_090043600_t1 | gene=PVPAM_090043600 | organism=Plasmodium_vivax_PAM | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=CASCJQ010000009:1693656-1705610(-) | protein_length=3984 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720671.1         -           3984 555at5820            -           1342   3.5e-81  271.9  73.1   7   8   3.1e-33   3.3e-30  103.1   5.0   871  1086  1768  1984  1754  2001 0.91 | transcript=PVPAM_090043600_t1 | gene=PVPAM_090043600 | organism=Plasmodium_vivax_PAM | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=CASCJQ010000009:1693656-1705610(-) | protein_length=3984 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
