#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720660.1         -            453 6375at5820           -            375  1.6e-235  779.6  16.5   1   1  3.2e-238  2.1e-235  779.2  16.5     7   375    61   451    57   451 0.96 | transcript=PVPAM_090042500_t1 | gene=PVPAM_090042500 | organism=Plasmodium_vivax_PAM | gene_product=UVB-resistance protein UVR8 homologue | transcript_product=UVB-resistance protein UVR8 homologue | location=CASCJQ010000009:1661953-1663314(-) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721051.1         -           2237 6375at5820           -            375   9.1e-45  151.8  22.8   1   6   6.6e-05     0.043   11.4   0.2    88   175    20   108    10   121 0.74 | transcript=PVPAM_100031900_t1 | gene=PVPAM_100031900 | organism=Plasmodium_vivax_PAM | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=CASCJQ010000010:1169076-1175789(+) | protein_length=2237 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721051.1         -           2237 6375at5820           -            375   9.1e-45  151.8  22.8   2   6     3e-07   0.00019   19.1   0.1   242   282   224   262   217   280 0.82 | transcript=PVPAM_100031900_t1 | gene=PVPAM_100031900 | organism=Plasmodium_vivax_PAM | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=CASCJQ010000010:1169076-1175789(+) | protein_length=2237 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721051.1         -           2237 6375at5820           -            375   9.1e-45  151.8  22.8   3   6   8.8e-19   5.7e-16   57.1   0.7    89   220   321   448   299   465 0.87 | transcript=PVPAM_100031900_t1 | gene=PVPAM_100031900 | organism=Plasmodium_vivax_PAM | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=CASCJQ010000010:1169076-1175789(+) | protein_length=2237 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721051.1         -           2237 6375at5820           -            375   9.1e-45  151.8  22.8   4   6   3.3e-13   2.1e-10   38.7   0.1   139   229   625   715   595   725 0.84 | transcript=PVPAM_100031900_t1 | gene=PVPAM_100031900 | organism=Plasmodium_vivax_PAM | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=CASCJQ010000010:1169076-1175789(+) | protein_length=2237 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721051.1         -           2237 6375at5820           -            375   9.1e-45  151.8  22.8   5   6   4.4e-09   2.9e-06   25.1   0.9   103   220   773   905   765   914 0.74 | transcript=PVPAM_100031900_t1 | gene=PVPAM_100031900 | organism=Plasmodium_vivax_PAM | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=CASCJQ010000010:1169076-1175789(+) | protein_length=2237 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721051.1         -           2237 6375at5820           -            375   9.1e-45  151.8  22.8   6   6   0.00015     0.098   10.2   0.1    48   136   931  1029   906  1046 0.64 | transcript=PVPAM_100031900_t1 | gene=PVPAM_100031900 | organism=Plasmodium_vivax_PAM | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=CASCJQ010000010:1169076-1175789(+) | protein_length=2237 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717735.1         -            686 6375at5820           -            375   7.5e-20   69.8  13.7   1   3   2.5e-10   1.6e-07   29.3   0.1   131   228    30   132    24   151 0.82 | transcript=PVPAM_010024900_t1 | gene=PVPAM_010024900 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000001:906783-908843(+) | protein_length=686 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717735.1         -            686 6375at5820           -            375   7.5e-20   69.8  13.7   2   3   0.00022      0.14    9.7   1.6   190   264   173   253   160   256 0.81 | transcript=PVPAM_010024900_t1 | gene=PVPAM_010024900 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000001:906783-908843(+) | protein_length=686 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717735.1         -            686 6375at5820           -            375   7.5e-20   69.8  13.7   3   3   1.5e-13   9.6e-11   39.8   3.8   138   280   240   375   232   432 0.84 | transcript=PVPAM_010024900_t1 | gene=PVPAM_010024900 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000001:906783-908843(+) | protein_length=686 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721291.1         -            479 6375at5820           -            375   9.7e-20   69.4  16.3   1   5      0.71   4.6e+02   -1.9   0.0   271   284    41    54    38    62 0.82 | transcript=PVPAM_110019300_t1 | gene=PVPAM_110019300 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000011:610069-611508(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
