#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719539.1         -           1405 1394at5820           -           1113         0 2228.0  83.4   1   4   1.2e-35   1.5e-32  110.8   7.8     1   116     1   192     1   196 0.89 | transcript=PVPAM_070015300_t1 | gene=PVPAM_070015300 | organism=Plasmodium_vivax_PAM | gene_product=helicase SKI2W, putative | transcript_product=helicase SKI2W, putative | location=CASCJQ010000007:525117-529334(+) | protein_length=1405 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719539.1         -           1405 1394at5820           -           1113         0 2228.0  83.4   2   4  8.8e-173  1.1e-169  564.9  11.1   116   368   263   515   258   522 0.98 | transcript=PVPAM_070015300_t1 | gene=PVPAM_070015300 | organism=Plasmodium_vivax_PAM | gene_product=helicase SKI2W, putative | transcript_product=helicase SKI2W, putative | location=CASCJQ010000007:525117-529334(+) | protein_length=1405 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719539.1         -           1405 1394at5820           -           1113         0 2228.0  83.4   3   4  2.4e-249  3.1e-246  818.4  21.9   370   755   566   959   559   967 0.97 | transcript=PVPAM_070015300_t1 | gene=PVPAM_070015300 | organism=Plasmodium_vivax_PAM | gene_product=helicase SKI2W, putative | transcript_product=helicase SKI2W, putative | location=CASCJQ010000007:525117-529334(+) | protein_length=1405 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719539.1         -           1405 1394at5820           -           1113         0 2228.0  83.4   4   4  2.7e-229  3.5e-226  752.0  18.6   754  1113  1044  1405  1040  1405 0.99 | transcript=PVPAM_070015300_t1 | gene=PVPAM_070015300 | organism=Plasmodium_vivax_PAM | gene_product=helicase SKI2W, putative | transcript_product=helicase SKI2W, putative | location=CASCJQ010000007:525117-529334(+) | protein_length=1405 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721612.1         -           1390 1394at5820           -           1113  1.8e-155  517.8  27.9   1   3  1.5e-138    2e-135  451.5  11.2   148   645   259   745   215   771 0.92 | transcript=PVPAM_110051600_t1 | gene=PVPAM_110051600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase MTR4, putative | transcript_product=ATP-dependent RNA helicase MTR4, putative | location=CASCJQ010000011:1941165-1945520(-) | protein_length=1390 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721612.1         -           1390 1394at5820           -           1113  1.8e-155  517.8  27.9   2   3      0.11   1.4e+02   -1.7   2.2   574   648  1074  1143  1064  1153 0.79 | transcript=PVPAM_110051600_t1 | gene=PVPAM_110051600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase MTR4, putative | transcript_product=ATP-dependent RNA helicase MTR4, putative | location=CASCJQ010000011:1941165-1945520(-) | protein_length=1390 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721612.1         -           1390 1394at5820           -           1113  1.8e-155  517.8  27.9   3   3     1e-25   1.3e-22   77.9   0.5   938  1112  1216  1390  1211  1390 0.90 | transcript=PVPAM_110051600_t1 | gene=PVPAM_110051600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase MTR4, putative | transcript_product=ATP-dependent RNA helicase MTR4, putative | location=CASCJQ010000011:1941165-1945520(-) | protein_length=1390 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722494.1         -           2439 1394at5820           -           1113   4.7e-34  115.8  18.8   1   4   9.9e-07    0.0013   15.0   1.2   244   313   587   666   516   718 0.67 | transcript=PVPAM_120073100_t1 | gene=PVPAM_120073100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000012:2822438-2830753(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722494.1         -           2439 1394at5820           -           1113   4.7e-34  115.8  18.8   2   4   4.3e-10   5.5e-07   26.1   0.3   469   563   769   865   694   891 0.83 | transcript=PVPAM_120073100_t1 | gene=PVPAM_120073100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000012:2822438-2830753(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722494.1         -           2439 1394at5820           -           1113   4.7e-34  115.8  18.8   3   4   7.5e-13   9.6e-10   35.3   1.4   169   280  1416  1540  1403  1604 0.83 | transcript=PVPAM_120073100_t1 | gene=PVPAM_120073100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000012:2822438-2830753(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722494.1         -           2439 1394at5820           -           1113   4.7e-34  115.8  18.8   4   4     8e-17     1e-13   48.4   0.2   467   566  1773  1874  1755  1927 0.83 | transcript=PVPAM_120073100_t1 | gene=PVPAM_120073100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000012:2822438-2830753(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718995.1         -           2675 1394at5820           -           1113   1.6e-20   70.9  13.6   1   6         5   6.5e+03  -15.7  14.5    18    42   258   279   240   292 0.42 | transcript=PVPAM_050038700_t1 | gene=PVPAM_050038700 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=CASCJQ010000005:1435448-1443475(+) | protein_length=2675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718995.1         -           2675 1394at5820           -           1113   1.6e-20   70.9  13.6   2   6   2.7e-09   3.5e-06   23.5   0.9   169   289   719   859   699   867 0.68 | transcript=PVPAM_050038700_t1 | gene=PVPAM_050038700 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=CASCJQ010000005:1435448-1443475(+) | protein_length=2675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
