#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717676.1         -           2757 438at5820            -           1966         0 3061.9 224.7   1   5  2.6e-299  1.7e-296  985.7  41.8     1   634     1   874     1   904 0.85 | transcript=PVPAM_010018600_t1 | gene=PVPAM_010018600 | organism=Plasmodium_vivax_PAM | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=CASCJQ010000001:660888-669339(-) | protein_length=2757 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717676.1         -           2757 438at5820            -           1966         0 3061.9 224.7   2   5         0         0 1189.5  81.9   657  1393   970  1895   928  1904 0.89 | transcript=PVPAM_010018600_t1 | gene=PVPAM_010018600 | organism=Plasmodium_vivax_PAM | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=CASCJQ010000001:660888-669339(-) | protein_length=2757 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717676.1         -           2757 438at5820            -           1966         0 3061.9 224.7   3   5   3.1e-14     2e-11   40.4   7.6  1394  1472  1966  2077  1954  2107 0.75 | transcript=PVPAM_010018600_t1 | gene=PVPAM_010018600 | organism=Plasmodium_vivax_PAM | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=CASCJQ010000001:660888-669339(-) | protein_length=2757 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717676.1         -           2757 438at5820            -           1966         0 3061.9 224.7   4   5   1.3e-10   8.6e-08   28.4  11.3  1468  1585  2129  2315  2104  2325 0.75 | transcript=PVPAM_010018600_t1 | gene=PVPAM_010018600 | organism=Plasmodium_vivax_PAM | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=CASCJQ010000001:660888-669339(-) | protein_length=2757 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717676.1         -           2757 438at5820            -           1966         0 3061.9 224.7   5   5  2.5e-253  1.6e-250  833.3  50.2  1584  1966  2355  2755  2341  2755 0.92 | transcript=PVPAM_010018600_t1 | gene=PVPAM_010018600 | organism=Plasmodium_vivax_PAM | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=CASCJQ010000001:660888-669339(-) | protein_length=2757 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721313.1         -            824 438at5820            -           1966   5.6e-31  105.2  11.2   1   3   1.9e-13   1.2e-10   37.8   4.2   442   611   184   370    25   378 0.67 | transcript=PVPAM_110021600_t1 | gene=PVPAM_110021600 | organism=Plasmodium_vivax_PAM | gene_product=phosphoinositide phosphatase SAC1, putative | transcript_product=phosphoinositide phosphatase SAC1, putative | location=CASCJQ010000011:699998-702472(+) | protein_length=824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721313.1         -            824 438at5820            -           1966   5.6e-31  105.2  11.2   2   3   8.7e-19   5.6e-16   55.5   0.0   669   864   378   618   372   626 0.80 | transcript=PVPAM_110021600_t1 | gene=PVPAM_110021600 | organism=Plasmodium_vivax_PAM | gene_product=phosphoinositide phosphatase SAC1, putative | transcript_product=phosphoinositide phosphatase SAC1, putative | location=CASCJQ010000011:699998-702472(+) | protein_length=824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721313.1         -            824 438at5820            -           1966   5.6e-31  105.2  11.2   3   3   3.8e-06    0.0025   13.6   1.7   984  1057   628   702   623   725 0.84 | transcript=PVPAM_110021600_t1 | gene=PVPAM_110021600 | organism=Plasmodium_vivax_PAM | gene_product=phosphoinositide phosphatase SAC1, putative | transcript_product=phosphoinositide phosphatase SAC1, putative | location=CASCJQ010000011:699998-702472(+) | protein_length=824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717796.1         -           1305 438at5820            -           1966   3.9e-19   66.0  14.4   1   4   6.9e-11   4.5e-08   29.3   1.3   530   610   180   257   137   260 0.79 | transcript=PVPAM_010031000_t1 | gene=PVPAM_010031000 | organism=Plasmodium_vivax_PAM | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=CASCJQ010000001:1155325-1159242(+) | protein_length=1305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717796.1         -           1305 438at5820            -           1966   3.9e-19   66.0  14.4   2   4   1.6e-17     1e-14   51.3   5.9   664   846   260   439   258   467 0.77 | transcript=PVPAM_010031000_t1 | gene=PVPAM_010031000 | organism=Plasmodium_vivax_PAM | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=CASCJQ010000001:1155325-1159242(+) | protein_length=1305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717796.1         -           1305 438at5820            -           1966   3.9e-19   66.0  14.4   3   4     0.057        37   -0.3   0.0   986  1051   457   521   442   532 0.82 | transcript=PVPAM_010031000_t1 | gene=PVPAM_010031000 | organism=Plasmodium_vivax_PAM | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=CASCJQ010000001:1155325-1159242(+) | protein_length=1305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
