#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720464.1         -            155 12971at5820          -            124   1.4e-79  262.4   2.8   1   1     2e-82   1.6e-79  262.1   2.8     1   124    29   155    29   155 0.98 | transcript=PVPAM_090022900_t1 | gene=PVPAM_090022900 | organism=Plasmodium_vivax_PAM | gene_product=AP-1 complex subunit sigma, putative | transcript_product=AP-1 complex subunit sigma, putative | location=CASCJQ010000009:834776-835387(+) | protein_length=155 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719001.1         -            146 12971at5820          -            124   1.4e-25   87.9   5.6   1   1   2.3e-28   1.8e-25   87.5   5.6    10   104    38   136    28   143 0.90 | transcript=PVPAM_050039300_t1 | gene=PVPAM_050039300 | organism=Plasmodium_vivax_PAM | gene_product=AP-4 complex subunit sigma, putative | transcript_product=AP-4 complex subunit sigma, putative | location=CASCJQ010000005:1455070-1455723(-) | protein_length=146 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718437.1         -            141 12971at5820          -            124   2.5e-24   83.8  10.3   1   1   4.2e-27   3.4e-24   83.4  10.3     2   105    30   135    29   140 0.93 | transcript=PVPAM_040018300_t1 | gene=PVPAM_040018300 | organism=Plasmodium_vivax_PAM | gene_product=AP-2 complex subunit sigma, putative | transcript_product=AP-2 complex subunit sigma, putative | location=CASCJQ010000004:574039-574973(+) | protein_length=141 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723841.1         -            157 12971at5820          -            124   4.3e-19   66.9   4.2   1   1   7.1e-22   5.8e-19   66.5   4.2    10   115    39   152    30   155 0.85 | transcript=PVPAM_140076400_t1 | gene=PVPAM_140076400 | organism=Plasmodium_vivax_PAM | gene_product=AP-3 complex subunit sigma, putative | transcript_product=AP-3 complex subunit sigma, putative | location=CASCJQ010000014:3004919-3006249(+) | protein_length=157 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722479.1         -            745 12971at5820          -            124   0.00035   18.7   0.7   1   2   4.4e-07   0.00035   18.7   0.7    32    91    74   135    57   162 0.82 | transcript=PVPAM_120071600_t1 | gene=PVPAM_120071600 | organism=Plasmodium_vivax_PAM | gene_product=AP-3 complex subunit mu, putative | transcript_product=AP-3 complex subunit mu, putative | location=CASCJQ010000012:2741271-2743508(+) | protein_length=745 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722479.1         -            745 12971at5820          -            124   0.00035   18.7   0.7   2   2       1.6   1.3e+03   -2.4   0.1    27    50   578   599   564   622 0.67 | transcript=PVPAM_120071600_t1 | gene=PVPAM_120071600 | organism=Plasmodium_vivax_PAM | gene_product=AP-3 complex subunit mu, putative | transcript_product=AP-3 complex subunit mu, putative | location=CASCJQ010000012:2741271-2743508(+) | protein_length=745 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718903.1         -            208 12971at5820          -            124   0.00043   18.5   0.5   1   1   7.9e-07   0.00064   17.9   0.5    37   113   108   186    70   196 0.78 | transcript=PVPAM_050029500_t1 | gene=PVPAM_050029500 | organism=Plasmodium_vivax_PAM | gene_product=coatomer subunit zeta, putative | transcript_product=coatomer subunit zeta, putative | location=CASCJQ010000005:1021248-1021874(-) | protein_length=208 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720478.1         -            478 12971at5820          -            124     0.001   17.2   2.5   1   1   3.2e-06    0.0025   16.0   2.5    32   105    62   135    50   145 0.87 | transcript=PVPAM_090024300_t1 | gene=PVPAM_090024300 | organism=Plasmodium_vivax_PAM | gene_product=AP-4 complex subunit mu, putative | transcript_product=AP-4 complex subunit mu, putative | location=CASCJQ010000009:882560-884344(+) | protein_length=478 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723280.1         -            458 12971at5820          -            124    0.0037   15.4   6.3   1   2      0.67   5.4e+02   -1.2   0.0    26    46    25    45    12    53 0.75 | transcript=PVPAM_140019900_t1 | gene=PVPAM_140019900 | organism=Plasmodium_vivax_PAM | gene_product=AP-1 complex subunit mu-1, putative | transcript_product=AP-1 complex subunit mu-1, putative | location=CASCJQ010000014:665046-666422(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723280.1         -            458 12971at5820          -            124    0.0037   15.4   6.3   2   2   4.8e-06    0.0039   15.4   3.6    29   100    60   131    49   153 0.86 | transcript=PVPAM_140019900_t1 | gene=PVPAM_140019900 | organism=Plasmodium_vivax_PAM | gene_product=AP-1 complex subunit mu-1, putative | transcript_product=AP-1 complex subunit mu-1, putative | location=CASCJQ010000014:665046-666422(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
