#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718732.1         -             95 15143at5820          -             91   1.7e-59  196.5   4.2   1   1     3e-62   1.9e-59  196.3   4.2     1    91     1    91     1    91 0.99 | transcript=PVPAM_050012600_t1 | gene=PVPAM_050012600 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm8, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm8, putative | location=CASCJQ010000005:363483-364299(-) | protein_length=95 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720527.1         -            149 15143at5820          -             91   9.8e-11   40.2   0.3   1   1   2.1e-13   1.3e-10   39.8   0.3     7    76    14    86    10    96 0.89 | transcript=PVPAM_090029300_t1 | gene=PVPAM_090029300 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm1, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm1, putative | location=CASCJQ010000009:1124597-1125395(-) | protein_length=149 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718801.1         -             83 15143at5820          -             91   8.7e-07   27.6   0.3   1   1   1.6e-09     1e-06   27.3   0.3     7    69    15    74    11    82 0.88 | transcript=PVPAM_050019500_t1 | gene=PVPAM_050019500 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein G, putative | transcript_product=small nuclear ribonucleoprotein G, putative | location=CASCJQ010000005:644671-645141(+) | protein_length=83 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718825.1         -             91 15143at5820          -             91   1.6e-06   26.7   0.3   1   1   6.9e-09   4.5e-06   25.3   0.3     9    70    17    87    12    90 0.78 | transcript=PVPAM_050021900_t1 | gene=PVPAM_050021900 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm3, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm3, putative | location=CASCJQ010000005:733817-734656(+) | protein_length=91 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721857.1         -             94 15143at5820          -             91   1.8e-05   23.4   0.1   1   1   3.4e-08   2.2e-05   23.1   0.1    20    72    38    88    15    93 0.86 | transcript=PVPAM_120009100_t1 | gene=PVPAM_120009100 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein E, putative | transcript_product=small nuclear ribonucleoprotein E, putative | location=CASCJQ010000012:170799-171550(+) | protein_length=94 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722453.1         -            101 15143at5820          -             91   0.00018   20.2   0.2   1   1   3.1e-07    0.0002   20.0   0.2    10    68    20    79    14    99 0.84 | transcript=PVPAM_120069000_t1 | gene=PVPAM_120069000 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm5, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm5, putative | location=CASCJQ010000012:2619511-2620187(-) | protein_length=101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722984.1         -            201 15143at5820          -             91   0.00021   20.0   0.1   1   1   4.7e-07    0.0003   19.5   0.1     6    71     7    78     3    97 0.72 | transcript=PVPAM_130049000_t1 | gene=PVPAM_130049000 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein-associated protein B, putative | transcript_product=small nuclear ribonucleoprotein-associated protein B, putative | location=CASCJQ010000013:1932641-1933491(+) | protein_length=201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722736.1         -            107 15143at5820          -             91   0.00033   19.3   0.1   1   1   6.7e-07   0.00043   19.0   0.1     5    74    19    94    16   105 0.85 | transcript=PVPAM_130023700_t1 | gene=PVPAM_130023700 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm7, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm7, putative | location=CASCJQ010000013:847546-848322(+) | protein_length=107 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720553.1         -             86 15143at5820          -             91    0.0016   17.1   0.0   1   1   3.1e-06     0.002   16.8   0.0     8    71    16    77    12    83 0.77 | transcript=PVPAM_090031900_t1 | gene=PVPAM_090031900 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein F, putative | transcript_product=small nuclear ribonucleoprotein F, putative | location=CASCJQ010000009:1225266-1226140(-) | protein_length=86 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718425.1         -            101 15143at5820          -             91    0.0081   14.9   0.2   1   1   1.9e-05     0.012   14.3   0.2    13    69    31    96    22    99 0.72 | transcript=PVPAM_040017100_t1 | gene=PVPAM_040017100 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein Sm D2, putative | transcript_product=small nuclear ribonucleoprotein Sm D2, putative | location=CASCJQ010000004:535886-536424(-) | protein_length=101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/15143at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/15143at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/15143at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:11 2026
# [ok]
