#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720739.1         -            783 4072at5820           -            548  9.3e-295  976.7  56.8   1   2  1.9e-172  8.9e-170  564.2  35.5     4   324   182   508   180   513 0.98 | transcript=PVPAM_090050400_t1 | gene=PVPAM_090050400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=CASCJQ010000009:2031131-2033769(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720739.1         -            783 4072at5820           -            548  9.3e-295  976.7  56.8   2   2  2.8e-128  1.3e-125  418.4  13.2   325   548   552   781   549   781 0.97 | transcript=PVPAM_090050400_t1 | gene=PVPAM_090050400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=CASCJQ010000009:2031131-2033769(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720905.1         -           1464 4072at5820           -            548   9.9e-52  174.5  79.0   1   4     4e-10   1.8e-07   28.4  29.8    59   432    86   489    47   498 0.70 | transcript=PVPAM_100017300_t1 | gene=PVPAM_100017300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=CASCJQ010000010:532711-537105(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720905.1         -           1464 4072at5820           -            548   9.9e-52  174.5  79.0   2   4   2.7e-23   1.3e-20   71.9   2.0   434   542   547   655   524   659 0.90 | transcript=PVPAM_100017300_t1 | gene=PVPAM_100017300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=CASCJQ010000010:532711-537105(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720905.1         -           1464 4072at5820           -            548   9.9e-52  174.5  79.0   3   4     0.011       5.2    3.8  23.2    25   389   814  1226   806  1247 0.68 | transcript=PVPAM_100017300_t1 | gene=PVPAM_100017300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=CASCJQ010000010:532711-537105(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720905.1         -           1464 4072at5820           -            548   9.9e-52  174.5  79.0   4   4   1.9e-27   8.6e-25   85.6   1.3   379   541  1271  1431  1250  1436 0.94 | transcript=PVPAM_100017300_t1 | gene=PVPAM_100017300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=CASCJQ010000010:532711-537105(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722408.1         -           1611 4072at5820           -            548   2.2e-44  150.3  27.0   1   1   4.8e-47   2.2e-44  150.3  27.0    28   545   360   906   331   909 0.83 | transcript=PVPAM_120064400_t1 | gene=PVPAM_120064400 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=CASCJQ010000012:2427914-2432749(+) | protein_length=1611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720277.1         -           1376 4072at5820           -            548   3.1e-41  139.9  86.3   1   3   2.8e-21   1.3e-18   65.2  43.5     4   326   199   531   183   536 0.78 | transcript=PVPAM_080050000_t1 | gene=PVPAM_080050000 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=CASCJQ010000008:1945463-1949593(-) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720277.1         -           1376 4072at5820           -            548   3.1e-41  139.9  86.3   2   3   5.3e-07   0.00024   18.1  20.5   275   426   971  1130   966  1137 0.81 | transcript=PVPAM_080050000_t1 | gene=PVPAM_080050000 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=CASCJQ010000008:1945463-1949593(-) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720277.1         -           1376 4072at5820           -            548   3.1e-41  139.9  86.3   3   3   4.7e-22   2.2e-19   67.8   6.3   435   545  1247  1353  1219  1356 0.92 | transcript=PVPAM_080050000_t1 | gene=PVPAM_080050000 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=CASCJQ010000008:1945463-1949593(-) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721839.1         -            969 4072at5820           -            548     1e-33  115.1  65.4   1   2   0.00058      0.27    8.1  43.3    24   256   300   554   271   647 0.66 | transcript=PVPAM_120007300_t1 | gene=PVPAM_120007300 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 6, putative | transcript_product=ABC transporter B family member 6, putative | location=CASCJQ010000012:98389-101386(+) | protein_length=969 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
