#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722726.1         -           3294 177at5820            -           2232         0 3470.1 287.1   1  10   1.7e-18   2.8e-15   53.0   0.5    26   126   275   404   252   413 0.76 | transcript=PVPAM_130022700_t1 | gene=PVPAM_130022700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=CASCJQ010000013:794599-804749(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722726.1         -           3294 177at5820            -           2232         0 3470.1 287.1   2  10   3.8e-25   6.1e-22   75.1   4.4   121   192   430   509   424   514 0.89 | transcript=PVPAM_130022700_t1 | gene=PVPAM_130022700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=CASCJQ010000013:794599-804749(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722726.1         -           3294 177at5820            -           2232         0 3470.1 287.1   3  10         0         0 1037.7  57.3   197   804   595  1237   573  1242 0.95 | transcript=PVPAM_130022700_t1 | gene=PVPAM_130022700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=CASCJQ010000013:794599-804749(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722726.1         -           3294 177at5820            -           2232         0 3470.1 287.1   4  10   4.3e-16     7e-13   45.1   0.2   803   847  1310  1357  1289  1363 0.84 | transcript=PVPAM_130022700_t1 | gene=PVPAM_130022700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=CASCJQ010000013:794599-804749(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722726.1         -           3294 177at5820            -           2232         0 3470.1 287.1   5  10  1.1e-127  1.8e-124  415.2  26.3   844  1103  1433  1710  1421  1728 0.90 | transcript=PVPAM_130022700_t1 | gene=PVPAM_130022700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=CASCJQ010000013:794599-804749(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722726.1         -           3294 177at5820            -           2232         0 3470.1 287.1   6  10  2.6e-126  4.1e-123  410.7  16.6  1119  1345  1835  2087  1816  2098 0.90 | transcript=PVPAM_130022700_t1 | gene=PVPAM_130022700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=CASCJQ010000013:794599-804749(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722726.1         -           3294 177at5820            -           2232         0 3470.1 287.1   7  10  1.8e-143  2.9e-140  467.6  36.7  1332  1589  2110  2376  2096  2394 0.94 | transcript=PVPAM_130022700_t1 | gene=PVPAM_130022700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=CASCJQ010000013:794599-804749(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722726.1         -           3294 177at5820            -           2232         0 3470.1 287.1   8  10  3.3e-171  5.3e-168  559.6  36.3  1586  1892  2445  2771  2439  2777 0.92 | transcript=PVPAM_130022700_t1 | gene=PVPAM_130022700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=CASCJQ010000013:794599-804749(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722726.1         -           3294 177at5820            -           2232         0 3470.1 287.1   9  10   4.2e-81   6.7e-78  260.7  19.6  1891  2106  2825  3084  2818  3090 0.80 | transcript=PVPAM_130022700_t1 | gene=PVPAM_130022700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=CASCJQ010000013:794599-804749(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722726.1         -           3294 177at5820            -           2232         0 3470.1 287.1  10  10   3.4e-58   5.5e-55  184.7  21.9  2090  2232  3094  3244  3085  3244 0.91 | transcript=PVPAM_130022700_t1 | gene=PVPAM_130022700 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=CASCJQ010000013:794599-804749(+) | protein_length=3294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722516.1         -           5560 177at5820            -           2232  6.1e-158  526.2 313.8   1  12       3.7   5.9e+03   -7.8   4.9  2033  2133    98   195    96   227 0.82 | transcript=PVPAM_120075500_t1 | gene=PVPAM_120075500 | organism=Plasmodium_vivax_PAM | gene_product=cysteine repeat modular protein 4, putative | transcript_product=cysteine repeat modular protein 4, putative | location=CASCJQ010000012:2937532-2954359(-) | protein_length=5560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
