#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723844.1         -           1589 1046at5820           -           1126         0 2173.2  73.3   1   5  4.3e-137  2.8e-134  447.5  15.0     1   259     5   284     5   315 0.92 | transcript=PVPAM_140076700_t1 | gene=PVPAM_140076700 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=CASCJQ010000014:3013318-3018278(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723844.1         -           1589 1046at5820           -           1126         0 2173.2  73.3   2   5   4.7e-91   3.1e-88  295.0   2.3   261   407   365   512   353   521 0.95 | transcript=PVPAM_140076700_t1 | gene=PVPAM_140076700 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=CASCJQ010000014:3013318-3018278(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723844.1         -           1589 1046at5820           -           1126         0 2173.2  73.3   3   5   8.5e-69   5.5e-66  221.3   2.3   406   549   556   710   552   729 0.90 | transcript=PVPAM_140076700_t1 | gene=PVPAM_140076700 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=CASCJQ010000014:3013318-3018278(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723844.1         -           1589 1046at5820           -           1126         0 2173.2  73.3   4   5  1.3e-204  8.6e-202  671.0  13.6   547   864   912  1238   892  1242 0.95 | transcript=PVPAM_140076700_t1 | gene=PVPAM_140076700 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=CASCJQ010000014:3013318-3018278(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723844.1         -           1589 1046at5820           -           1126         0 2173.2  73.3   5   5    1e-171  6.6e-169  562.1   8.8   865  1126  1327  1589  1319  1589 0.98 | transcript=PVPAM_140076700_t1 | gene=PVPAM_140076700 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=CASCJQ010000014:3013318-3018278(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721926.1         -           1529 1046at5820           -           1126   1.6e-82  276.1  31.5   1   6      0.13        84   -1.2   0.4   197   217   462   482   409   491 0.65 | transcript=PVPAM_120016000_t1 | gene=PVPAM_120016000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=CASCJQ010000012:478001-483074(-) | protein_length=1529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721926.1         -           1529 1046at5820           -           1126   1.6e-82  276.1  31.5   2   6   2.7e-29   1.8e-26   90.5   0.0   210   336   712   849   667   856 0.79 | transcript=PVPAM_120016000_t1 | gene=PVPAM_120016000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=CASCJQ010000012:478001-483074(-) | protein_length=1529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721926.1         -           1529 1046at5820           -           1126   1.6e-82  276.1  31.5   3   6   2.2e-18   1.4e-15   54.4   0.1   572   650   944  1021   926  1030 0.83 | transcript=PVPAM_120016000_t1 | gene=PVPAM_120016000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=CASCJQ010000012:478001-483074(-) | protein_length=1529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721926.1         -           1529 1046at5820           -           1126   1.6e-82  276.1  31.5   4   6   1.3e-18   8.1e-16   55.2   0.5   716   806  1049  1142  1035  1153 0.88 | transcript=PVPAM_120016000_t1 | gene=PVPAM_120016000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=CASCJQ010000012:478001-483074(-) | protein_length=1529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721926.1         -           1529 1046at5820           -           1126   1.6e-82  276.1  31.5   5   6      0.13        86   -1.2   2.1   826   869  1245  1286  1231  1307 0.80 | transcript=PVPAM_120016000_t1 | gene=PVPAM_120016000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=CASCJQ010000012:478001-483074(-) | protein_length=1529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721926.1         -           1529 1046at5820           -           1126   1.6e-82  276.1  31.5   6   6   3.2e-29     2e-26   90.3   3.4   943  1113  1312  1503  1299  1523 0.83 | transcript=PVPAM_120016000_t1 | gene=PVPAM_120016000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=CASCJQ010000012:478001-483074(-) | protein_length=1529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
