#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719157.1         -            556 6942at5820           -            402  3.8e-190  630.5  13.9   1   2  6.4e-147  8.3e-144  477.9  12.6     1   300     1   340     1   349 0.90 | transcript=PVPAM_060016400_t1 | gene=PVPAM_060016400 | organism=Plasmodium_vivax_PAM | gene_product=rRNA (cytosine-C(5))-methyltransferase, putative | transcript_product=rRNA (cytosine-C(5))-methyltransferase, putative | location=CASCJQ010000006:477532-479372(-) | protein_length=556 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719157.1         -            556 6942at5820           -            402  3.8e-190  630.5  13.9   2   2   6.5e-47   8.4e-44  148.6   0.0   299   402   425   537   422   537 0.93 | transcript=PVPAM_060016400_t1 | gene=PVPAM_060016400 | organism=Plasmodium_vivax_PAM | gene_product=rRNA (cytosine-C(5))-methyltransferase, putative | transcript_product=rRNA (cytosine-C(5))-methyltransferase, putative | location=CASCJQ010000006:477532-479372(-) | protein_length=556 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720580.1         -            615 6942at5820           -            402   1.5e-12   45.7   6.0   1   3      0.31     4e+02   -1.8   0.1    95   162   193   256   162   283 0.59 | transcript=PVPAM_090034500_t1 | gene=PVPAM_090034500 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000009:1319081-1320928(-) | protein_length=615 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720580.1         -            615 6942at5820           -            402   1.5e-12   45.7   6.0   2   3   9.2e-06     0.012   13.1   0.1   157   205   300   348   288   382 0.85 | transcript=PVPAM_090034500_t1 | gene=PVPAM_090034500 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000009:1319081-1320928(-) | protein_length=615 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720580.1         -            615 6942at5820           -            402   1.5e-12   45.7   6.0   3   3   2.2e-12   2.9e-09   34.9   0.3   316   365   405   454   390   503 0.84 | transcript=PVPAM_090034500_t1 | gene=PVPAM_090034500 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000009:1319081-1320928(-) | protein_length=615 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720394.1         -            505 6942at5820           -            402   1.4e-07   29.3   4.2   1   3       0.1   1.4e+02   -0.3   0.1   189   235     7    57     3    66 0.76 | transcript=PVPAM_090015900_t1 | gene=PVPAM_090015900 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | transcript_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | location=CASCJQ010000009:572450-573967(+) | protein_length=505 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720394.1         -            505 6942at5820           -            402   1.4e-07   29.3   4.2   2   3    0.0063       8.2    3.7   0.0   149   183   208   242   173   261 0.78 | transcript=PVPAM_090015900_t1 | gene=PVPAM_090015900 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | transcript_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | location=CASCJQ010000009:572450-573967(+) | protein_length=505 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720394.1         -            505 6942at5820           -            402   1.4e-07   29.3   4.2   3   3   1.7e-09   2.2e-06   25.4   0.2   313   369   363   420   341   445 0.80 | transcript=PVPAM_090015900_t1 | gene=PVPAM_090015900 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | transcript_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | location=CASCJQ010000009:572450-573967(+) | protein_length=505 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717663.1         -           1116 6942at5820           -            402   0.00014   19.5   0.2   1   6     0.001       1.3    6.3   1.9   113   186    95   165    59   184 0.67 | transcript=PVPAM_010017300_t1 | gene=PVPAM_010017300 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000001:584068-587418(-) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717663.1         -           1116 6942at5820           -            402   0.00014   19.5   0.2   2   6     1e-07   0.00014   19.5   0.2   320   373   377   430   373   442 0.88 | transcript=PVPAM_010017300_t1 | gene=PVPAM_010017300 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000001:584068-587418(-) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717663.1         -           1116 6942at5820           -            402   0.00014   19.5   0.2   3   6       2.9   3.7e+03   -5.0   2.9    27    46   531   550   518   570 0.53 | transcript=PVPAM_010017300_t1 | gene=PVPAM_010017300 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000001:584068-587418(-) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717663.1         -           1116 6942at5820           -            402   0.00014   19.5   0.2   4   6      0.34   4.4e+02   -2.0   1.5    94   134   645   686   638   692 0.79 | transcript=PVPAM_010017300_t1 | gene=PVPAM_010017300 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000001:584068-587418(-) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717663.1         -           1116 6942at5820           -            402   0.00014   19.5   0.2   5   6     0.085   1.1e+02    0.0   1.0   210   256   822   868   807   884 0.68 | transcript=PVPAM_010017300_t1 | gene=PVPAM_010017300 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000001:584068-587418(-) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717663.1         -           1116 6942at5820           -            402   0.00014   19.5   0.2   6   6     0.018        23    2.3   1.7    88   138   855   904   843   922 0.77 | transcript=PVPAM_010017300_t1 | gene=PVPAM_010017300 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000001:584068-587418(-) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723645.1         -            376 6942at5820           -            402    0.0016   15.9   0.0   1   2     0.028        37    1.6   0.0   144   190   179   225   162   244 0.80 | transcript=PVPAM_140056900_t1 | gene=PVPAM_140056900 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000014:2235558-2236895(+) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
