#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717964.1         -            631 4891at5820           -            503         0 1049.0  28.1   1   2   8.7e-30   9.4e-27   92.5   8.5     1    72    73   153    73   159 0.90 | transcript=PVPAM_020019600_t1 | gene=PVPAM_020019600 | organism=Plasmodium_vivax_PAM | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=CASCJQ010000002:607532-609427(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717964.1         -            631 4891at5820           -            503         0 1049.0  28.1   2   2  1.5e-293  1.6e-290  962.6  11.7    60   503   177   631   162   631 0.98 | transcript=PVPAM_020019600_t1 | gene=PVPAM_020019600 | organism=Plasmodium_vivax_PAM | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=CASCJQ010000002:607532-609427(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720991.1         -           1077 4891at5820           -            503   1.6e-40  137.9   3.4   1   5   0.00062      0.67    7.2   0.0    67   165   227   337   220   341 0.72 | transcript=PVPAM_100026000_t1 | gene=PVPAM_100026000 | organism=Plasmodium_vivax_PAM | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=CASCJQ010000010:913078-916311(-) | protein_length=1077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720991.1         -           1077 4891at5820           -            503   1.6e-40  137.9   3.4   2   5    0.0011       1.2    6.4   0.0   191   231   412   452   402   465 0.81 | transcript=PVPAM_100026000_t1 | gene=PVPAM_100026000 | organism=Plasmodium_vivax_PAM | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=CASCJQ010000010:913078-916311(-) | protein_length=1077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720991.1         -           1077 4891at5820           -            503   1.6e-40  137.9   3.4   3   5     2e-18   2.2e-15   55.0   0.3   232   310   576   652   563   664 0.89 | transcript=PVPAM_100026000_t1 | gene=PVPAM_100026000 | organism=Plasmodium_vivax_PAM | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=CASCJQ010000010:913078-916311(-) | protein_length=1077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720991.1         -           1077 4891at5820           -            503   1.6e-40  137.9   3.4   4   5   9.2e-17   9.9e-14   49.5   0.0   356   443   902   989   891   998 0.90 | transcript=PVPAM_100026000_t1 | gene=PVPAM_100026000 | organism=Plasmodium_vivax_PAM | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=CASCJQ010000010:913078-916311(-) | protein_length=1077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720991.1         -           1077 4891at5820           -            503   1.6e-40  137.9   3.4   5   5   2.1e-06    0.0022   15.4   0.0   453   491  1035  1073  1021  1076 0.90 | transcript=PVPAM_100026000_t1 | gene=PVPAM_100026000 | organism=Plasmodium_vivax_PAM | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=CASCJQ010000010:913078-916311(-) | protein_length=1077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718494.1         -            584 4891at5820           -            503   8.6e-28   95.9   1.3   1   2    0.0067       7.3    3.8   0.0   194   244   207   257   183   270 0.89 | transcript=PVPAM_040023800_t1 | gene=PVPAM_040023800 | organism=Plasmodium_vivax_PAM | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=CASCJQ010000004:794417-796171(-) | protein_length=584 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718494.1         -            584 4891at5820           -            503   8.6e-28   95.9   1.3   2   2   8.1e-29   8.8e-26   89.3   1.5   241   498   315   579   305   582 0.79 | transcript=PVPAM_040023800_t1 | gene=PVPAM_040023800 | organism=Plasmodium_vivax_PAM | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=CASCJQ010000004:794417-796171(-) | protein_length=584 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721040.1         -            744 4891at5820           -            503   3.6e-22   77.4   0.0   1   2     0.017        19    2.5   0.0   194   242   366   414   355   423 0.85 | transcript=PVPAM_100030800_t1 | gene=PVPAM_100030800 | organism=Plasmodium_vivax_PAM | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=CASCJQ010000010:1119863-1122097(-) | protein_length=744 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721040.1         -            744 4891at5820           -            503   3.6e-22   77.4   0.0   2   2   1.8e-23     2e-20   71.6   0.0   241   501   459   742   450   744 0.78 | transcript=PVPAM_100030800_t1 | gene=PVPAM_100030800 | organism=Plasmodium_vivax_PAM | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=CASCJQ010000010:1119863-1122097(-) | protein_length=744 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
