#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720840.1         -            927 3266at5820           -            679         0 1129.5  73.8   1   3  6.2e-231  1.3e-227  755.9  50.1     6   439    26   496    19   555 0.86 | transcript=PVPAM_100010500_t1 | gene=PVPAM_100010500 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000010:264125-267039(+) | protein_length=927 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720840.1         -            927 3266at5820           -            679         0 1129.5  73.8   2   3   6.2e-54   1.3e-50  170.9   2.0   473   573   690   790   677   796 0.94 | transcript=PVPAM_100010500_t1 | gene=PVPAM_100010500 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000010:264125-267039(+) | protein_length=927 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720840.1         -            927 3266at5820           -            679         0 1129.5  73.8   3   3   4.8e-65     1e-61  207.7   6.2   562   679   810   927   806   927 0.98 | transcript=PVPAM_100010500_t1 | gene=PVPAM_100010500 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000010:264125-267039(+) | protein_length=927 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723553.1         -            836 3266at5820           -            679   3.7e-14   50.5  49.0   1   3   4.5e-07   0.00097   16.1   2.1   318   422    80   185    73   192 0.89 | transcript=PVPAM_140047700_t1 | gene=PVPAM_140047700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000014:1815230-1817740(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723553.1         -            836 3266at5820           -            679   3.7e-14   50.5  49.0   2   3   4.6e-10   9.8e-07   26.0  21.9   122   330   190   403   185   408 0.82 | transcript=PVPAM_140047700_t1 | gene=PVPAM_140047700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000014:1815230-1817740(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723553.1         -            836 3266at5820           -            679   3.7e-14   50.5  49.0   3   3     7e-09   1.5e-05   22.1  20.2   228   404   336   515   336   524 0.85 | transcript=PVPAM_140047700_t1 | gene=PVPAM_140047700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000014:1815230-1817740(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720184.1         -            631 3266at5820           -            679   1.3e-09   35.5  16.8   1   4   8.1e-05      0.17    8.6   0.4   200   282   158   246   137   252 0.78 | transcript=PVPAM_080040600_t1 | gene=PVPAM_080040600 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:1578300-1580195(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720184.1         -            631 3266at5820           -            679   1.3e-09   35.5  16.8   2   4     1e-08   2.2e-05   21.5   1.2   198   291   199   289   188   297 0.80 | transcript=PVPAM_080040600_t1 | gene=PVPAM_080040600 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:1578300-1580195(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720184.1         -            631 3266at5820           -            679   1.3e-09   35.5  16.8   3   4   1.5e-10   3.2e-07   27.6   8.4   191   423   267   456   260   468 0.60 | transcript=PVPAM_080040600_t1 | gene=PVPAM_080040600 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:1578300-1580195(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720184.1         -            631 3266at5820           -            679   1.3e-09   35.5  16.8   4   4     0.066   1.4e+02   -1.0   0.4   261   400   483   526   466   571 0.51 | transcript=PVPAM_080040600_t1 | gene=PVPAM_080040600 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:1578300-1580195(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
