#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722450.1         -           1907 775at5820            -           1195         0 2201.1 202.1   1   9   1.5e-56   4.7e-53  178.8  10.7     1   109    46   155    46   179 0.94 | transcript=PVPAM_120068700_t1 | gene=PVPAM_120068700 | organism=Plasmodium_vivax_PAM | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=CASCJQ010000012:2605114-2610837(+) | protein_length=1907 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722450.1         -           1907 775at5820            -           1195         0 2201.1 202.1   2   9  9.4e-168    3e-164  547.0  21.0    95   373   194   473   184   476 0.97 | transcript=PVPAM_120068700_t1 | gene=PVPAM_120068700 | organism=Plasmodium_vivax_PAM | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=CASCJQ010000012:2605114-2610837(+) | protein_length=1907 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722450.1         -           1907 775at5820            -           1195         0 2201.1 202.1   3   9  2.6e-163  8.3e-160  532.3  43.0   360   645   530   860   524   864 0.94 | transcript=PVPAM_120068700_t1 | gene=PVPAM_120068700 | organism=Plasmodium_vivax_PAM | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=CASCJQ010000012:2605114-2610837(+) | protein_length=1907 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722450.1         -           1907 775at5820            -           1195         0 2201.1 202.1   4   9   1.3e-30   4.2e-27   92.8   1.6   637   706   877   946   874   959 0.90 | transcript=PVPAM_120068700_t1 | gene=PVPAM_120068700 | organism=Plasmodium_vivax_PAM | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=CASCJQ010000012:2605114-2610837(+) | protein_length=1907 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722450.1         -           1907 775at5820            -           1195         0 2201.1 202.1   5   9  4.6e-225  1.5e-221  736.8  55.5   670  1064   953  1386   945  1393 0.90 | transcript=PVPAM_120068700_t1 | gene=PVPAM_120068700 | organism=Plasmodium_vivax_PAM | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=CASCJQ010000012:2605114-2610837(+) | protein_length=1907 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722450.1         -           1907 775at5820            -           1195         0 2201.1 202.1   6   9   6.8e-34   2.2e-30  103.7   7.9  1058  1124  1405  1471  1397  1505 0.90 | transcript=PVPAM_120068700_t1 | gene=PVPAM_120068700 | organism=Plasmodium_vivax_PAM | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=CASCJQ010000012:2605114-2610837(+) | protein_length=1907 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722450.1         -           1907 775at5820            -           1195         0 2201.1 202.1   7   9   3.8e-05      0.12    8.4   0.5  1118  1140  1519  1541  1508  1592 0.76 | transcript=PVPAM_120068700_t1 | gene=PVPAM_120068700 | organism=Plasmodium_vivax_PAM | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=CASCJQ010000012:2605114-2610837(+) | protein_length=1907 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722450.1         -           1907 775at5820            -           1195         0 2201.1 202.1   8   9   1.9e-08   6.3e-05   19.3   0.4  1142  1176  1658  1703  1648  1717 0.80 | transcript=PVPAM_120068700_t1 | gene=PVPAM_120068700 | organism=Plasmodium_vivax_PAM | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=CASCJQ010000012:2605114-2610837(+) | protein_length=1907 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722450.1         -           1907 775at5820            -           1195         0 2201.1 202.1   9   9   4.5e-06     0.014   11.5   3.3  1139  1195  1790  1848  1777  1848 0.72 | transcript=PVPAM_120068700_t1 | gene=PVPAM_120068700 | organism=Plasmodium_vivax_PAM | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=CASCJQ010000012:2605114-2610837(+) | protein_length=1907 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719784.1         -           1296 775at5820            -           1195   0.00029   17.2  17.4   1   2    0.0019       6.1    2.8   2.5   182   272   593   689   558   703 0.70 | transcript=PVPAM_070039800_t1 | gene=PVPAM_070039800 | organism=Plasmodium_vivax_PAM | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=CASCJQ010000007:1440447-1444337(-) | protein_length=1296 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719784.1         -           1296 775at5820            -           1195   0.00029   17.2  17.4   2   2   8.8e-08   0.00029   17.2  17.4   874  1017   877  1020   802  1023 0.92 | transcript=PVPAM_070039800_t1 | gene=PVPAM_070039800 | organism=Plasmodium_vivax_PAM | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=CASCJQ010000007:1440447-1444337(-) | protein_length=1296 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
