#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722479.1         -            745 6648at5820           -            520  1.5e-196  652.5  23.6   1   1  3.1e-197  3.3e-194  644.7  23.6     1   520     1   745     1   745 0.90 | transcript=PVPAM_120071600_t1 | gene=PVPAM_120071600 | organism=Plasmodium_vivax_PAM | gene_product=AP-3 complex subunit mu, putative | transcript_product=AP-3 complex subunit mu, putative | location=CASCJQ010000012:2741271-2743508(+) | protein_length=745 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720478.1         -            478 6648at5820           -            520   4.7e-12   43.7  13.4   1   3   4.3e-15   4.7e-12   43.7  13.4    52   259    56   281     5   325 0.77 | transcript=PVPAM_090024300_t1 | gene=PVPAM_090024300 | organism=Plasmodium_vivax_PAM | gene_product=AP-4 complex subunit mu, putative | transcript_product=AP-4 complex subunit mu, putative | location=CASCJQ010000009:882560-884344(+) | protein_length=478 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720478.1         -            478 6648at5820           -            520   4.7e-12   43.7  13.4   2   3      0.12   1.3e+02   -0.6   0.3   376   433   357   414   290   426 0.57 | transcript=PVPAM_090024300_t1 | gene=PVPAM_090024300 | organism=Plasmodium_vivax_PAM | gene_product=AP-4 complex subunit mu, putative | transcript_product=AP-4 complex subunit mu, putative | location=CASCJQ010000009:882560-884344(+) | protein_length=478 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720478.1         -            478 6648at5820           -            520   4.7e-12   43.7  13.4   3   3      0.16   1.7e+02   -1.1   0.4   473   513   429   470   359   477 0.60 | transcript=PVPAM_090024300_t1 | gene=PVPAM_090024300 | organism=Plasmodium_vivax_PAM | gene_product=AP-4 complex subunit mu, putative | transcript_product=AP-4 complex subunit mu, putative | location=CASCJQ010000009:882560-884344(+) | protein_length=478 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723280.1         -            458 6648at5820           -            520   8.2e-11   39.6  28.5   1   4     3e-08   3.3e-05   21.1  14.4     3   160     6   159     4   162 0.79 | transcript=PVPAM_140019900_t1 | gene=PVPAM_140019900 | organism=Plasmodium_vivax_PAM | gene_product=AP-1 complex subunit mu-1, putative | transcript_product=AP-1 complex subunit mu-1, putative | location=CASCJQ010000014:665046-666422(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723280.1         -            458 6648at5820           -            520   8.2e-11   39.6  28.5   2   4   3.9e-10   4.2e-07   27.4   0.1   184   251   155   223   148   231 0.89 | transcript=PVPAM_140019900_t1 | gene=PVPAM_140019900 | organism=Plasmodium_vivax_PAM | gene_product=AP-1 complex subunit mu-1, putative | transcript_product=AP-1 complex subunit mu-1, putative | location=CASCJQ010000014:665046-666422(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723280.1         -            458 6648at5820           -            520   8.2e-11   39.6  28.5   3   4     0.039        42    1.0   1.6   273   345   281   348   257   423 0.56 | transcript=PVPAM_140019900_t1 | gene=PVPAM_140019900 | organism=Plasmodium_vivax_PAM | gene_product=AP-1 complex subunit mu-1, putative | transcript_product=AP-1 complex subunit mu-1, putative | location=CASCJQ010000014:665046-666422(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723280.1         -            458 6648at5820           -            520   8.2e-11   39.6  28.5   4   4     0.096     1e+02   -0.3   0.4   404   429   362   387   356   457 0.55 | transcript=PVPAM_140019900_t1 | gene=PVPAM_140019900 | organism=Plasmodium_vivax_PAM | gene_product=AP-1 complex subunit mu-1, putative | transcript_product=AP-1 complex subunit mu-1, putative | location=CASCJQ010000014:665046-666422(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723526.1         -            611 6648at5820           -            520   4.3e-09   33.9  80.6   1   3   6.6e-09   7.1e-06   23.3  53.8     1   248     2   304     2   308 0.76 | transcript=PVPAM_140045000_t1 | gene=PVPAM_140045000 | organism=Plasmodium_vivax_PAM | gene_product=AP-2 complex subunit mu, putative | transcript_product=AP-2 complex subunit mu, putative | location=CASCJQ010000014:1674365-1676200(+) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723526.1         -            611 6648at5820           -            520   4.3e-09   33.9  80.6   2   3     0.073        79    0.1   0.6   256   348   371   456   358   463 0.51 | transcript=PVPAM_140045000_t1 | gene=PVPAM_140045000 | organism=Plasmodium_vivax_PAM | gene_product=AP-2 complex subunit mu, putative | transcript_product=AP-2 complex subunit mu, putative | location=CASCJQ010000014:1674365-1676200(+) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723526.1         -            611 6648at5820           -            520   4.3e-09   33.9  80.6   3   3   2.8e-07    0.0003   18.0  12.6   385   511   466   603   451   609 0.80 | transcript=PVPAM_140045000_t1 | gene=PVPAM_140045000 | organism=Plasmodium_vivax_PAM | gene_product=AP-2 complex subunit mu, putative | transcript_product=AP-2 complex subunit mu, putative | location=CASCJQ010000014:1674365-1676200(+) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
