#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717804.1         -           1617 2109at5820           -            700  1.4e-297  987.6  78.5   1  11   3.2e-49     1e-45  155.0   2.1     2    91    70   161    69   162 0.95 | transcript=PVPAM_010031800_t1 | gene=PVPAM_010031800 | organism=Plasmodium_vivax_PAM | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=CASCJQ010000001:1208595-1213721(-) | protein_length=1617 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717804.1         -           1617 2109at5820           -            700  1.4e-297  987.6  78.5   2  11   2.8e-28   9.1e-25   85.8   1.0    71   146   238   313   229   324 0.87 | transcript=PVPAM_010031800_t1 | gene=PVPAM_010031800 | organism=Plasmodium_vivax_PAM | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=CASCJQ010000001:1208595-1213721(-) | protein_length=1617 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717804.1         -           1617 2109at5820           -            700  1.4e-297  987.6  78.5   3  11   2.1e-60   6.9e-57  192.0  10.9   145   308   378   559   365   584 0.82 | transcript=PVPAM_010031800_t1 | gene=PVPAM_010031800 | organism=Plasmodium_vivax_PAM | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=CASCJQ010000001:1208595-1213721(-) | protein_length=1617 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717804.1         -           1617 2109at5820           -            700  1.4e-297  987.6  78.5   4  11    0.0024       7.8    3.4   1.9   294   331   631   668   622   685 0.82 | transcript=PVPAM_010031800_t1 | gene=PVPAM_010031800 | organism=Plasmodium_vivax_PAM | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=CASCJQ010000001:1208595-1213721(-) | protein_length=1617 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717804.1         -           1617 2109at5820           -            700  1.4e-297  987.6  78.5   5  11    0.0008       2.6    5.0   0.0   319   356   762   800   738   803 0.81 | transcript=PVPAM_010031800_t1 | gene=PVPAM_010031800 | organism=Plasmodium_vivax_PAM | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=CASCJQ010000001:1208595-1213721(-) | protein_length=1617 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717804.1         -           1617 2109at5820           -            700  1.4e-297  987.6  78.5   6  11     2e-61   6.6e-58  195.3   8.2   351   472   980  1103   971  1106 0.95 | transcript=PVPAM_010031800_t1 | gene=PVPAM_010031800 | organism=Plasmodium_vivax_PAM | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=CASCJQ010000001:1208595-1213721(-) | protein_length=1617 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717804.1         -           1617 2109at5820           -            700  1.4e-297  987.6  78.5   7  11   2.6e-46   8.4e-43  145.4   0.4   470   553  1144  1227  1141  1241 0.89 | transcript=PVPAM_010031800_t1 | gene=PVPAM_010031800 | organism=Plasmodium_vivax_PAM | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=CASCJQ010000001:1208595-1213721(-) | protein_length=1617 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717804.1         -           1617 2109at5820           -            700  1.4e-297  987.6  78.5   8  11      0.01        33    1.3   0.0   539   560  1279  1300  1273  1315 0.77 | transcript=PVPAM_010031800_t1 | gene=PVPAM_010031800 | organism=Plasmodium_vivax_PAM | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=CASCJQ010000001:1208595-1213721(-) | protein_length=1617 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717804.1         -           1617 2109at5820           -            700  1.4e-297  987.6  78.5   9  11   6.5e-22   2.1e-18   64.8   0.0   553   603  1377  1427  1363  1431 0.91 | transcript=PVPAM_010031800_t1 | gene=PVPAM_010031800 | organism=Plasmodium_vivax_PAM | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=CASCJQ010000001:1208595-1213721(-) | protein_length=1617 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717804.1         -           1617 2109at5820           -            700  1.4e-297  987.6  78.5  10  11   9.8e-31   3.2e-27   93.9   0.1   603   651  1474  1522  1468  1530 0.94 | transcript=PVPAM_010031800_t1 | gene=PVPAM_010031800 | organism=Plasmodium_vivax_PAM | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=CASCJQ010000001:1208595-1213721(-) | protein_length=1617 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717804.1         -           1617 2109at5820           -            700  1.4e-297  987.6  78.5  11  11   1.3e-26   4.3e-23   80.3   0.4   651   699  1555  1603  1549  1604 0.94 | transcript=PVPAM_010031800_t1 | gene=PVPAM_010031800 | organism=Plasmodium_vivax_PAM | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=CASCJQ010000001:1208595-1213721(-) | protein_length=1617 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723679.1         -           1043 2109at5820           -            700     0.034   11.2  24.6   1   3         2   6.5e+03   -6.8  12.8   273   390   745   861   742   872 0.57 | transcript=PVPAM_140060300_t1 | gene=PVPAM_140060300 | organism=Plasmodium_vivax_PAM | gene_product=sentrin-specific protease 1, putative | transcript_product=sentrin-specific protease 1, putative | location=CASCJQ010000014:2390282-2393757(+) | protein_length=1043 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723679.1         -           1043 2109at5820           -            700     0.034   11.2  24.6   2   3   9.2e-07     0.003   14.7   7.8   443   545   841   948   816   975 0.77 | transcript=PVPAM_140060300_t1 | gene=PVPAM_140060300 | organism=Plasmodium_vivax_PAM | gene_product=sentrin-specific protease 1, putative | transcript_product=sentrin-specific protease 1, putative | location=CASCJQ010000014:2390282-2393757(+) | protein_length=1043 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723679.1         -           1043 2109at5820           -            700     0.034   11.2  24.6   3   3   0.00074       2.4    5.1   0.0   615   639   992  1016   988  1027 0.89 | transcript=PVPAM_140060300_t1 | gene=PVPAM_140060300 | organism=Plasmodium_vivax_PAM | gene_product=sentrin-specific protease 1, putative | transcript_product=sentrin-specific protease 1, putative | location=CASCJQ010000014:2390282-2393757(+) | protein_length=1043 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2109at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2109at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2109at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:04 2026
# [ok]
