#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721258.1         -           1973 579at5820            -           1498         0 2540.5  80.5   1   2         0         0 1294.0  31.8    10   807    60  1097     5  1117 0.84 | transcript=PVPAM_110016000_t1 | gene=PVPAM_110016000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:444895-450816(-) | protein_length=1973 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721258.1         -           1973 579at5820            -           1498         0 2540.5  80.5   2   2         0         0 1250.4  40.7   756  1498  1161  1973  1142  1973 0.89 | transcript=PVPAM_110016000_t1 | gene=PVPAM_110016000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:444895-450816(-) | protein_length=1973 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717718.1         -           2378 579at5820            -           1498   6.9e-66  221.3  46.3   1   5   1.7e-22   1.8e-19   67.5   1.8   422   529   926  1032   920  1050 0.88 | transcript=PVPAM_010023200_t1 | gene=PVPAM_010023200 | organism=Plasmodium_vivax_PAM | gene_product=hydrolase, putative | transcript_product=hydrolase, putative | location=CASCJQ010000001:841454-849522(-) | protein_length=2378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717718.1         -           2378 579at5820            -           1498   6.9e-66  221.3  46.3   2   5       5.1   5.5e+03   -7.0  11.1    59   181  1678  1809  1642  1821 0.40 | transcript=PVPAM_010023200_t1 | gene=PVPAM_010023200 | organism=Plasmodium_vivax_PAM | gene_product=hydrolase, putative | transcript_product=hydrolase, putative | location=CASCJQ010000001:841454-849522(-) | protein_length=2378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717718.1         -           2378 579at5820            -           1498   6.9e-66  221.3  46.3   3   5   2.9e-19   3.2e-16   56.7   3.3  1023  1139  1968  2080  1946  2089 0.86 | transcript=PVPAM_010023200_t1 | gene=PVPAM_010023200 | organism=Plasmodium_vivax_PAM | gene_product=hydrolase, putative | transcript_product=hydrolase, putative | location=CASCJQ010000001:841454-849522(-) | protein_length=2378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717718.1         -           2378 579at5820            -           1498   6.9e-66  221.3  46.3   4   5   5.7e-15   6.2e-12   42.5   0.2  1178  1246  2084  2152  2073  2174 0.86 | transcript=PVPAM_010023200_t1 | gene=PVPAM_010023200 | organism=Plasmodium_vivax_PAM | gene_product=hydrolase, putative | transcript_product=hydrolase, putative | location=CASCJQ010000001:841454-849522(-) | protein_length=2378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717718.1         -           2378 579at5820            -           1498   6.9e-66  221.3  46.3   5   5     3e-27   3.2e-24   83.2   2.0  1414  1496  2291  2373  2162  2375 0.84 | transcript=PVPAM_010023200_t1 | gene=PVPAM_010023200 | organism=Plasmodium_vivax_PAM | gene_product=hydrolase, putative | transcript_product=hydrolase, putative | location=CASCJQ010000001:841454-849522(-) | protein_length=2378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718974.1         -            298 579at5820            -           1498      0.44    6.6  39.2   1   1   0.00043      0.46    6.5  39.2    12   867   174   290    60   298 0.42 | transcript=PVPAM_050036600_t1 | gene=PVPAM_050036600 | organism=Plasmodium_vivax_PAM | gene_product=ran-specific GTPase-activating protein 1, putative | transcript_product=ran-specific GTPase-activating protein 1, putative | location=CASCJQ010000005:1316265-1317533(+) | protein_length=298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722955.1         -            228 579at5820            -           1498      0.46    6.5  19.4   1   1    0.0005      0.54    6.2  19.4    32   157    48   179    10   194 0.54 | transcript=PVPAM_130046100_t1 | gene=PVPAM_130046100 | organism=Plasmodium_vivax_PAM | gene_product=DEK-C domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3H4] | transcript_product=DEK-C domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3H4] | location=CASCJQ010000013:1773281-1774836(-) | protein_length=228 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719309.1         -            437 579at5820            -           1498      0.93    5.5  16.6   1   1    0.0012       1.3    5.0  16.6   770   917   255   406   224   417 0.58 | transcript=PVPAM_060031600_t1 | gene=PVPAM_060031600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:1083235-1084548(+) | protein_length=437 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718810.1         -            130 579at5820            -           1498       1.3    5.0  12.8   1   1    0.0013       1.4    4.9  12.8    20   114    14   105     2   116 0.52 | transcript=PVPAM_050020400_t1 | gene=PVPAM_050020400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:665766-666750(-) | protein_length=130 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
