#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718148.1         -            780 3749at5820           -            537  5.5e-296  980.9  28.0   1   3   9.3e-55   1.2e-51  174.5   6.0     1   107   115   222   115   252 0.91 | transcript=PVPAM_030014600_t1 | gene=PVPAM_030014600 | organism=Plasmodium_vivax_PAM | gene_product=ribosome biogenesis GTPase A, putative | transcript_product=ribosome biogenesis GTPase A, putative | location=CASCJQ010000003:419503-421845(-) | protein_length=780 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718148.1         -            780 3749at5820           -            537  5.5e-296  980.9  28.0   2   3   2.1e-07   0.00028   18.2   0.0   104   137   266   307   261   339 0.78 | transcript=PVPAM_030014600_t1 | gene=PVPAM_030014600 | organism=Plasmodium_vivax_PAM | gene_product=ribosome biogenesis GTPase A, putative | transcript_product=ribosome biogenesis GTPase A, putative | location=CASCJQ010000003:419503-421845(-) | protein_length=780 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718148.1         -            780 3749at5820           -            537  5.5e-296  980.9  28.0   3   3  1.5e-241    2e-238  791.0  15.8   129   537   351   780   336   780 0.96 | transcript=PVPAM_030014600_t1 | gene=PVPAM_030014600 | organism=Plasmodium_vivax_PAM | gene_product=ribosome biogenesis GTPase A, putative | transcript_product=ribosome biogenesis GTPase A, putative | location=CASCJQ010000003:419503-421845(-) | protein_length=780 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722835.1         -            791 3749at5820           -            537     1e-08   32.8   0.2   1   1   1.7e-11   2.1e-08   31.8   0.2   280   418   509   649   499   665 0.70 | transcript=PVPAM_130033700_t1 | gene=PVPAM_130033700 | organism=Plasmodium_vivax_PAM | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=CASCJQ010000013:1306054-1308591(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722784.1         -            417 3749at5820           -            537   2.7e-06   24.9  12.4   1   2     3e-08   3.9e-05   21.1   2.1   176   270    87   186    79   193 0.81 | transcript=PVPAM_130028500_t1 | gene=PVPAM_130028500 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000013:1048311-1049564(-) | protein_length=417 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722784.1         -            417 3749at5820           -            537   2.7e-06   24.9  12.4   2   2     0.001       1.4    6.1   2.8   318   339   205   226   194   359 0.83 | transcript=PVPAM_130028500_t1 | gene=PVPAM_130028500 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000013:1048311-1049564(-) | protein_length=417 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720891.1         -            365 3749at5820           -            537   0.00021   18.7   0.1   1   1   3.8e-07    0.0005   17.4   0.0   318   370    66   121    18   133 0.83 | transcript=PVPAM_100015900_t1 | gene=PVPAM_100015900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome-interacting GTPase 1, putative | transcript_product=ribosome-interacting GTPase 1, putative | location=CASCJQ010000010:476880-477977(+) | protein_length=365 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721000.1         -            288 3749at5820           -            537    0.0023   15.2   0.7   1   2   7.9e-06      0.01   13.1   0.1   317   389    86   160    51   173 0.72 | transcript=PVPAM_100026900_t1 | gene=PVPAM_100026900 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein YihA1, putative | transcript_product=GTP-binding protein YihA1, putative | location=CASCJQ010000010:943007-945208(+) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721000.1         -            288 3749at5820           -            537    0.0023   15.2   0.7   2   2     0.057        74    0.3   0.1   173   198   205   230   196   238 0.86 | transcript=PVPAM_100026900_t1 | gene=PVPAM_100026900 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein YihA1, putative | transcript_product=GTP-binding protein YihA1, putative | location=CASCJQ010000010:943007-945208(+) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3749at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3749at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3749at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:29 2026
# [ok]
