#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719285.1         -            512 5626at5820           -            398  3.5e-227  752.6  20.0   1   2  8.1e-212  5.3e-209  692.7  17.7     1   350    44   395    44   403 0.99 | transcript=PVPAM_060029200_t1 | gene=PVPAM_060029200 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein HPR1, putative | transcript_product=heptatricopeptide repeat-containing protein HPR1, putative | location=CASCJQ010000006:992367-993905(+) | protein_length=512 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719285.1         -            512 5626at5820           -            398  3.5e-227  752.6  20.0   2   2   9.1e-20   5.9e-17   60.3   0.0   348   397   460   510   449   511 0.90 | transcript=PVPAM_060029200_t1 | gene=PVPAM_060029200 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein HPR1, putative | transcript_product=heptatricopeptide repeat-containing protein HPR1, putative | location=CASCJQ010000006:992367-993905(+) | protein_length=512 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722454.1         -            596 5626at5820           -            398   1.9e-11   42.2  32.2   1   2   4.7e-05     0.031   11.8   4.9    44   179    34   169     2   184 0.89 | transcript=PVPAM_120069100_t1 | gene=PVPAM_120069100 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000012:2621010-2623036(-) | protein_length=596 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722454.1         -            596 5626at5820           -            398   1.9e-11   42.2  32.2   2   2   2.3e-12   1.5e-09   35.9  19.3    43   211   212   386   181   394 0.79 | transcript=PVPAM_120069100_t1 | gene=PVPAM_120069100 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000012:2621010-2623036(-) | protein_length=596 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720184.1         -            631 5626at5820           -            398   2.4e-11   41.8   6.9   1   2   2.9e-08   1.9e-05   22.4   0.3    48   141   233   326   221   332 0.94 | transcript=PVPAM_080040600_t1 | gene=PVPAM_080040600 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:1578300-1580195(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720184.1         -            631 5626at5820           -            398   2.4e-11   41.8   6.9   2   2   3.2e-08   2.1e-05   22.2   1.4    73   194   333   454   327   498 0.89 | transcript=PVPAM_080040600_t1 | gene=PVPAM_080040600 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:1578300-1580195(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723553.1         -            836 5626at5820           -            398   5.4e-10   37.3  36.6   1   3   8.7e-09   5.6e-06   24.1  18.0    67   290    94   313    77   345 0.85 | transcript=PVPAM_140047700_t1 | gene=PVPAM_140047700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000014:1815230-1817740(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723553.1         -            836 5626at5820           -            398   5.4e-10   37.3  36.6   2   3   0.00086      0.56    7.7   9.9    37   185   252   412   248   414 0.74 | transcript=PVPAM_140047700_t1 | gene=PVPAM_140047700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000014:1815230-1817740(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723553.1         -            836 5626at5820           -            398   5.4e-10   37.3  36.6   3   3   1.1e-06   0.00071   17.2  10.4    67   189   364   490   348   506 0.85 | transcript=PVPAM_140047700_t1 | gene=PVPAM_140047700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000014:1815230-1817740(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723603.1         -           1230 5626at5820           -            398   4.7e-09   34.3  23.9   1   5      0.69   4.5e+02   -1.9   0.2   112   148   103   139    52   168 0.65 | transcript=PVPAM_140052700_t1 | gene=PVPAM_140052700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:2053095-2056787(+) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723603.1         -           1230 5626at5820           -            398   4.7e-09   34.3  23.9   2   5    0.0019       1.2    6.5   0.1    18    77   255   314   228   326 0.71 | transcript=PVPAM_140052700_t1 | gene=PVPAM_140052700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:2053095-2056787(+) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723603.1         -           1230 5626at5820           -            398   4.7e-09   34.3  23.9   3   5   8.9e-09   5.8e-06   24.1   4.3    90   192   399   502   397   530 0.90 | transcript=PVPAM_140052700_t1 | gene=PVPAM_140052700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:2053095-2056787(+) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723603.1         -           1230 5626at5820           -            398   4.7e-09   34.3  23.9   4   5      0.12        75    0.7   0.1    55    90   517   555   502   557 0.77 | transcript=PVPAM_140052700_t1 | gene=PVPAM_140052700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:2053095-2056787(+) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723603.1         -           1230 5626at5820           -            398   4.7e-09   34.3  23.9   5   5   1.7e-05     0.011   13.3   2.5     6    96   622   712   618   777 0.83 | transcript=PVPAM_140052700_t1 | gene=PVPAM_140052700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:2053095-2056787(+) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719142.1         -            731 5626at5820           -            398   4.9e-05   21.0   6.1   1   2    0.0022       1.4    6.3   0.1   139   183   242   286   225   314 0.81 | transcript=PVPAM_060014900_t1 | gene=PVPAM_060014900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:407400-409595(-) | protein_length=731 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
