#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721840.1         -           1790 1177at5820           -           1061         0 1502.6 135.2   1  10     3e-12   6.4e-09   33.0   2.4     1    38     1    39     1    58 0.82 | transcript=PVPAM_120007400_t1 | gene=PVPAM_120007400 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000012:102052-107424(-) | protein_length=1790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721840.1         -           1790 1177at5820           -           1061         0 1502.6 135.2   2  10   1.2e-49   2.6e-46  156.8   9.2    44   133   136   225   129   229 0.96 | transcript=PVPAM_120007400_t1 | gene=PVPAM_120007400 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000012:102052-107424(-) | protein_length=1790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721840.1         -           1790 1177at5820           -           1061         0 1502.6 135.2   3  10   7.6e-64   1.6e-60  203.8  11.9   132   264   249   389   245   410 0.92 | transcript=PVPAM_120007400_t1 | gene=PVPAM_120007400 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000012:102052-107424(-) | protein_length=1790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721840.1         -           1790 1177at5820           -           1061         0 1502.6 135.2   4  10   2.6e-14   5.7e-11   39.7   0.1   275   308   551   584   510   601 0.84 | transcript=PVPAM_120007400_t1 | gene=PVPAM_120007400 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000012:102052-107424(-) | protein_length=1790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721840.1         -           1790 1177at5820           -           1061         0 1502.6 135.2   5  10   1.6e-54   3.3e-51  172.9   0.1   308   484   622   864   619   880 0.78 | transcript=PVPAM_120007400_t1 | gene=PVPAM_120007400 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000012:102052-107424(-) | protein_length=1790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721840.1         -           1790 1177at5820           -           1061         0 1502.6 135.2   6  10      0.17   3.7e+02   -2.7   2.6   498   514   963   979   930   981 0.79 | transcript=PVPAM_120007400_t1 | gene=PVPAM_120007400 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000012:102052-107424(-) | protein_length=1790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721840.1         -           1790 1177at5820           -           1061         0 1502.6 135.2   7  10   1.6e-17   3.5e-14   50.4   6.5   514   590  1023  1120  1000  1140 0.73 | transcript=PVPAM_120007400_t1 | gene=PVPAM_120007400 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000012:102052-107424(-) | protein_length=1790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721840.1         -           1790 1177at5820           -           1061         0 1502.6 135.2   8  10   4.1e-34   8.9e-31  105.3   3.4   587   662  1153  1228  1134  1233 0.93 | transcript=PVPAM_120007400_t1 | gene=PVPAM_120007400 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000012:102052-107424(-) | protein_length=1790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721840.1         -           1790 1177at5820           -           1061         0 1502.6 135.2   9  10   1.6e-95   3.4e-92  308.7  18.3   660   821  1306  1466  1291  1470 0.97 | transcript=PVPAM_120007400_t1 | gene=PVPAM_120007400 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000012:102052-107424(-) | protein_length=1790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721840.1         -           1790 1177at5820           -           1061         0 1502.6 135.2  10  10  1.1e-146  2.3e-143  478.1  18.4   816  1060  1541  1787  1537  1788 0.98 | transcript=PVPAM_120007400_t1 | gene=PVPAM_120007400 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000012:102052-107424(-) | protein_length=1790 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722293.1         -            785 1177at5820           -           1061   1.5e-15   55.0  36.1   1   2   1.4e-06     0.003   14.2   0.9   609   677    51   132    43   150 0.65 | transcript=PVPAM_120053000_t1 | gene=PVPAM_120053000 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000012:1930734-1933091(-) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722293.1         -            785 1177at5820           -           1061   1.5e-15   55.0  36.1   2   2     5e-16   1.1e-12   45.5  28.3   698  1058   367   711   324   714 0.76 | transcript=PVPAM_120053000_t1 | gene=PVPAM_120053000 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000012:1930734-1933091(-) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721000.1         -            288 1177at5820           -           1061     0.005   13.4   0.1   1   1     4e-06    0.0086   12.7   0.1   793   884    57   138    30   144 0.72 | transcript=PVPAM_100026900_t1 | gene=PVPAM_100026900 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein YihA1, putative | transcript_product=GTP-binding protein YihA1, putative | location=CASCJQ010000010:943007-945208(+) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
