#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719779.1         -            721 7211at5820           -            625  5.3e-201  668.5   0.0   1   1  1.8e-203    7e-201  668.1   0.0     1   625     1   721     1   721 0.76 | transcript=PVPAM_070039300_t1 | gene=PVPAM_070039300 | organism=Plasmodium_vivax_PAM | gene_product=CSTF domain-containing protein, putative | transcript_product=CSTF domain-containing protein, putative | location=CASCJQ010000007:1427879-1430044(+) | protein_length=721 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719239.1         -            858 7211at5820           -            625     2e-21   75.2  18.3   1   3    0.0019      0.72    7.4   0.0    10    39    13    42     8    44 0.90 | transcript=PVPAM_060024600_t1 | gene=PVPAM_060024600 | organism=Plasmodium_vivax_PAM | gene_product=partial CSTF domain-containing protein, putative | transcript_product=partial CSTF domain-containing protein, putative | location=CASCJQ010000006:828339-831243(-) | protein_length=858 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719239.1         -            858 7211at5820           -            625     2e-21   75.2  18.3   2   3   0.00021     0.081   10.5   0.2   142   220   127   205    69   214 0.51 | transcript=PVPAM_060024600_t1 | gene=PVPAM_060024600 | organism=Plasmodium_vivax_PAM | gene_product=partial CSTF domain-containing protein, putative | transcript_product=partial CSTF domain-containing protein, putative | location=CASCJQ010000006:828339-831243(-) | protein_length=858 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719239.1         -            858 7211at5820           -            625     2e-21   75.2  18.3   3   3   2.7e-19     1e-16   59.7  10.5   282   624   494   854   475   855 0.50 | transcript=PVPAM_060024600_t1 | gene=PVPAM_060024600 | organism=Plasmodium_vivax_PAM | gene_product=partial CSTF domain-containing protein, putative | transcript_product=partial CSTF domain-containing protein, putative | location=CASCJQ010000006:828339-831243(-) | protein_length=858 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 7211at5820           -            625   3.9e-10   38.0   1.9   1   3   1.2e-11   4.4e-09   34.5   0.3     6   133    15   148    11   182 0.69 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 7211at5820           -            625   3.9e-10   38.0   1.9   2   3   7.9e-05      0.03   11.9   0.1     8    72   194   255   187   259 0.90 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 7211at5820           -            625   3.9e-10   38.0   1.9   3   3       6.8   2.6e+03   -4.4   7.9   426   557   317   446   261   469 0.51 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722937.1         -            479 7211at5820           -            625   4.3e-09   34.5   8.0   1   2   0.00012     0.044   11.4   1.0     3    83    16    96    14   108 0.88 | transcript=PVPAM_130043900_t1 | gene=PVPAM_130043900 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=CASCJQ010000013:1690833-1692526(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722937.1         -            479 7211at5820           -            625   4.3e-09   34.5   8.0   2   2     2e-09   7.6e-07   27.1   1.1     8   142   108   249   105   268 0.71 | transcript=PVPAM_130043900_t1 | gene=PVPAM_130043900 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=CASCJQ010000013:1690833-1692526(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723375.1         -            124 7211at5820           -            625   1.9e-08   32.4   3.7   1   1   5.7e-11   2.2e-08   32.2   3.7     7   107     8   108     1   120 0.84 | transcript=PVPAM_140029400_t1 | gene=PVPAM_140029400 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000014:1055808-1056679(-) | protein_length=124 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718792.1         -            292 7211at5820           -            625   8.3e-08   30.3   0.0   1   2   2.1e-05    0.0079   13.8   0.0     1    36     1    36     1    58 0.78 | transcript=PVPAM_050018600_t1 | gene=PVPAM_050018600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:612140-613354(+) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
