#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720591.1         -           1571 1267at5820           -           1206         0 1980.7 160.0   1   5     2e-08   3.2e-05   20.3   0.2     1    32    39    71    39    85 0.84 | transcript=PVPAM_090035600_t1 | gene=PVPAM_090035600 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=CASCJQ010000009:1358236-1363078(-) | protein_length=1571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720591.1         -           1571 1267at5820           -           1206         0 1980.7 160.0   2   5  4.8e-209  7.7e-206  684.8  41.8    29   424   199   609   191   618 0.95 | transcript=PVPAM_090035600_t1 | gene=PVPAM_090035600 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=CASCJQ010000009:1358236-1363078(-) | protein_length=1571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720591.1         -           1571 1267at5820           -           1206         0 1980.7 160.0   3   5   3.3e-94   5.3e-91  304.5  25.4   418   626   646   874   644   877 0.93 | transcript=PVPAM_090035600_t1 | gene=PVPAM_090035600 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=CASCJQ010000009:1358236-1363078(-) | protein_length=1571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720591.1         -           1571 1267at5820           -           1206         0 1980.7 160.0   4   5  4.4e-116    7e-113  376.9  44.6   626   909   914  1217   908  1219 0.93 | transcript=PVPAM_090035600_t1 | gene=PVPAM_090035600 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=CASCJQ010000009:1358236-1363078(-) | protein_length=1571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720591.1         -           1571 1267at5820           -           1206         0 1980.7 160.0   5   5  3.4e-187  5.5e-184  612.4  27.2   838  1205  1183  1569  1177  1570 0.88 | transcript=PVPAM_090035600_t1 | gene=PVPAM_090035600 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=CASCJQ010000009:1358236-1363078(-) | protein_length=1571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720592.1         -           1206 1267at5820           -           1206         0 1379.6 123.5   1   4   1.5e-08   2.4e-05   20.7   0.2     1    32    39    71    39    85 0.84 | transcript=PVPAM_090035600_t2 | gene=PVPAM_090035600 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=CASCJQ010000009:1359343-1363078(-) | protein_length=1206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720592.1         -           1206 1267at5820           -           1206         0 1379.6 123.5   2   4  2.9e-209  4.7e-206  685.6  41.8    29   424   199   609   191   618 0.95 | transcript=PVPAM_090035600_t2 | gene=PVPAM_090035600 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=CASCJQ010000009:1359343-1363078(-) | protein_length=1206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720592.1         -           1206 1267at5820           -           1206         0 1379.6 123.5   3   4   2.2e-94   3.5e-91  305.0  25.4   418   626   646   874   644   877 0.93 | transcript=PVPAM_090035600_t2 | gene=PVPAM_090035600 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=CASCJQ010000009:1359343-1363078(-) | protein_length=1206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720592.1         -           1206 1267at5820           -           1206         0 1379.6 123.5   4   4  4.2e-118  6.8e-115  383.6  35.2   626   875   914  1183   908  1203 0.90 | transcript=PVPAM_090035600_t2 | gene=PVPAM_090035600 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=CASCJQ010000009:1359343-1363078(-) | protein_length=1206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721045.1         -           1449 1267at5820           -           1206   1.3e-37  127.6  13.9   1   7   8.1e-21   1.3e-17   61.4   0.1    31   135    31   138    13   153 0.77 | transcript=PVPAM_100031300_t1 | gene=PVPAM_100031300 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 4, putative | transcript_product=structural maintenance of chromosomes protein 4, putative | location=CASCJQ010000010:1138455-1142804(-) | protein_length=1449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721045.1         -           1449 1267at5820           -           1206   1.3e-37  127.6  13.9   2   7         4   6.5e+03  -13.0  41.5   156   477   181   486   170   486 0.65 | transcript=PVPAM_100031300_t1 | gene=PVPAM_100031300 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 4, putative | transcript_product=structural maintenance of chromosomes protein 4, putative | location=CASCJQ010000010:1138455-1142804(-) | protein_length=1449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
