#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721313.1         -            824 3374at5820           -            638         0 1084.7  62.4   1   4   1.1e-45   2.4e-42  144.0   5.0     1   114     7   147     7   166 0.83 | transcript=PVPAM_110021600_t1 | gene=PVPAM_110021600 | organism=Plasmodium_vivax_PAM | gene_product=phosphoinositide phosphatase SAC1, putative | transcript_product=phosphoinositide phosphatase SAC1, putative | location=CASCJQ010000011:699998-702472(+) | protein_length=824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721313.1         -            824 3374at5820           -            638         0 1084.7  62.4   2   4   5.9e-28   1.3e-24   85.4   4.0   124   180   191   247   155   252 0.86 | transcript=PVPAM_110021600_t1 | gene=PVPAM_110021600 | organism=Plasmodium_vivax_PAM | gene_product=phosphoinositide phosphatase SAC1, putative | transcript_product=phosphoinositide phosphatase SAC1, putative | location=CASCJQ010000011:699998-702472(+) | protein_length=824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721313.1         -            824 3374at5820           -            638         0 1084.7  62.4   3   4  7.1e-132  1.5e-128  428.7   7.9   178   400   280   509   266   515 0.95 | transcript=PVPAM_110021600_t1 | gene=PVPAM_110021600 | organism=Plasmodium_vivax_PAM | gene_product=phosphoinositide phosphatase SAC1, putative | transcript_product=phosphoinositide phosphatase SAC1, putative | location=CASCJQ010000011:699998-702472(+) | protein_length=824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721313.1         -            824 3374at5820           -            638         0 1084.7  62.4   4   4  7.6e-136  1.6e-132  441.8  22.9   393   638   559   823   555   823 0.93 | transcript=PVPAM_110021600_t1 | gene=PVPAM_110021600 | organism=Plasmodium_vivax_PAM | gene_product=phosphoinositide phosphatase SAC1, putative | transcript_product=phosphoinositide phosphatase SAC1, putative | location=CASCJQ010000011:699998-702472(+) | protein_length=824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717796.1         -           1305 3374at5820           -            638   2.2e-37  127.6  18.6   1   2     0.037        81    0.2   0.2    50    95    73   119    35   125 0.78 | transcript=PVPAM_010031000_t1 | gene=PVPAM_010031000 | organism=Plasmodium_vivax_PAM | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=CASCJQ010000001:1155325-1159242(+) | protein_length=1305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717796.1         -           1305 3374at5820           -            638   2.2e-37  127.6  18.6   2   2     1e-40   2.2e-37  127.6  18.6   144   522   130   518   117   530 0.77 | transcript=PVPAM_010031000_t1 | gene=PVPAM_010031000 | organism=Plasmodium_vivax_PAM | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=CASCJQ010000001:1155325-1159242(+) | protein_length=1305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717676.1         -           2757 3374at5820           -            638   2.7e-30  104.1  56.3   1   4     0.027        59    0.6   5.3    53   132    78   159    50   170 0.78 | transcript=PVPAM_010018600_t1 | gene=PVPAM_010018600 | organism=Plasmodium_vivax_PAM | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=CASCJQ010000001:660888-669339(-) | protein_length=2757 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717676.1         -           2757 3374at5820           -            638   2.7e-30  104.1  56.3   2   4   5.8e-16   1.3e-12   45.8   7.1   121   268   680   850   658   857 0.76 | transcript=PVPAM_010018600_t1 | gene=PVPAM_010018600 | organism=Plasmodium_vivax_PAM | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=CASCJQ010000001:660888-669339(-) | protein_length=2757 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717676.1         -           2757 3374at5820           -            638   2.7e-30  104.1  56.3   3   4   7.6e-16   1.6e-12   45.4  22.2   268   448   979  1192   953  1209 0.67 | transcript=PVPAM_010018600_t1 | gene=PVPAM_010018600 | organism=Plasmodium_vivax_PAM | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=CASCJQ010000001:660888-669339(-) | protein_length=2757 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717676.1         -           2757 3374at5820           -            638   2.7e-30  104.1  56.3   4   4   3.2e-10   6.9e-07   26.8   0.3   458   525  1357  1424  1348  1433 0.93 | transcript=PVPAM_010018600_t1 | gene=PVPAM_010018600 | organism=Plasmodium_vivax_PAM | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=CASCJQ010000001:660888-669339(-) | protein_length=2757 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
