#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723772.1         -            376 7530at5820           -            318  2.7e-195  646.5  24.8   1   2  3.6e-162  5.9e-159  527.1  16.9     1   253     1   254     1   270 0.98 | transcript=PVPAM_140069500_t1 | gene=PVPAM_140069500 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 82, putative | transcript_product=WD repeat-containing protein 82, putative | location=CASCJQ010000014:2749587-2751143(-) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723772.1         -            376 7530at5820           -            318  2.7e-195  646.5  24.8   2   2     1e-39   1.7e-36  124.7   0.9   235   318   275   376   266   376 0.79 | transcript=PVPAM_140069500_t1 | gene=PVPAM_140069500 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 82, putative | transcript_product=WD repeat-containing protein 82, putative | location=CASCJQ010000014:2749587-2751143(-) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718172.1         -            327 7530at5820           -            318   3.3e-07   28.5   0.8   1   3     0.012        20    2.9   0.0    35    64    16    45     8    54 0.87 | transcript=PVPAM_030017200_t1 | gene=PVPAM_030017200 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=CASCJQ010000003:513442-514823(-) | protein_length=327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718172.1         -            327 7530at5820           -            318   3.3e-07   28.5   0.8   2   3   1.2e-06     0.002   16.1   0.2    37   113    59   136    48   146 0.86 | transcript=PVPAM_030017200_t1 | gene=PVPAM_030017200 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=CASCJQ010000003:513442-514823(-) | protein_length=327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718172.1         -            327 7530at5820           -            318   3.3e-07   28.5   0.8   3   3    0.0014       2.3    6.0   0.0    37   302   150   197   136   230 0.61 | transcript=PVPAM_030017200_t1 | gene=PVPAM_030017200 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=CASCJQ010000003:513442-514823(-) | protein_length=327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 7530at5820           -            318   1.2e-06   26.7   1.1   1   3   7.9e-05      0.13   10.1   0.0   256   315    77   141    28   144 0.77 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 7530at5820           -            318   1.2e-06   26.7   1.1   2   3   7.7e-07    0.0012   16.8   0.2   126   299    75   251    74   270 0.70 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 7530at5820           -            318   1.2e-06   26.7   1.1   3   3    0.0072        12    3.7   0.0    33    60   292   319   278   322 0.87 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 7530at5820           -            318   2.4e-06   25.7   5.4   1   3   0.00072       1.2    7.0   0.2   234   311   104   186    69   226 0.67 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 7530at5820           -            318   2.4e-06   25.7   5.4   2   3     0.086   1.4e+02    0.2   0.1   264   300   387   424   382   441 0.81 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 7530at5820           -            318   2.4e-06   25.7   5.4   3   3   1.8e-07    0.0003   18.8   0.2   216   310   456   558   426   567 0.64 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
