#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722220.1         -            878 2237at5820           -            757         0 1680.2   7.4   1   2    2e-211  7.2e-209  694.1   2.1     1   325     4   363     4   386 0.91 | transcript=PVPAM_120045800_t1 | gene=PVPAM_120045800 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=CASCJQ010000012:1628851-1631615(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722220.1         -            878 2237at5820           -            757         0 1680.2   7.4   2   2  1.9e-300  6.6e-298  988.5   0.3   327   757   438   878   416   878 0.97 | transcript=PVPAM_120045800_t1 | gene=PVPAM_120045800 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=CASCJQ010000012:1628851-1631615(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722988.1         -            304 2237at5820           -            757   9.8e-66  220.8   0.5   1   1   4.7e-67   1.7e-64  216.7   0.5   423   719    31   296    24   301 0.89 | transcript=PVPAM_130049400_t1 | gene=PVPAM_130049400 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase PP1, putative | transcript_product=serine/threonine protein phosphatase PP1, putative | location=CASCJQ010000013:1956130-1958285(-) | protein_length=304 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719134.1         -           2062 2237at5820           -            757   1.4e-53  180.6   0.2   1   2   6.1e-08   2.2e-05   21.2   0.0   420   478  1133  1191  1097  1199 0.84 | transcript=PVPAM_060014100_t1 | gene=PVPAM_060014100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 8, putative | transcript_product=serine/threonine protein phosphatase 8, putative | location=CASCJQ010000006:378525-384867(-) | protein_length=2062 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719134.1         -           2062 2237at5820           -            757   1.4e-53  180.6   0.2   2   2   5.4e-49   1.9e-46  157.0   0.1   482   709  1248  1509  1239  1528 0.76 | transcript=PVPAM_060014100_t1 | gene=PVPAM_060014100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 8, putative | transcript_product=serine/threonine protein phosphatase 8, putative | location=CASCJQ010000006:378525-384867(-) | protein_length=2062 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719695.1         -            510 2237at5820           -            757   3.7e-53  179.2   0.5   1   1   9.3e-55   3.3e-52  176.0   0.5   419   707   217   480   196   490 0.89 | transcript=PVPAM_070030900_t1 | gene=PVPAM_070030900 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase-beta, putative | transcript_product=protein phosphatase-beta, putative | location=CASCJQ010000007:1119834-1121534(-) | protein_length=510 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719719.1         -            307 2237at5820           -            757   1.3e-50  170.8   1.2   1   1   3.5e-52   1.3e-49  167.5   1.2   419   706    18   274     7   280 0.89 | transcript=PVPAM_070033300_t1 | gene=PVPAM_070033300 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 4, putative | transcript_product=serine/threonine protein phosphatase 4, putative | location=CASCJQ010000007:1222988-1223911(-) | protein_length=307 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720159.1         -            308 2237at5820           -            757   8.1e-50  168.2   0.5   1   1   1.3e-51   4.6e-49  165.7   0.5   424   710    25   281    18   296 0.91 | transcript=PVPAM_080038100_t1 | gene=PVPAM_080038100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 6, putative | transcript_product=serine/threonine protein phosphatase 6, putative | location=CASCJQ010000008:1509355-1510281(+) | protein_length=308 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717793.1         -            564 2237at5820           -            757   6.4e-47  158.6   0.3   1   1   9.6e-49   3.4e-46  156.2   0.3   431   707    64   324    55   338 0.84 | transcript=PVPAM_010030700_t1 | gene=PVPAM_010030700 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 2B catalytic subunit A, putative | transcript_product=serine/threonine protein phosphatase 2B catalytic subunit A, putative | location=CASCJQ010000001:1141578-1143819(-) | protein_length=564 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721302.1         -            692 2237at5820           -            757   1.4e-42  144.2   0.3   1   1   1.1e-44     4e-42  142.7   0.3   424   707   400   660   377   675 0.84 | transcript=PVPAM_110020400_t1 | gene=PVPAM_110020400 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=CASCJQ010000011:658207-660285(-) | protein_length=692 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722905.1         -            956 2237at5820           -            757   1.1e-35  121.4   2.6   1   1   7.6e-38   2.7e-35  120.1   2.6   440   726   231   498   163   512 0.82 | transcript=PVPAM_130040700_t1 | gene=PVPAM_130040700 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 7, putative | transcript_product=serine/threonine protein phosphatase 7, putative | location=CASCJQ010000013:1580920-1586294(-) | protein_length=956 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
