#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718144.1         -            953 2909at5820           -            517  1.3e-263  874.1  47.1   1   4   2.2e-62     2e-59  200.4  19.6     5   142     9   167     2   201 0.81 | transcript=PVPAM_030014200_t1 | gene=PVPAM_030014200 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM1, putative | transcript_product=protein phosphatase PPM1, putative | location=CASCJQ010000003:407884-410935(-) | protein_length=953 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718144.1         -            953 2909at5820           -            517  1.3e-263  874.1  47.1   2   4     5e-05     0.046   11.1   0.2   127   170   380   423   362   445 0.82 | transcript=PVPAM_030014200_t1 | gene=PVPAM_030014200 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM1, putative | transcript_product=protein phosphatase PPM1, putative | location=CASCJQ010000003:407884-410935(-) | protein_length=953 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718144.1         -            953 2909at5820           -            517  1.3e-263  874.1  47.1   3   4   1.3e-24   1.2e-21   75.8   3.5   132   247   527   649   512   660 0.72 | transcript=PVPAM_030014200_t1 | gene=PVPAM_030014200 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM1, putative | transcript_product=protein phosphatase PPM1, putative | location=CASCJQ010000003:407884-410935(-) | protein_length=953 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718144.1         -            953 2909at5820           -            517  1.3e-263  874.1  47.1   4   4  1.5e-182  1.4e-179  596.8   2.9   245   516   678   952   674   953 0.97 | transcript=PVPAM_030014200_t1 | gene=PVPAM_030014200 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM1, putative | transcript_product=protein phosphatase PPM1, putative | location=CASCJQ010000003:407884-410935(-) | protein_length=953 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720672.1         -            867 2909at5820           -            517   3.1e-23   81.0   0.3   1   4      0.15   1.3e+02   -0.3   0.1   236   265    45    74    36    88 0.84 | transcript=PVPAM_090043700_t1 | gene=PVPAM_090043700 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=CASCJQ010000009:1711150-1713753(+) | protein_length=867 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720672.1         -            867 2909at5820           -            517   3.1e-23   81.0   0.3   2   4      0.63   5.8e+02   -2.4   0.4   112   163    96   147    72   178 0.48 | transcript=PVPAM_090043700_t1 | gene=PVPAM_090043700 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=CASCJQ010000009:1711150-1713753(+) | protein_length=867 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720672.1         -            867 2909at5820           -            517   3.1e-23   81.0   0.3   3   4      0.16   1.5e+02   -0.5   0.1   276   329   367   419   341   425 0.78 | transcript=PVPAM_090043700_t1 | gene=PVPAM_090043700 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=CASCJQ010000009:1711150-1713753(+) | protein_length=867 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720672.1         -            867 2909at5820           -            517   3.1e-23   81.0   0.3   4   4   3.4e-26   3.1e-23   81.0   0.3   306   454   511   661   494   712 0.89 | transcript=PVPAM_090043700_t1 | gene=PVPAM_090043700 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=CASCJQ010000009:1711150-1713753(+) | protein_length=867 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722336.1         -            411 2909at5820           -            517   2.3e-18   64.9   4.1   1   2   2.5e-21   2.3e-18   64.9   4.1   308   483    96   281    31   293 0.77 | transcript=PVPAM_120057200_t1 | gene=PVPAM_120057200 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase 2C, putative | transcript_product=protein phosphatase 2C, putative | location=CASCJQ010000012:2117673-2120639(+) | protein_length=411 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722336.1         -            411 2909at5820           -            517   2.3e-18   64.9   4.1   2   2       4.5   4.1e+03   -5.2   6.5    25   122   311   408   290   411 0.44 | transcript=PVPAM_120057200_t1 | gene=PVPAM_120057200 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase 2C, putative | transcript_product=protein phosphatase 2C, putative | location=CASCJQ010000012:2117673-2120639(+) | protein_length=411 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723454.1         -            303 2909at5820           -            517   2.3e-16   58.3   7.6   1   1   2.9e-19   2.7e-16   58.1   7.6   225   480    29   300    12   303 0.74 | transcript=PVPAM_140037600_t1 | gene=PVPAM_140037600 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM7, putative | transcript_product=protein phosphatase PPM7, putative | location=CASCJQ010000014:1400671-1403169(+) | protein_length=303 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
