#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720388.1         -           1588 6929at5820           -            774  5.7e-273  906.4 433.9   1  16    3e-107  6.4e-104  347.4  31.9     1   184    80   271    80   277 0.96 | transcript=PVPAM_090015300_t1 | gene=PVPAM_090015300 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000009:549769-555125(+) | protein_length=1588 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720388.1         -           1588 6929at5820           -            774  5.7e-273  906.4 433.9   2  16     1e-05     0.022   11.6  39.9   166   243   295   403   286   407 0.71 | transcript=PVPAM_090015300_t1 | gene=PVPAM_090015300 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000009:549769-555125(+) | protein_length=1588 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720388.1         -           1588 6929at5820           -            774  5.7e-273  906.4 433.9   3  16   4.8e-30     1e-26   92.0  13.9   214   308   396   491   395   512 0.80 | transcript=PVPAM_090015300_t1 | gene=PVPAM_090015300 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000009:549769-555125(+) | protein_length=1588 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720388.1         -           1588 6929at5820           -            774  5.7e-273  906.4 433.9   4  16      0.11   2.4e+02   -1.8  30.8   288   353   508   594   495   601 0.72 | transcript=PVPAM_090015300_t1 | gene=PVPAM_090015300 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000009:549769-555125(+) | protein_length=1588 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720388.1         -           1588 6929at5820           -            774  5.7e-273  906.4 433.9   5  16         3   6.5e+03  -13.6  17.8   163   242   593   669   587   683 0.63 | transcript=PVPAM_090015300_t1 | gene=PVPAM_090015300 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000009:549769-555125(+) | protein_length=1588 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720388.1         -           1588 6929at5820           -            774  5.7e-273  906.4 433.9   6  16   5.1e-15   1.1e-11   42.4   2.1   324   383   711   770   699   775 0.88 | transcript=PVPAM_090015300_t1 | gene=PVPAM_090015300 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000009:549769-555125(+) | protein_length=1588 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720388.1         -           1588 6929at5820           -            774  5.7e-273  906.4 433.9   7  16     0.002       4.3    4.0   2.0   385   413   853   881   845   893 0.84 | transcript=PVPAM_090015300_t1 | gene=PVPAM_090015300 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000009:549769-555125(+) | protein_length=1588 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720388.1         -           1588 6929at5820           -            774  5.7e-273  906.4 433.9   8  16     5e-28   1.1e-24   85.4  16.4   398   471   918   997   909  1014 0.74 | transcript=PVPAM_090015300_t1 | gene=PVPAM_090015300 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000009:549769-555125(+) | protein_length=1588 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720388.1         -           1588 6929at5820           -            774  5.7e-273  906.4 433.9   9  16   4.1e-24   8.8e-21   72.4  16.3   461   525  1022  1090  1006  1094 0.86 | transcript=PVPAM_090015300_t1 | gene=PVPAM_090015300 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000009:549769-555125(+) | protein_length=1588 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720388.1         -           1588 6929at5820           -            774  5.7e-273  906.4 433.9  10  16   3.5e-31   7.5e-28   95.8  23.1   523   609  1110  1200  1102  1203 0.89 | transcript=PVPAM_090015300_t1 | gene=PVPAM_090015300 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000009:549769-555125(+) | protein_length=1588 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720388.1         -           1588 6929at5820           -            774  5.7e-273  906.4 433.9  11  16         3   6.5e+03   -8.7  66.4   559   650  1185  1270  1181  1285 0.55 | transcript=PVPAM_090015300_t1 | gene=PVPAM_090015300 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000009:549769-555125(+) | protein_length=1588 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720388.1         -           1588 6929at5820           -            774  5.7e-273  906.4 433.9  12  16   5.9e-13   1.3e-09   35.5  52.5   581   673  1263  1372  1260  1378 0.74 | transcript=PVPAM_090015300_t1 | gene=PVPAM_090015300 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000009:549769-555125(+) | protein_length=1588 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720388.1         -           1588 6929at5820           -            774  5.7e-273  906.4 433.9  13  16   0.00096       2.1    5.1  10.1   636   677  1366  1404  1364  1407 0.65 | transcript=PVPAM_090015300_t1 | gene=PVPAM_090015300 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000009:549769-555125(+) | protein_length=1588 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720388.1         -           1588 6929at5820           -            774  5.7e-273  906.4 433.9  14  16    0.0001      0.23    8.2   8.2   650   675  1404  1428  1396  1433 0.70 | transcript=PVPAM_090015300_t1 | gene=PVPAM_090015300 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000009:549769-555125(+) | protein_length=1588 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720388.1         -           1588 6929at5820           -            774  5.7e-273  906.4 433.9  15  16   0.00047         1    6.1   6.3   650   670  1431  1451  1425  1452 0.79 | transcript=PVPAM_090015300_t1 | gene=PVPAM_090015300 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000009:549769-555125(+) | protein_length=1588 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720388.1         -           1588 6929at5820           -            774  5.7e-273  906.4 433.9  16  16     1e-57   2.2e-54  183.5  37.4   651   774  1450  1588  1449  1588 0.93 | transcript=PVPAM_090015300_t1 | gene=PVPAM_090015300 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000009:549769-555125(+) | protein_length=1588 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723587.1         -            110 6929at5820           -            774   0.00012   19.1   0.1   1   1   6.5e-08   0.00014   18.8   0.1    67   130    16    75     9   108 0.77 | transcript=PVPAM_140051100_t1 | gene=PVPAM_140051100 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=CASCJQ010000014:1989748-1990335(-) | protein_length=110 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721570.1         -            626 6929at5820           -            774     0.018   11.8   0.1   1   4   8.6e-06     0.018   11.8   0.1    60   126     4    72     1    76 0.89 | transcript=PVPAM_110047500_t1 | gene=PVPAM_110047500 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:1768823-1771281(-) | protein_length=626 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
