#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720871.1         -            329 9479at5820           -            296  4.2e-158  523.9  18.2   1   1  1.2e-160    6e-158  523.4  18.2     1   296    12   329    12   329 0.95 | transcript=PVPAM_100013900_t1 | gene=PVPAM_100013900 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 55, putative | transcript_product=WD repeat-containing protein 55, putative | location=CASCJQ010000010:395158-396147(+) | protein_length=329 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 9479at5820           -            296     1e-08   33.5   8.6   1   4    0.0047       2.3    6.1   0.1    42    80    28    66    21    72 0.85 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 9479at5820           -            296     1e-08   33.5   8.6   2   4   5.8e-05     0.029   12.4   6.3     8   153    39   181    32   184 0.85 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 9479at5820           -            296     1e-08   33.5   8.6   3   4   5.2e-06    0.0026   15.8   0.0   229   286   178   234   168   244 0.87 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 9479at5820           -            296     1e-08   33.5   8.6   4   4       0.1        50    1.7   0.0     6    32   295   321   289   324 0.85 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721210.1         -            382 9479at5820           -            296   8.5e-08   30.5   1.6   1   2   1.4e-09   7.2e-07   27.5   0.1    82   201    14   134     6   146 0.80 | transcript=PVPAM_110011200_t1 | gene=PVPAM_110011200 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000011:230207-231355(-) | protein_length=382 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721210.1         -            382 9479at5820           -            296   8.5e-08   30.5   1.6   2   2     0.083        41    2.0   0.1   230   287   262   321   233   325 0.67 | transcript=PVPAM_110011200_t1 | gene=PVPAM_110011200 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000011:230207-231355(-) | protein_length=382 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 9479at5820           -            296   2.6e-07   28.9   6.1   1   3     1e-08     5e-06   24.7   1.7    16   164    32   186    26   193 0.81 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 9479at5820           -            296   2.6e-07   28.9   6.1   2   3    0.0092       4.6    5.1   0.2    45   121   194   271   181   285 0.88 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 9479at5820           -            296   2.6e-07   28.9   6.1   3   3      0.55   2.7e+02   -0.7   0.0    20    37   302   319   292   321 0.73 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721327.1         -            513 9479at5820           -            296   1.7e-06   26.2  13.1   1   3     0.038        19    3.1   1.0   173   229   188   244   159   249 0.75 | transcript=PVPAM_110023000_t1 | gene=PVPAM_110023000 | organism=Plasmodium_vivax_PAM | gene_product=ribosome biogenesis protein YTM1, putative | transcript_product=ribosome biogenesis protein YTM1, putative | location=CASCJQ010000011:752353-753894(-) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
