#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723787.1         -           1165 1697at5820           -            721  3.4e-272  903.7  75.1   1   7   4.7e-43   1.5e-39  134.7   1.1     1   107    29   140    29   146 0.94 | transcript=PVPAM_140071000_t1 | gene=PVPAM_140071000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:2807586-2811083(-) | protein_length=1165 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723787.1         -           1165 1697at5820           -            721  3.4e-272  903.7  75.1   2   7   1.4e-80   4.6e-77  258.7  31.0   110   312   219   451   206   459 0.89 | transcript=PVPAM_140071000_t1 | gene=PVPAM_140071000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:2807586-2811083(-) | protein_length=1165 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723787.1         -           1165 1697at5820           -            721  3.4e-272  903.7  75.1   3   7   2.9e-21   9.3e-18   62.6   0.1   312   363   479   530   472   534 0.94 | transcript=PVPAM_140071000_t1 | gene=PVPAM_140071000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:2807586-2811083(-) | protein_length=1165 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723787.1         -           1165 1697at5820           -            721  3.4e-272  903.7  75.1   4   7     0.034   1.1e+02   -0.4   0.0   361   384   591   614   589   618 0.82 | transcript=PVPAM_140071000_t1 | gene=PVPAM_140071000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:2807586-2811083(-) | protein_length=1165 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723787.1         -           1165 1697at5820           -            721  3.4e-272  903.7  75.1   5   7   3.3e-17   1.1e-13   49.2   0.5   376   418   652   694   644   699 0.92 | transcript=PVPAM_140071000_t1 | gene=PVPAM_140071000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:2807586-2811083(-) | protein_length=1165 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723787.1         -           1165 1697at5820           -            721  3.4e-272  903.7  75.1   6   7   1.8e-94   5.7e-91  304.7  16.9   412   643   724  1004   716  1006 0.88 | transcript=PVPAM_140071000_t1 | gene=PVPAM_140071000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:2807586-2811083(-) | protein_length=1165 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723787.1         -           1165 1697at5820           -            721  3.4e-272  903.7  75.1   7   7   2.3e-34   7.4e-31  106.0   0.0   640   720  1077  1164  1075  1165 0.95 | transcript=PVPAM_140071000_t1 | gene=PVPAM_140071000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:2807586-2811083(-) | protein_length=1165 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718449.1         -           1053 1697at5820           -            721   0.00033   17.9   0.1   1   2     0.033   1.1e+02   -0.4   0.0   194   260   174   240   165   242 0.81 | transcript=PVPAM_040019500_t1 | gene=PVPAM_040019500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000004:619298-622762(+) | protein_length=1053 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718449.1         -           1053 1697at5820           -            721   0.00033   17.9   0.1   2   2   5.8e-07    0.0019   15.4   0.0   677   720  1005  1048   990  1049 0.91 | transcript=PVPAM_040019500_t1 | gene=PVPAM_040019500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000004:619298-622762(+) | protein_length=1053 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1697at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1697at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1697at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:12 2026
# [ok]
