#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722088.1         -           1865 1462at5820           -           1037         0 1192.2  85.4   1  12   2.4e-23   1.6e-19   68.1   0.4     1    72     1    82     1   137 0.68 | transcript=PVPAM_120032600_t1 | gene=PVPAM_120032600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1098795-1104392(+) | protein_length=1865 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722088.1         -           1865 1462at5820           -           1037         0 1192.2  85.4   2  12   6.5e-10   4.2e-06   23.7   0.5    77   128   152   209   134   217 0.81 | transcript=PVPAM_120032600_t1 | gene=PVPAM_120032600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1098795-1104392(+) | protein_length=1865 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722088.1         -           1865 1462at5820           -           1037         0 1192.2  85.4   3  12   1.9e-32   1.2e-28   98.3   7.4   159   256   338   443   308   453 0.79 | transcript=PVPAM_120032600_t1 | gene=PVPAM_120032600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1098795-1104392(+) | protein_length=1865 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722088.1         -           1865 1462at5820           -           1037         0 1192.2  85.4   4  12   6.7e-10   4.3e-06   23.7   0.0   260   289   477   506   468   516 0.91 | transcript=PVPAM_120032600_t1 | gene=PVPAM_120032600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1098795-1104392(+) | protein_length=1865 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722088.1         -           1865 1462at5820           -           1037         0 1192.2  85.4   5  12    0.0096        62   -0.0   0.0   309   335   697   723   681   728 0.85 | transcript=PVPAM_120032600_t1 | gene=PVPAM_120032600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1098795-1104392(+) | protein_length=1865 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722088.1         -           1865 1462at5820           -           1037         0 1192.2  85.4   6  12   1.4e-49   9.1e-46  155.0   0.0   330   437   768   878   759   880 0.93 | transcript=PVPAM_120032600_t1 | gene=PVPAM_120032600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1098795-1104392(+) | protein_length=1865 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722088.1         -           1865 1462at5820           -           1037         0 1192.2  85.4   7  12  1.6e-135  1.1e-131  439.5  27.1   455   699   994  1239   953  1244 0.95 | transcript=PVPAM_120032600_t1 | gene=PVPAM_120032600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1098795-1104392(+) | protein_length=1865 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722088.1         -           1865 1462at5820           -           1037         0 1192.2  85.4   8  12   2.7e-21   1.7e-17   61.4   0.0   698   749  1279  1331  1274  1338 0.91 | transcript=PVPAM_120032600_t1 | gene=PVPAM_120032600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1098795-1104392(+) | protein_length=1865 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722088.1         -           1865 1462at5820           -           1037         0 1192.2  85.4   9  12   3.1e-83     2e-79  266.4   1.1   746   946  1355  1601  1351  1616 0.85 | transcript=PVPAM_120032600_t1 | gene=PVPAM_120032600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1098795-1104392(+) | protein_length=1865 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722088.1         -           1865 1462at5820           -           1037         0 1192.2  85.4  10  12   5.7e-11   3.7e-07   27.2   0.0   944   978  1717  1751  1710  1759 0.89 | transcript=PVPAM_120032600_t1 | gene=PVPAM_120032600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1098795-1104392(+) | protein_length=1865 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722088.1         -           1865 1462at5820           -           1037         0 1192.2  85.4  11  12   5.9e-09   3.8e-05   20.5   0.0   974  1006  1771  1803  1766  1807 0.91 | transcript=PVPAM_120032600_t1 | gene=PVPAM_120032600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1098795-1104392(+) | protein_length=1865 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722088.1         -           1865 1462at5820           -           1037         0 1192.2  85.4  12  12   5.5e-13   3.5e-09   33.9   3.2  1003  1037  1831  1865  1827  1865 0.93 | transcript=PVPAM_120032600_t1 | gene=PVPAM_120032600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1098795-1104392(+) | protein_length=1865 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1462at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1462at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1462at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:01 2026
# [ok]
