#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721273.1         -            135 14437at5820          -            112   8.6e-54  179.1  14.0   1   2   7.1e-56   5.7e-53  176.4  10.2     1   107     5   115     5   119 0.93 | transcript=PVPAM_110017500_t1 | gene=PVPAM_110017500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:534784-535686(-) | protein_length=135 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721273.1         -            135 14437at5820          -            112   8.6e-54  179.1  14.0   2   2     0.016        13    4.6   0.1   101   112   124   135   121   135 0.86 | transcript=PVPAM_110017500_t1 | gene=PVPAM_110017500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:534784-535686(-) | protein_length=135 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717613.1         -            166 14437at5820          -            112     0.026   13.2   9.2   1   2    0.0028       2.2    7.0   0.2    42    85    24    67     2    88 0.83 | transcript=PVPAM_010012100_t1 | gene=PVPAM_010012100 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=CASCJQ010000001:313722-314222(-) | protein_length=166 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717613.1         -            166 14437at5820          -            112     0.026   13.2   9.2   2   2    0.0005      0.41    9.4   3.9    72   109   113   148   107   150 0.81 | transcript=PVPAM_010012100_t1 | gene=PVPAM_010012100 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=CASCJQ010000001:313722-314222(-) | protein_length=166 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7724042.1         -            129 14437at5820          -            112     0.028   13.1  11.4   1   2     0.037        30    3.4   0.2    54    77    14    37     9    48 0.83 | transcript=PVPAM_000017100_t1 | gene=PVPAM_000017100 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000018:218481-218870(-) | protein_length=129 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7724042.1         -            129 14437at5820          -            112     0.028   13.1  11.4   2   2   5.9e-05     0.048   12.4   6.6    63   109    64   109    47   111 0.78 | transcript=PVPAM_000017100_t1 | gene=PVPAM_000017100 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000018:218481-218870(-) | protein_length=129 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719095.1         -            267 14437at5820          -            112     0.062   12.0  11.5   1   3      0.53   4.3e+02   -0.3   1.0    59    86    10    26     1    35 0.40 | transcript=PVPAM_060010200_t1 | gene=PVPAM_060010200 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=CASCJQ010000006:229041-229966(-) | protein_length=267 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719095.1         -            267 14437at5820          -            112     0.062   12.0  11.5   2   3   0.00051      0.41    9.4   0.1    38    91   133   186    98   195 0.80 | transcript=PVPAM_060010200_t1 | gene=PVPAM_060010200 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=CASCJQ010000006:229041-229966(-) | protein_length=267 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719095.1         -            267 14437at5820          -            112     0.062   12.0  11.5   3   3   0.00091      0.73    8.6   0.9    73   109   210   245   196   247 0.77 | transcript=PVPAM_060010200_t1 | gene=PVPAM_060010200 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=CASCJQ010000006:229041-229966(-) | protein_length=267 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721155.1         -            879 14437at5820          -            112      0.16   10.8   5.1   1   1   0.00035      0.28    9.9   5.1    28   101   765   839   750   847 0.70 | transcript=PVPAM_110005200_t1 | gene=PVPAM_110005200 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000011:13356-16164(+) | protein_length=879 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723268.1         -            144 14437at5820          -            112      0.36    9.6   9.7   1   1    0.0011      0.88    8.3   9.7    18   103    55   139    38   143 0.61 | transcript=PVPAM_140018700_t1 | gene=PVPAM_140018700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:631357-631982(+) | protein_length=144 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721682.1         -            264 14437at5820          -            112       4.1    6.2  17.0   1   3      0.38   3.1e+02    0.1   0.4    71    86    12    27     5    30 0.65 | transcript=PVPAM_110058500_t1 | gene=PVPAM_110058500 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=CASCJQ010000011:2275369-2276264(+) | protein_length=264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721682.1         -            264 14437at5820          -            112       4.1    6.2  17.0   2   3     0.044        36    3.1   0.4    45    89   138   181   127   186 0.75 | transcript=PVPAM_110058500_t1 | gene=PVPAM_110058500 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=CASCJQ010000011:2275369-2276264(+) | protein_length=264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721682.1         -            264 14437at5820          -            112       4.1    6.2  17.0   3   3   0.00029      0.24   10.2   4.4    85   109   219   243   212   245 0.84 | transcript=PVPAM_110058500_t1 | gene=PVPAM_110058500 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=CASCJQ010000011:2275369-2276264(+) | protein_length=264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719096.1         -            264 14437at5820          -            112       8.1    5.2  15.7   1   3      0.38   3.1e+02    0.1   0.4    71    86    12    27     5    30 0.65 | transcript=PVPAM_060010300_t1 | gene=PVPAM_060010300 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=CASCJQ010000006:232389-233284(-) | protein_length=264 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
