#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719988.1         -            242 11192at5820          -            221  5.1e-141  466.0   5.4   1   1  4.5e-144  5.8e-141  465.9   5.4     1   221     9   240     9   240 0.97 | transcript=PVPAM_080021000_t1 | gene=PVPAM_080021000 | organism=Plasmodium_vivax_PAM | gene_product=adenylate kinase, putative | transcript_product=adenylate kinase, putative | location=CASCJQ010000008:761221-762220(-) | protein_length=242 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718905.1         -            231 11192at5820          -            221   3.3e-23   80.8   0.7   1   1   3.7e-26   4.8e-23   80.3   0.7    22   202     8   206     2   219 0.76 | transcript=PVPAM_050029700_t1 | gene=PVPAM_050029700 | organism=Plasmodium_vivax_PAM | gene_product=GTP:AMP phosphotransferase, putative | transcript_product=GTP:AMP phosphotransferase, putative | location=CASCJQ010000005:1024295-1024990(-) | protein_length=231 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717880.1         -            373 11192at5820          -            221   7.4e-14   50.3   5.3   1   3   7.5e-10   9.7e-07   27.0   0.2    24    79   108   172    96   224 0.75 | transcript=PVPAM_020011200_t1 | gene=PVPAM_020011200 | organism=Plasmodium_vivax_PAM | gene_product=UMP-CMP kinase, putative | transcript_product=UMP-CMP kinase, putative | location=CASCJQ010000002:302243-303942(+) | protein_length=373 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717880.1         -            373 11192at5820          -            221   7.4e-14   50.3   5.3   2   3   0.00046      0.59    8.1   0.1    59   109   231   281   198   315 0.62 | transcript=PVPAM_020011200_t1 | gene=PVPAM_020011200 | organism=Plasmodium_vivax_PAM | gene_product=UMP-CMP kinase, putative | transcript_product=UMP-CMP kinase, putative | location=CASCJQ010000002:302243-303942(+) | protein_length=373 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717880.1         -            373 11192at5820          -            221   7.4e-14   50.3   5.3   3   3   8.6e-07    0.0011   17.0   0.1   168   210   315   357   299   366 0.84 | transcript=PVPAM_020011200_t1 | gene=PVPAM_020011200 | organism=Plasmodium_vivax_PAM | gene_product=UMP-CMP kinase, putative | transcript_product=UMP-CMP kinase, putative | location=CASCJQ010000002:302243-303942(+) | protein_length=373 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718866.1         -            259 11192at5820          -            221   2.9e-06   25.5   0.2   1   2   7.6e-07   0.00099   17.2   0.1    22   140     9   148     2   161 0.73 | transcript=PVPAM_050026000_t1 | gene=PVPAM_050026000 | organism=Plasmodium_vivax_PAM | gene_product=adenylate kinase 2, putative | transcript_product=adenylate kinase 2, putative | location=CASCJQ010000005:898847-899626(-) | protein_length=259 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718866.1         -            259 11192at5820          -            221   2.9e-06   25.5   0.2   2   2    0.0075       9.7    4.1   0.0   163   196   191   227   178   236 0.78 | transcript=PVPAM_050026000_t1 | gene=PVPAM_050026000 | organism=Plasmodium_vivax_PAM | gene_product=adenylate kinase 2, putative | transcript_product=adenylate kinase 2, putative | location=CASCJQ010000005:898847-899626(-) | protein_length=259 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720244.1         -            893 11192at5820          -            221    0.0005   18.1   0.3   1   3      0.71   9.2e+02   -2.4   0.0    21    55   419   453   406   461 0.69 | transcript=PVPAM_080046700_t1 | gene=PVPAM_080046700 | organism=Plasmodium_vivax_PAM | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=CASCJQ010000008:1805324-1808005(-) | protein_length=893 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720244.1         -            893 11192at5820          -            221    0.0005   18.1   0.3   2   3   1.2e-05     0.016   13.2   0.0    75   108   513   547   494   552 0.89 | transcript=PVPAM_080046700_t1 | gene=PVPAM_080046700 | organism=Plasmodium_vivax_PAM | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=CASCJQ010000008:1805324-1808005(-) | protein_length=893 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720244.1         -            893 11192at5820          -            221    0.0005   18.1   0.3   3   3     0.046        59    1.5   0.1   161   203   793   835   785   849 0.76 | transcript=PVPAM_080046700_t1 | gene=PVPAM_080046700 | organism=Plasmodium_vivax_PAM | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=CASCJQ010000008:1805324-1808005(-) | protein_length=893 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
