#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721051.1         -           2237 367at5820            -           1769         0 2679.6  51.4   1   9     6e-73   4.3e-70  235.0   0.0     5   155     4   158     1   170 0.93 | transcript=PVPAM_100031900_t1 | gene=PVPAM_100031900 | organism=Plasmodium_vivax_PAM | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=CASCJQ010000010:1169076-1175789(+) | protein_length=2237 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721051.1         -           2237 367at5820            -           1769         0 2679.6  51.4   2   9   4.5e-43   3.2e-40  136.0   0.0   165   249   198   282   183   289 0.90 | transcript=PVPAM_100031900_t1 | gene=PVPAM_100031900 | organism=Plasmodium_vivax_PAM | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=CASCJQ010000010:1169076-1175789(+) | protein_length=2237 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721051.1         -           2237 367at5820            -           1769         0 2679.6  51.4   3   9  1.1e-107  7.8e-105  350.2   5.8   248   431   313   499   309   503 0.97 | transcript=PVPAM_100031900_t1 | gene=PVPAM_100031900 | organism=Plasmodium_vivax_PAM | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=CASCJQ010000010:1169076-1175789(+) | protein_length=2237 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721051.1         -           2237 367at5820            -           1769         0 2679.6  51.4   4   9   1.7e-10   1.2e-07   28.0   0.0   429   481   523   585   512   589 0.77 | transcript=PVPAM_100031900_t1 | gene=PVPAM_100031900 | organism=Plasmodium_vivax_PAM | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=CASCJQ010000010:1169076-1175789(+) | protein_length=2237 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721051.1         -           2237 367at5820            -           1769         0 2679.6  51.4   5   9  1.1e-191    8e-189  628.7   2.4   481   854   616  1038   613  1041 0.91 | transcript=PVPAM_100031900_t1 | gene=PVPAM_100031900 | organism=Plasmodium_vivax_PAM | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=CASCJQ010000010:1169076-1175789(+) | protein_length=2237 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721051.1         -           2237 367at5820            -           1769         0 2679.6  51.4   6   9  1.2e-118  8.7e-116  386.5  11.4   852  1123  1065  1374  1063  1385 0.87 | transcript=PVPAM_100031900_t1 | gene=PVPAM_100031900 | organism=Plasmodium_vivax_PAM | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=CASCJQ010000010:1169076-1175789(+) | protein_length=2237 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721051.1         -           2237 367at5820            -           1769         0 2679.6  51.4   7   9   0.00093      0.67    5.6   0.0  1121  1147  1450  1476  1448  1488 0.86 | transcript=PVPAM_100031900_t1 | gene=PVPAM_100031900 | organism=Plasmodium_vivax_PAM | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=CASCJQ010000010:1169076-1175789(+) | protein_length=2237 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721051.1         -           2237 367at5820            -           1769         0 2679.6  51.4   8   9  5.3e-105  3.8e-102  341.3   4.7  1146  1369  1524  1747  1515  1755 0.97 | transcript=PVPAM_100031900_t1 | gene=PVPAM_100031900 | organism=Plasmodium_vivax_PAM | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=CASCJQ010000010:1169076-1175789(+) | protein_length=2237 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721051.1         -           2237 367at5820            -           1769         0 2679.6  51.4   9   9  3.5e-176  2.5e-173  577.3   0.1  1383  1769  1827  2237  1821  2237 0.93 | transcript=PVPAM_100031900_t1 | gene=PVPAM_100031900 | organism=Plasmodium_vivax_PAM | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=CASCJQ010000010:1169076-1175789(+) | protein_length=2237 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720660.1         -            453 367at5820            -           1769   3.7e-33  112.6  17.9   1   2   4.5e-26   3.3e-23   79.6  10.0   189   382    88   296    72   305 0.83 | transcript=PVPAM_090042500_t1 | gene=PVPAM_090042500 | organism=Plasmodium_vivax_PAM | gene_product=UVB-resistance protein UVR8 homologue | transcript_product=UVB-resistance protein UVR8 homologue | location=CASCJQ010000009:1661953-1663314(-) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720660.1         -            453 367at5820            -           1769   3.7e-33  112.6  17.9   2   2   3.2e-13   2.3e-10   37.0   0.7   191   302   318   431   309   444 0.78 | transcript=PVPAM_090042500_t1 | gene=PVPAM_090042500 | organism=Plasmodium_vivax_PAM | gene_product=UVB-resistance protein UVR8 homologue | transcript_product=UVB-resistance protein UVR8 homologue | location=CASCJQ010000009:1661953-1663314(-) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
