#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717665.1         -            805 3079at5820           -            559         0 1042.5  57.2   1   4  4.2e-232  2.5e-229  761.1  28.2     1   363     1   364     1   377 0.99 | transcript=PVPAM_010017500_t1 | gene=PVPAM_010017500 | organism=Plasmodium_vivax_PAM | gene_product=phosphoinositide-binding protein, putative | transcript_product=phosphoinositide-binding protein, putative | location=CASCJQ010000001:598554-600971(+) | protein_length=805 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717665.1         -            805 3079at5820           -            559         0 1042.5  57.2   2   4   9.3e-65   5.5e-62  208.7   0.7   360   470   398   507   392   512 0.94 | transcript=PVPAM_010017500_t1 | gene=PVPAM_010017500 | organism=Plasmodium_vivax_PAM | gene_product=phosphoinositide-binding protein, putative | transcript_product=phosphoinositide-binding protein, putative | location=CASCJQ010000001:598554-600971(+) | protein_length=805 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717665.1         -            805 3079at5820           -            559         0 1042.5  57.2   3   4   9.2e-21   5.4e-18   63.4  11.1   460   539   525   628   516   634 0.80 | transcript=PVPAM_010017500_t1 | gene=PVPAM_010017500 | organism=Plasmodium_vivax_PAM | gene_product=phosphoinositide-binding protein, putative | transcript_product=phosphoinositide-binding protein, putative | location=CASCJQ010000001:598554-600971(+) | protein_length=805 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717665.1         -            805 3079at5820           -            559         0 1042.5  57.2   4   4   6.4e-08   3.7e-05   21.1   0.0   528   559   774   805   750   805 0.81 | transcript=PVPAM_010017500_t1 | gene=PVPAM_010017500 | organism=Plasmodium_vivax_PAM | gene_product=phosphoinositide-binding protein, putative | transcript_product=phosphoinositide-binding protein, putative | location=CASCJQ010000001:598554-600971(+) | protein_length=805 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 3079at5820           -            559   3.4e-09   34.4   7.3   1   4   9.8e-05     0.057   10.6   0.0   382   453   122   194   110   211 0.88 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 3079at5820           -            559   3.4e-09   34.4   7.3   2   4     0.011       6.4    3.8   0.8   391   470   380   458   348   478 0.76 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 3079at5820           -            559   3.4e-09   34.4   7.3   3   4   4.4e-06    0.0026   15.0   0.0   394   453   508   567   491   603 0.86 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 3079at5820           -            559   3.4e-09   34.4   7.3   4   4    0.0022       1.3    6.1   0.0   418   451   626   659   617   660 0.90 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720279.1         -            595 3079at5820           -            559   7.3e-06   23.4   7.4   1   4      0.58   3.4e+02   -1.9   0.2   409   457   175   223   173   256 0.79 | transcript=PVPAM_080050200_t1 | gene=PVPAM_080050200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=CASCJQ010000008:1962253-1964257(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720279.1         -            595 3079at5820           -            559   7.3e-06   23.4   7.4   2   4   0.00033       0.2    8.8   0.0   398   453   297   353   283   357 0.83 | transcript=PVPAM_080050200_t1 | gene=PVPAM_080050200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=CASCJQ010000008:1962253-1964257(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720279.1         -            595 3079at5820           -            559   7.3e-06   23.4   7.4   3   4   1.3e-07   7.6e-05   20.1   0.0   384   451   325   393   322   402 0.85 | transcript=PVPAM_080050200_t1 | gene=PVPAM_080050200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=CASCJQ010000008:1962253-1964257(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
