#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720244.1         -            893 3773at5820           -            743         0 1245.2   8.8   1   1         0         0 1244.5   8.8     1   742     1   872     1   873 0.83 | transcript=PVPAM_080046700_t1 | gene=PVPAM_080046700 | organism=Plasmodium_vivax_PAM | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=CASCJQ010000008:1805324-1808005(-) | protein_length=893 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718905.1         -            231 3773at5820           -            743   7.1e-06   23.1   0.0   1   1   1.7e-08   1.1e-05   22.5   0.0   344   446     7   107     2   114 0.73 | transcript=PVPAM_050029700_t1 | gene=PVPAM_050029700 | organism=Plasmodium_vivax_PAM | gene_product=GTP:AMP phosphotransferase, putative | transcript_product=GTP:AMP phosphotransferase, putative | location=CASCJQ010000005:1024295-1024990(-) | protein_length=231 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719988.1         -            242 3773at5820           -            743   1.5e-05   22.0   0.1   1   2   2.3e-08   1.5e-05   22.0   0.1   345   445    30   124    19   137 0.83 | transcript=PVPAM_080021000_t1 | gene=PVPAM_080021000 | organism=Plasmodium_vivax_PAM | gene_product=adenylate kinase, putative | transcript_product=adenylate kinase, putative | location=CASCJQ010000008:761221-762220(-) | protein_length=242 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719988.1         -            242 3773at5820           -            743   1.5e-05   22.0   0.1   2   2       1.1   7.2e+02   -3.4   0.3   666   705   181   220   176   225 0.59 | transcript=PVPAM_080021000_t1 | gene=PVPAM_080021000 | organism=Plasmodium_vivax_PAM | gene_product=adenylate kinase, putative | transcript_product=adenylate kinase, putative | location=CASCJQ010000008:761221-762220(-) | protein_length=242 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717729.1         -           1089 3773at5820           -            743     0.005   13.7   0.6   1   2     0.011       7.3    3.2   0.1   346   370   513   537   502   568 0.84 | transcript=PVPAM_010024300_t1 | gene=PVPAM_010024300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000001:887950-891219(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717729.1         -           1089 3773at5820           -            743     0.005   13.7   0.6   2   2   0.00033      0.21    8.3   0.1   337   375   824   862   818   867 0.86 | transcript=PVPAM_010024300_t1 | gene=PVPAM_010024300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000001:887950-891219(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723827.1         -            400 3773at5820           -            743      0.32    7.7  27.7   1   2    0.0026       1.7    5.3   4.1   425   502    50   132     2   193 0.55 | transcript=PVPAM_140075000_t1 | gene=PVPAM_140075000 | organism=Plasmodium_vivax_PAM | gene_product=THUMP domain-containing protein, putative | transcript_product=THUMP domain-containing protein, putative | location=CASCJQ010000014:2942224-2943949(+) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723827.1         -            400 3773at5820           -            743      0.32    7.7  27.7   2   2   0.00027      0.18    8.6  15.8   460   517   246   313   224   352 0.49 | transcript=PVPAM_140075000_t1 | gene=PVPAM_140075000 | organism=Plasmodium_vivax_PAM | gene_product=THUMP domain-containing protein, putative | transcript_product=THUMP domain-containing protein, putative | location=CASCJQ010000014:2942224-2943949(+) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721043.1         -            143 3773at5820           -            743      0.64    6.7  13.1   1   1    0.0011      0.71    6.5  13.1   444   517    44   112    21   134 0.36 | transcript=PVPAM_100031100_t1 | gene=PVPAM_100031100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:1135167-1135857(+) | protein_length=143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718491.1         -           1606 3773at5820           -            743      0.79    6.4  12.4   1   1    0.0019       1.3    5.7  12.4   437   498  1287  1351  1278  1374 0.41 | transcript=PVPAM_040023500_t1 | gene=PVPAM_040023500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000004:782801-787621(-) | protein_length=1606 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719007.1         -            294 3773at5820           -            743       1.1    5.9  15.8   1   1    0.0023       1.5    5.5  15.8   437   529    25   120    19   189 0.53 | transcript=PVPAM_050039900_t1 | gene=PVPAM_050039900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:1474687-1475707(-) | protein_length=294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721601.1         -            483 3773at5820           -            743       1.6    5.4   8.0   1   3     0.014       8.8    2.9   2.8   154   188    20    58     4   127 0.79 | transcript=PVPAM_110050500_t1 | gene=PVPAM_110050500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=CASCJQ010000011:1906067-1907518(-) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721601.1         -            483 3773at5820           -            743       1.6    5.4   8.0   2   3      0.27   1.7e+02   -1.3   0.1   602   624   171   193   133   201 0.64 | transcript=PVPAM_110050500_t1 | gene=PVPAM_110050500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=CASCJQ010000011:1906067-1907518(-) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721601.1         -            483 3773at5820           -            743       1.6    5.4   8.0   3   3    0.0051       3.3    4.4   0.0   347   376   258   287   224   298 0.91 | transcript=PVPAM_110050500_t1 | gene=PVPAM_110050500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=CASCJQ010000011:1906067-1907518(-) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718489.1         -             82 3773at5820           -            743       9.6    2.8   9.8   1   1     0.017        11    2.6   9.8   456   520     8    68     2    77 0.26 | transcript=PVPAM_040023300_t1 | gene=PVPAM_040023300 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000004:778348-778923(+) | protein_length=82 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3773at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3773at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3773at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:38 2026
# [ok]
