#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720674.1         -           1934 1990at5820           -           1072         0 1449.9 286.2   1  11   3.6e-58   5.9e-55  185.0   7.5     1   122     1   132     1   143 0.84 | transcript=PVPAM_090043900_t1 | gene=PVPAM_090043900 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC5, putative | transcript_product=protein KIC5, putative | location=CASCJQ010000009:1718780-1724983(-) | protein_length=1934 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720674.1         -           1934 1990at5820           -           1072         0 1449.9 286.2   2  11       1.8   2.9e+03   -6.0  16.2    88   127   148   186   139   189 0.64 | transcript=PVPAM_090043900_t1 | gene=PVPAM_090043900 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC5, putative | transcript_product=protein KIC5, putative | location=CASCJQ010000009:1718780-1724983(-) | protein_length=1934 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720674.1         -           1934 1990at5820           -           1072         0 1449.9 286.2   3  11   1.9e-10   3.1e-07   27.0  32.3    90   176   177   262   171   266 0.73 | transcript=PVPAM_090043900_t1 | gene=PVPAM_090043900 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC5, putative | transcript_product=protein KIC5, putative | location=CASCJQ010000009:1718780-1724983(-) | protein_length=1934 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720674.1         -           1934 1990at5820           -           1072         0 1449.9 286.2   4  11   3.2e-57   5.2e-54  181.9  37.5   103   314   255   472   251   505 0.66 | transcript=PVPAM_090043900_t1 | gene=PVPAM_090043900 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC5, putative | transcript_product=protein KIC5, putative | location=CASCJQ010000009:1718780-1724983(-) | protein_length=1934 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720674.1         -           1934 1990at5820           -           1072         0 1449.9 286.2   5  11   7.6e-12   1.2e-08   31.7   2.7   300   353   564   617   557   623 0.84 | transcript=PVPAM_090043900_t1 | gene=PVPAM_090043900 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC5, putative | transcript_product=protein KIC5, putative | location=CASCJQ010000009:1718780-1724983(-) | protein_length=1934 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720674.1         -           1934 1990at5820           -           1072         0 1449.9 286.2   6  11  8.8e-129  1.4e-125  418.9  49.8   339   613   688   985   643  1017 0.78 | transcript=PVPAM_090043900_t1 | gene=PVPAM_090043900 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC5, putative | transcript_product=protein KIC5, putative | location=CASCJQ010000009:1718780-1724983(-) | protein_length=1934 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720674.1         -           1934 1990at5820           -           1072         0 1449.9 286.2   7  11   7.8e-07    0.0013   15.1   6.4   622   730  1058  1158  1034  1170 0.60 | transcript=PVPAM_090043900_t1 | gene=PVPAM_090043900 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC5, putative | transcript_product=protein KIC5, putative | location=CASCJQ010000009:1718780-1724983(-) | protein_length=1934 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720674.1         -           1934 1990at5820           -           1072         0 1449.9 286.2   8  11       0.8   1.3e+03   -4.8  15.8   608   703  1164  1265  1148  1294 0.56 | transcript=PVPAM_090043900_t1 | gene=PVPAM_090043900 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC5, putative | transcript_product=protein KIC5, putative | location=CASCJQ010000009:1718780-1724983(-) | protein_length=1934 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720674.1         -           1934 1990at5820           -           1072         0 1449.9 286.2   9  11     0.026        43    0.1   3.9   680   737  1353  1411  1330  1429 0.51 | transcript=PVPAM_090043900_t1 | gene=PVPAM_090043900 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC5, putative | transcript_product=protein KIC5, putative | location=CASCJQ010000009:1718780-1724983(-) | protein_length=1934 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720674.1         -           1934 1990at5820           -           1072         0 1449.9 286.2  10  11     7e-70   1.1e-66  223.8  20.6   725   859  1515  1649  1490  1653 0.96 | transcript=PVPAM_090043900_t1 | gene=PVPAM_090043900 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC5, putative | transcript_product=protein KIC5, putative | location=CASCJQ010000009:1718780-1724983(-) | protein_length=1934 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720674.1         -           1934 1990at5820           -           1072         0 1449.9 286.2  11  11  1.7e-128  2.7e-125  417.9  45.6   855  1072  1713  1934  1707  1934 0.98 | transcript=PVPAM_090043900_t1 | gene=PVPAM_090043900 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC5, putative | transcript_product=protein KIC5, putative | location=CASCJQ010000009:1718780-1724983(-) | protein_length=1934 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723781.1         -            205 1990at5820           -           1072       0.6    6.2  34.9   1   1   0.00047      0.76    5.9  34.9   591   730    28   168    19   178 0.76 | transcript=PVPAM_140070400_t1 | gene=PVPAM_140070400 | organism=Plasmodium_vivax_PAM | gene_product=(malaria parasite P. vivax) hypothetical protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5X8] | transcript_product=(malaria parasite P. vivax) hypothetical protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5X8] | location=CASCJQ010000014:2791558-2792523(+) | protein_length=205 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721043.1         -            143 1990at5820           -           1072      0.85    5.7  12.6   1   1   0.00058      0.94    5.6  12.6   644   726    49   128    28   137 0.76 | transcript=PVPAM_100031100_t1 | gene=PVPAM_100031100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:1135167-1135857(+) | protein_length=143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717913.1         -            134 1990at5820           -           1072       9.5    2.2  16.8   1   1    0.0072        12    1.9  16.8   304   355    25    76     3    98 0.34 | transcript=PVPAM_020014500_t1 | gene=PVPAM_020014500 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000002:403293-403697(+) | protein_length=134 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1990at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1990at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1990at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:40 2026
# [ok]
