#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722064.1         -           1951 558at5820            -           1598         0 3215.7  78.8   1   6  1.9e-274  3.1e-271  901.7  13.1     3   427    29   466    27   472 0.96 | transcript=PVPAM_120030200_t1 | gene=PVPAM_120030200 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase III subunit RPC1, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC1, putative | location=CASCJQ010000012:978942-985394(+) | protein_length=1951 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722064.1         -           1951 558at5820            -           1598         0 3215.7  78.8   2   6         0         0 1188.6  12.9   427   940   490  1003   486  1005 1.00 | transcript=PVPAM_120030200_t1 | gene=PVPAM_120030200 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase III subunit RPC1, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC1, putative | location=CASCJQ010000012:978942-985394(+) | protein_length=1951 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722064.1         -           1951 558at5820            -           1598         0 3215.7  78.8   3   6    0.0032       5.2    2.7   0.0   951   970  1068  1087  1039  1092 0.71 | transcript=PVPAM_120030200_t1 | gene=PVPAM_120030200 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase III subunit RPC1, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC1, putative | location=CASCJQ010000012:978942-985394(+) | protein_length=1951 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722064.1         -           1951 558at5820            -           1598         0 3215.7  78.8   4   6   2.7e-23   4.3e-20   69.2   0.8   968  1036  1139  1215  1127  1219 0.87 | transcript=PVPAM_120030200_t1 | gene=PVPAM_120030200 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase III subunit RPC1, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC1, putative | location=CASCJQ010000012:978942-985394(+) | protein_length=1951 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722064.1         -           1951 558at5820            -           1598         0 3215.7  78.8   5   6  2.1e-213  3.3e-210  699.4  14.5  1039  1394  1297  1659  1280  1664 0.96 | transcript=PVPAM_120030200_t1 | gene=PVPAM_120030200 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase III subunit RPC1, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC1, putative | location=CASCJQ010000012:978942-985394(+) | protein_length=1951 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722064.1         -           1951 558at5820            -           1598         0 3215.7  78.8   6   6  8.5e-116  1.4e-112  375.8   7.0  1391  1598  1725  1949  1707  1949 0.92 | transcript=PVPAM_120030200_t1 | gene=PVPAM_120030200 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase III subunit RPC1, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC1, putative | location=CASCJQ010000012:978942-985394(+) | protein_length=1951 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720120.1         -           2380 558at5820            -           1598  2.2e-233  776.2  32.9   1   5   1.1e-21   1.7e-18   63.9   6.1    30   146    16   132     9   194 0.83 | transcript=PVPAM_080034200_t1 | gene=PVPAM_080034200 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=CASCJQ010000008:1325412-1332554(-) | protein_length=2380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720120.1         -           2380 558at5820            -           1598  2.2e-233  776.2  32.9   2   5   4.9e-93   7.9e-90  300.4   0.0   238   604   267   619   234   626 0.92 | transcript=PVPAM_080034200_t1 | gene=PVPAM_080034200 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=CASCJQ010000008:1325412-1332554(-) | protein_length=2380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720120.1         -           2380 558at5820            -           1598  2.2e-233  776.2  32.9   3   5   2.1e-77   3.5e-74  248.5   3.0   620   914   715  1008   704  1023 0.95 | transcript=PVPAM_080034200_t1 | gene=PVPAM_080034200 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=CASCJQ010000008:1325412-1332554(-) | protein_length=2380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720120.1         -           2380 558at5820            -           1598  2.2e-233  776.2  32.9   4   5   4.5e-28   7.2e-25   85.0   0.1  1186  1289  1326  1432  1267  1488 0.86 | transcript=PVPAM_080034200_t1 | gene=PVPAM_080034200 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=CASCJQ010000008:1325412-1332554(-) | protein_length=2380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720120.1         -           2380 558at5820            -           1598  2.2e-233  776.2  32.9   5   5   3.7e-30   5.9e-27   92.0   2.8  1395  1585  1778  1967  1759  1980 0.88 | transcript=PVPAM_080034200_t1 | gene=PVPAM_080034200 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=CASCJQ010000008:1325412-1332554(-) | protein_length=2380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721042.1         -           2696 558at5820            -           1598  7.9e-131  436.3  32.9   1   6   2.1e-11   3.4e-08   29.8   2.5    28   143     9   126     1   161 0.84 | transcript=PVPAM_100031000_t1 | gene=PVPAM_100031000 | organism=Plasmodium_vivax_PAM | gene_product=RNA polymerase I, putative | transcript_product=RNA polymerase I, putative | location=CASCJQ010000010:1125624-1134013(+) | protein_length=2696 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721042.1         -           2696 558at5820            -           1598  7.9e-131  436.3  32.9   2   6   1.1e-55   1.8e-52  176.6   1.7   297   568   569   840   549   847 0.90 | transcript=PVPAM_100031000_t1 | gene=PVPAM_100031000 | organism=Plasmodium_vivax_PAM | gene_product=RNA polymerase I, putative | transcript_product=RNA polymerase I, putative | location=CASCJQ010000010:1125624-1134013(+) | protein_length=2696 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721042.1         -           2696 558at5820            -           1598  7.9e-131  436.3  32.9   3   6   2.9e-06    0.0047   12.7   0.1   578   690   923  1049   912  1075 0.61 | transcript=PVPAM_100031000_t1 | gene=PVPAM_100031000 | organism=Plasmodium_vivax_PAM | gene_product=RNA polymerase I, putative | transcript_product=RNA polymerase I, putative | location=CASCJQ010000010:1125624-1134013(+) | protein_length=2696 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721042.1         -           2696 558at5820            -           1598  7.9e-131  436.3  32.9   4   6   1.6e-39   2.5e-36  123.0   0.3   772   923  1554  1709  1541  1717 0.89 | transcript=PVPAM_100031000_t1 | gene=PVPAM_100031000 | organism=Plasmodium_vivax_PAM | gene_product=RNA polymerase I, putative | transcript_product=RNA polymerase I, putative | location=CASCJQ010000010:1125624-1134013(+) | protein_length=2696 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721042.1         -           2696 558at5820            -           1598  7.9e-131  436.3  32.9   5   6   9.9e-20   1.6e-16   57.4   0.1  1188  1261  1815  1886  1809  1931 0.87 | transcript=PVPAM_100031000_t1 | gene=PVPAM_100031000 | organism=Plasmodium_vivax_PAM | gene_product=RNA polymerase I, putative | transcript_product=RNA polymerase I, putative | location=CASCJQ010000010:1125624-1134013(+) | protein_length=2696 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
