#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720553.1         -             86 14966at5820          -             76   5.3e-55  182.1   0.8   1   1   1.2e-57     6e-55  181.9   0.8     1    76     5    80     5    80 0.99 | transcript=PVPAM_090031900_t1 | gene=PVPAM_090031900 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein F, putative | transcript_product=small nuclear ribonucleoprotein F, putative | location=CASCJQ010000009:1225266-1226140(-) | protein_length=86 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722106.1         -             77 14966at5820          -             76   1.3e-16   59.1   0.0   1   1   2.6e-19   1.3e-16   59.1   0.0     5    73     5    73     1    77 0.95 | transcript=PVPAM_120034400_t1 | gene=PVPAM_120034400 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm6, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm6, putative | location=CASCJQ010000012:1169041-1169274(+) | protein_length=77 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720360.1         -            127 14966at5820          -             76   7.8e-05   21.4   0.0   1   1   2.1e-07   0.00011   20.9   0.0    10    74     8    73     2    75 0.85 | transcript=PVPAM_090012500_t1 | gene=PVPAM_090012500 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm4, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm4, putative | location=CASCJQ010000009:415788-416623(+) | protein_length=127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720932.1         -            103 14966at5820          -             76   0.00019   20.1   0.0   1   1   4.7e-07   0.00023   19.8   0.0    16    47    15    46     4    73 0.78 | transcript=PVPAM_100020000_t1 | gene=PVPAM_100020000 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm2, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm2, putative | location=CASCJQ010000010:662228-662917(-) | protein_length=103 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721857.1         -             94 14966at5820          -             76   0.00057   18.6   0.1   1   1   1.3e-06   0.00067   18.4   0.1    28    75    41    89    16    90 0.85 | transcript=PVPAM_120009100_t1 | gene=PVPAM_120009100 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein E, putative | transcript_product=small nuclear ribonucleoprotein E, putative | location=CASCJQ010000012:170799-171550(+) | protein_length=94 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718825.1         -             91 14966at5820          -             76    0.0013   17.4   0.0   1   1   4.3e-06    0.0021   16.7   0.0     5    50     9    54     4    89 0.87 | transcript=PVPAM_050021900_t1 | gene=PVPAM_050021900 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm3, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm3, putative | location=CASCJQ010000005:733817-734656(+) | protein_length=91 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718801.1         -             83 14966at5820          -             76    0.0027   16.4   0.1   1   1   6.9e-06    0.0034   16.1   0.1    16    70    20    73     9    78 0.85 | transcript=PVPAM_050019500_t1 | gene=PVPAM_050019500 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein G, putative | transcript_product=small nuclear ribonucleoprotein G, putative | location=CASCJQ010000005:644671-645141(+) | protein_length=83 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720539.1         -            127 14966at5820          -             76    0.0039   15.9   1.0   1   1   2.6e-05     0.013   14.2   1.0     8    70     5    77     2    83 0.78 | transcript=PVPAM_090030500_t1 | gene=PVPAM_090030500 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein Sm D1, putative | transcript_product=small nuclear ribonucleoprotein Sm D1, putative | location=CASCJQ010000009:1169012-1169395(-) | protein_length=127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722984.1         -            201 14966at5820          -             76    0.0041   15.9   0.1   1   1   2.5e-05     0.012   14.3   0.0    26    69    23    74     6    81 0.72 | transcript=PVPAM_130049000_t1 | gene=PVPAM_130049000 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein-associated protein B, putative | transcript_product=small nuclear ribonucleoprotein-associated protein B, putative | location=CASCJQ010000013:1932641-1933491(+) | protein_length=201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722453.1         -            101 14966at5820          -             76    0.0042   15.8   0.2   1   1   1.1e-05    0.0054   15.5   0.2     8    50    14    56     9    78 0.87 | transcript=PVPAM_120069000_t1 | gene=PVPAM_120069000 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm5, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm5, putative | location=CASCJQ010000012:2619511-2620187(-) | protein_length=101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722736.1         -            107 14966at5820          -             76    0.0095   14.7   0.0   1   1   2.6e-05     0.013   14.2   0.0    15    52    25    62    14    71 0.88 | transcript=PVPAM_130023700_t1 | gene=PVPAM_130023700 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm7, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm7, putative | location=CASCJQ010000013:847546-848322(+) | protein_length=107 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
