#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723658.1         -           1189 2955at5820           -            678  1.2e-261  868.6  41.0   1   7   5.1e-24   1.6e-20   71.7   0.4     1    55     3    59     3    61 0.89 | transcript=PVPAM_140058200_t1 | gene=PVPAM_140058200 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000014:2308642-2312211(+) | protein_length=1189 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723658.1         -           1189 2955at5820           -            678  1.2e-261  868.6  41.0   2   7   7.9e-24   2.6e-20   71.1   0.1    54   104    86   136    83   152 0.92 | transcript=PVPAM_140058200_t1 | gene=PVPAM_140058200 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000014:2308642-2312211(+) | protein_length=1189 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723658.1         -           1189 2955at5820           -            678  1.2e-261  868.6  41.0   3   7   5.4e-77   1.7e-73  246.8   1.5   103   304   241   483   223   498 0.87 | transcript=PVPAM_140058200_t1 | gene=PVPAM_140058200 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000014:2308642-2312211(+) | protein_length=1189 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723658.1         -           1189 2955at5820           -            678  1.2e-261  868.6  41.0   4   7   3.1e-76     1e-72  244.3   1.2   301   478   534   743   511   749 0.89 | transcript=PVPAM_140058200_t1 | gene=PVPAM_140058200 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000014:2308642-2312211(+) | protein_length=1189 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723658.1         -           1189 2955at5820           -            678  1.2e-261  868.6  41.0   5   7   6.8e-36   2.2e-32  110.9   3.3   477   578   869   979   863   986 0.93 | transcript=PVPAM_140058200_t1 | gene=PVPAM_140058200 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000014:2308642-2312211(+) | protein_length=1189 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723658.1         -           1189 2955at5820           -            678  1.2e-261  868.6  41.0   6   7   7.2e-12   2.3e-08   31.6   0.0   577   616  1001  1045   996  1053 0.84 | transcript=PVPAM_140058200_t1 | gene=PVPAM_140058200 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000014:2308642-2312211(+) | protein_length=1189 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723658.1         -           1189 2955at5820           -            678  1.2e-261  868.6  41.0   7   7   9.4e-36     3e-32  110.5   0.9   615   678  1116  1179  1109  1179 0.97 | transcript=PVPAM_140058200_t1 | gene=PVPAM_140058200 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000014:2308642-2312211(+) | protein_length=1189 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 2955at5820           -            678    0.0047   14.0   0.0   1   2    0.0035        11    2.8   0.0   267   338   112   192    92   203 0.72 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 2955at5820           -            678    0.0047   14.0   0.0   2   2     4e-05      0.13    9.3   0.0   272   338   247   322   234   322 0.74 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2955at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2955at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2955at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:44 2026
# [ok]
