#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719284.1         -           1469 2415at5820           -            990         0 1306.5  69.4   1   9   5.9e-17   1.9e-13   47.7   1.7     1    45     2    46     2    52 0.90 | transcript=PVPAM_060029100_t1 | gene=PVPAM_060029100 | organism=Plasmodium_vivax_PAM | gene_product=RNA polymerase II-associated protein 1, putative | transcript_product=RNA polymerase II-associated protein 1, putative | location=CASCJQ010000006:987347-991756(-) | protein_length=1469 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719284.1         -           1469 2415at5820           -            990         0 1306.5  69.4   2   9   2.5e-13   7.9e-10   35.8   0.0    41    85    83   126    73   141 0.81 | transcript=PVPAM_060029100_t1 | gene=PVPAM_060029100 | organism=Plasmodium_vivax_PAM | gene_product=RNA polymerase II-associated protein 1, putative | transcript_product=RNA polymerase II-associated protein 1, putative | location=CASCJQ010000006:987347-991756(-) | protein_length=1469 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719284.1         -           1469 2415at5820           -            990         0 1306.5  69.4   3   9     2e-73   6.5e-70  234.6   1.9    79   210   160   291   151   294 0.95 | transcript=PVPAM_060029100_t1 | gene=PVPAM_060029100 | organism=Plasmodium_vivax_PAM | gene_product=RNA polymerase II-associated protein 1, putative | transcript_product=RNA polymerase II-associated protein 1, putative | location=CASCJQ010000006:987347-991756(-) | protein_length=1469 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719284.1         -           1469 2415at5820           -            990         0 1306.5  69.4   4   9   1.2e-49     4e-46  155.9   0.3   210   319   324   443   313   448 0.90 | transcript=PVPAM_060029100_t1 | gene=PVPAM_060029100 | organism=Plasmodium_vivax_PAM | gene_product=RNA polymerase II-associated protein 1, putative | transcript_product=RNA polymerase II-associated protein 1, putative | location=CASCJQ010000006:987347-991756(-) | protein_length=1469 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719284.1         -           1469 2415at5820           -            990         0 1306.5  69.4   5   9  3.4e-103   1.1e-99  333.2   6.9   316   543   525   785   517   791 0.88 | transcript=PVPAM_060029100_t1 | gene=PVPAM_060029100 | organism=Plasmodium_vivax_PAM | gene_product=RNA polymerase II-associated protein 1, putative | transcript_product=RNA polymerase II-associated protein 1, putative | location=CASCJQ010000006:987347-991756(-) | protein_length=1469 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719284.1         -           1469 2415at5820           -            990         0 1306.5  69.4   6   9   7.1e-28   2.3e-24   83.9   1.3   545   649   816   957   810   964 0.80 | transcript=PVPAM_060029100_t1 | gene=PVPAM_060029100 | organism=Plasmodium_vivax_PAM | gene_product=RNA polymerase II-associated protein 1, putative | transcript_product=RNA polymerase II-associated protein 1, putative | location=CASCJQ010000006:987347-991756(-) | protein_length=1469 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719284.1         -           1469 2415at5820           -            990         0 1306.5  69.4   7   9   4.4e-21   1.4e-17   61.4   2.6   641   711   979  1070   973  1072 0.84 | transcript=PVPAM_060029100_t1 | gene=PVPAM_060029100 | organism=Plasmodium_vivax_PAM | gene_product=RNA polymerase II-associated protein 1, putative | transcript_product=RNA polymerase II-associated protein 1, putative | location=CASCJQ010000006:987347-991756(-) | protein_length=1469 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719284.1         -           1469 2415at5820           -            990         0 1306.5  69.4   8   9   2.1e-51   6.8e-48  161.8   0.3   710   838  1132  1276  1127  1283 0.87 | transcript=PVPAM_060029100_t1 | gene=PVPAM_060029100 | organism=Plasmodium_vivax_PAM | gene_product=RNA polymerase II-associated protein 1, putative | transcript_product=RNA polymerase II-associated protein 1, putative | location=CASCJQ010000006:987347-991756(-) | protein_length=1469 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719284.1         -           1469 2415at5820           -            990         0 1306.5  69.4   9   9   8.8e-70   2.8e-66  222.6   5.0   839   989  1302  1462  1294  1463 0.92 | transcript=PVPAM_060029100_t1 | gene=PVPAM_060029100 | organism=Plasmodium_vivax_PAM | gene_product=RNA polymerase II-associated protein 1, putative | transcript_product=RNA polymerase II-associated protein 1, putative | location=CASCJQ010000006:987347-991756(-) | protein_length=1469 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722046.1         -            668 2415at5820           -            990      0.36    7.1   3.1   1   1   0.00017      0.54    6.5   3.1    13    92   289   371   283   379 0.74 | transcript=PVPAM_120028400_t1 | gene=PVPAM_120028400 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000012:903829-906070(-) | protein_length=668 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
