#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719180.1         -            874 3500at5820           -            687         0 1214.1  93.0   1   3  1.8e-252  2.3e-249  828.3  51.5     1   423     1   465     1   477 0.91 | transcript=PVPAM_060018700_t1 | gene=PVPAM_060018700 | organism=Plasmodium_vivax_PAM | gene_product=kelch protein K10, putative | transcript_product=kelch protein K10, putative | location=CASCJQ010000006:602393-605017(+) | protein_length=874 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719180.1         -            874 3500at5820           -            687         0 1214.1  93.0   2   3     5e-16   6.4e-13   46.8  12.4   420   487   509   585   498   616 0.75 | transcript=PVPAM_060018700_t1 | gene=PVPAM_060018700 | organism=Plasmodium_vivax_PAM | gene_product=kelch protein K10, putative | transcript_product=kelch protein K10, putative | location=CASCJQ010000006:602393-605017(+) | protein_length=874 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719180.1         -            874 3500at5820           -            687         0 1214.1  93.0   3   3  1.3e-106  1.6e-103  346.2  13.1   484   686   663   872   635   873 0.95 | transcript=PVPAM_060018700_t1 | gene=PVPAM_060018700 | organism=Plasmodium_vivax_PAM | gene_product=kelch protein K10, putative | transcript_product=kelch protein K10, putative | location=CASCJQ010000006:602393-605017(+) | protein_length=874 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722220.1         -            878 3500at5820           -            687   1.3e-13   49.1   0.0   1   2   8.3e-14   1.1e-10   39.5   0.0    74   214    20   156    12   178 0.88 | transcript=PVPAM_120045800_t1 | gene=PVPAM_120045800 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=CASCJQ010000012:1628851-1631615(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722220.1         -            878 3500at5820           -            687   1.3e-13   49.1   0.0   2   2   0.00045      0.58    7.3   0.0   128   235   183   291   173   310 0.68 | transcript=PVPAM_120045800_t1 | gene=PVPAM_120045800 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=CASCJQ010000012:1628851-1631615(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722282.1         -            647 3500at5820           -            687   5.5e-11   40.4  12.7   1   3   1.1e-10   1.5e-07   29.1   5.0    77   234    80   228    59   232 0.80 | transcript=PVPAM_120051900_t1 | gene=PVPAM_120051900 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000012:1898527-1900470(-) | protein_length=647 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722282.1         -            647 3500at5820           -            687   5.5e-11   40.4  12.7   2   3    0.0058       7.4    3.7   0.1    74   105   234   263   229   286 0.78 | transcript=PVPAM_120051900_t1 | gene=PVPAM_120051900 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000012:1898527-1900470(-) | protein_length=647 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722282.1         -            647 3500at5820           -            687   5.5e-11   40.4  12.7   3   3   3.6e-05     0.047   10.9   0.1   139   209   353   417   299   436 0.81 | transcript=PVPAM_120051900_t1 | gene=PVPAM_120051900 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000012:1898527-1900470(-) | protein_length=647 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720601.1         -           2386 3500at5820           -            687   2.8e-08   31.5   1.1   1   2     0.054        70    0.4   0.0   515   559  1317  1360  1294  1363 0.73 | transcript=PVPAM_090036500_t1 | gene=PVPAM_090036500 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000009:1392224-1399384(+) | protein_length=2386 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720601.1         -           2386 3500at5820           -            687   2.8e-08   31.5   1.1   2   2   1.4e-10   1.9e-07   28.8   0.2   128   254  1429  1549  1419  1563 0.84 | transcript=PVPAM_090036500_t1 | gene=PVPAM_090036500 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000009:1392224-1399384(+) | protein_length=2386 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723478.1         -            586 3500at5820           -            687   5.2e-05   20.7   3.6   1   3       1.5     2e+03   -4.4   1.3    17    30    19    32     9    67 0.47 | transcript=PVPAM_140040100_t1 | gene=PVPAM_140040100 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000014:1520948-1522708(-) | protein_length=586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723478.1         -            586 3500at5820           -            687   5.2e-05   20.7   3.6   2   3     0.011        14    2.7   3.4    40   142   157   265   143   287 0.66 | transcript=PVPAM_140040100_t1 | gene=PVPAM_140040100 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000014:1520948-1522708(-) | protein_length=586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723478.1         -            586 3500at5820           -            687   5.2e-05   20.7   3.6   3   3     4e-08   5.2e-05   20.7   3.6   134   235   318   414   253   436 0.72 | transcript=PVPAM_140040100_t1 | gene=PVPAM_140040100 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000014:1520948-1522708(-) | protein_length=586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3500at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3500at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3500at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:05 2026
# [ok]
