#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720126.1         -           2532 422at5820            -           1432         0 2332.4 153.8   1  12  1.1e-101   2.3e-98  328.8  13.4     2   178    15   195    14   199 0.97 | transcript=PVPAM_080034800_t1 | gene=PVPAM_080034800 | organism=Plasmodium_vivax_PAM | gene_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | transcript_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | location=CASCJQ010000008:1343458-1352551(-) | protein_length=2532 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720126.1         -           2532 422at5820            -           1432         0 2332.4 153.8   2  12   3.6e-15   7.6e-12   42.0   0.2   177   227   407   458   405   463 0.87 | transcript=PVPAM_080034800_t1 | gene=PVPAM_080034800 | organism=Plasmodium_vivax_PAM | gene_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | transcript_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | location=CASCJQ010000008:1343458-1352551(-) | protein_length=2532 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720126.1         -           2532 422at5820            -           1432         0 2332.4 153.8   3  12   9.4e-47     2e-43  146.7   0.9   215   304   502   591   495   599 0.96 | transcript=PVPAM_080034800_t1 | gene=PVPAM_080034800 | organism=Plasmodium_vivax_PAM | gene_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | transcript_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | location=CASCJQ010000008:1343458-1352551(-) | protein_length=2532 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720126.1         -           2532 422at5820            -           1432         0 2332.4 153.8   4  12   4.7e-32     1e-28   97.9   0.0   295   355   633   693   627   701 0.94 | transcript=PVPAM_080034800_t1 | gene=PVPAM_080034800 | organism=Plasmodium_vivax_PAM | gene_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | transcript_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | location=CASCJQ010000008:1343458-1352551(-) | protein_length=2532 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720126.1         -           2532 422at5820            -           1432         0 2332.4 153.8   5  12   3.1e-49   6.7e-46  154.9   3.7   354   440   797   883   788   889 0.95 | transcript=PVPAM_080034800_t1 | gene=PVPAM_080034800 | organism=Plasmodium_vivax_PAM | gene_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | transcript_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | location=CASCJQ010000008:1343458-1352551(-) | protein_length=2532 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720126.1         -           2532 422at5820            -           1432         0 2332.4 153.8   6  12   1.6e-41   3.4e-38  129.3   2.5   438   512   945  1019   942  1024 0.97 | transcript=PVPAM_080034800_t1 | gene=PVPAM_080034800 | organism=Plasmodium_vivax_PAM | gene_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | transcript_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | location=CASCJQ010000008:1343458-1352551(-) | protein_length=2532 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720126.1         -           2532 422at5820            -           1432         0 2332.4 153.8   7  12   1.7e-59   3.6e-56  188.9   7.9   513   637  1083  1208  1079  1217 0.96 | transcript=PVPAM_080034800_t1 | gene=PVPAM_080034800 | organism=Plasmodium_vivax_PAM | gene_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | transcript_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | location=CASCJQ010000008:1343458-1352551(-) | protein_length=2532 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720126.1         -           2532 422at5820            -           1432         0 2332.4 153.8   8  12   4.2e-18   9.1e-15   51.7   0.0   640   680  1280  1320  1274  1331 0.92 | transcript=PVPAM_080034800_t1 | gene=PVPAM_080034800 | organism=Plasmodium_vivax_PAM | gene_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | transcript_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | location=CASCJQ010000008:1343458-1352551(-) | protein_length=2532 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720126.1         -           2532 422at5820            -           1432         0 2332.4 153.8   9  12   1.4e-31     3e-28   96.4   0.5   677   788  1390  1518  1381  1521 0.88 | transcript=PVPAM_080034800_t1 | gene=PVPAM_080034800 | organism=Plasmodium_vivax_PAM | gene_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | transcript_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | location=CASCJQ010000008:1343458-1352551(-) | protein_length=2532 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720126.1         -           2532 422at5820            -           1432         0 2332.4 153.8  10  12     2e-12   4.3e-09   32.9   0.4   788   835  1579  1630  1572  1640 0.81 | transcript=PVPAM_080034800_t1 | gene=PVPAM_080034800 | organism=Plasmodium_vivax_PAM | gene_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | transcript_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | location=CASCJQ010000008:1343458-1352551(-) | protein_length=2532 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720126.1         -           2532 422at5820            -           1432         0 2332.4 153.8  11  12  3.3e-129  7.1e-126  419.9  38.0   822  1090  1853  2143  1840  2147 0.89 | transcript=PVPAM_080034800_t1 | gene=PVPAM_080034800 | organism=Plasmodium_vivax_PAM | gene_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | transcript_product=CPSF (cleavage and polyadenylation specific factor), subunit A, putative | location=CASCJQ010000008:1343458-1352551(-) | protein_length=2532 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
