#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719642.1         -            239 12224at5820          -            192   1.2e-91  304.7  12.0   1   2    0.0032       2.5    6.8   0.0     1    15     1    15     1    21 0.92 | transcript=PVPAM_070025600_t1 | gene=PVPAM_070025600 | organism=Plasmodium_vivax_PAM | gene_product=chaperone, putative | transcript_product=chaperone, putative | location=CASCJQ010000007:916130-918363(-) | protein_length=239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719642.1         -            239 12224at5820          -            192   1.2e-91  304.7  12.0   2   2   2.2e-92   1.8e-89  297.6  10.5    13   192    44   239    35   239 0.95 | transcript=PVPAM_070025600_t1 | gene=PVPAM_070025600 | organism=Plasmodium_vivax_PAM | gene_product=chaperone, putative | transcript_product=chaperone, putative | location=CASCJQ010000007:916130-918363(-) | protein_length=239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722993.1         -            381 12224at5820          -            192   0.00015   20.5   1.4   1   1   4.8e-07   0.00039   19.2   1.4    43   107    55   115    34   138 0.86 | transcript=PVPAM_130049900_t1 | gene=PVPAM_130049900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000013:1983241-1984755(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718478.1         -            328 12224at5820          -            192   0.00066   18.4   0.5   1   1   1.4e-06    0.0012   17.7   0.5    45   110     6    71     3    75 0.90 | transcript=PVPAM_040022400_t1 | gene=PVPAM_040022400 | organism=Plasmodium_vivax_PAM | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=CASCJQ010000004:735172-736487(-) | protein_length=328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720276.1         -            152 12224at5820          -            192    0.0012   17.7   0.2   1   1     2e-06    0.0016   17.2   0.2    90   156    51   120    30   133 0.83 | transcript=PVPAM_080049900_t1 | gene=PVPAM_080049900 | organism=Plasmodium_vivax_PAM | gene_product=CDGSH iron-sulfur domain-containing protein, putative | transcript_product=CDGSH iron-sulfur domain-containing protein, putative | location=CASCJQ010000008:1943504-1944362(+) | protein_length=152 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719632.1         -            378 12224at5820          -            192    0.0012   17.7   1.1   1   1   4.2e-06    0.0034   16.1   1.1    46   113    56   120    47   132 0.76 | transcript=PVPAM_070024600_t1 | gene=PVPAM_070024600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000007:878362-880295(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722759.1         -            245 12224at5820          -            192    0.0089   14.8   1.5   1   1   1.7e-05     0.013   14.2   1.5    44   112     7    73     2   102 0.77 | transcript=PVPAM_130026000_t1 | gene=PVPAM_130026000 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=CASCJQ010000013:953395-955087(+) | protein_length=245 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722051.1         -            334 12224at5820          -            192     0.012   14.4   1.1   1   2   3.9e-05     0.031   13.0   0.3    44   107    44   105    25   108 0.78 | transcript=PVPAM_120028900_t1 | gene=PVPAM_120028900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000012:922936-924975(+) | protein_length=334 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722051.1         -            334 12224at5820          -            192     0.012   14.4   1.1   2   2      0.66   5.3e+02   -0.8   0.0   152   184   251   283   224   288 0.75 | transcript=PVPAM_120028900_t1 | gene=PVPAM_120028900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000012:922936-924975(+) | protein_length=334 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718015.1         -            420 12224at5820          -            192      0.22   10.2   8.1   1   1   0.00045      0.36    9.5   8.1    58   174   100   216    79   226 0.73 | transcript=PVPAM_020024800_t1 | gene=PVPAM_020024800 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein, putative | transcript_product=heat shock protein, putative | location=CASCJQ010000002:857690-859715(-) | protein_length=420 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12224at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12224at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12224at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:14 2026
# [ok]
