#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717981.1         -           1684 742at5820            -           1341         0 2546.5  57.5   1   3   1.5e-28   2.5e-25   86.9   0.8     1    65     1    65     1    88 0.89 | transcript=PVPAM_020021300_t1 | gene=PVPAM_020021300 | organism=Plasmodium_vivax_PAM | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=CASCJQ010000002:685471-690525(+) | protein_length=1684 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717981.1         -           1684 742at5820            -           1341         0 2546.5  57.5   2   3         0         0 1221.0  19.1    71   698   117   887   101   896 0.93 | transcript=PVPAM_020021300_t1 | gene=PVPAM_020021300 | organism=Plasmodium_vivax_PAM | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=CASCJQ010000002:685471-690525(+) | protein_length=1684 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717981.1         -           1684 742at5820            -           1341         0 2546.5  57.5   3   3         0         0 1248.5  22.9   694  1341   920  1684   906  1684 0.96 | transcript=PVPAM_020021300_t1 | gene=PVPAM_020021300 | organism=Plasmodium_vivax_PAM | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=CASCJQ010000002:685471-690525(+) | protein_length=1684 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721096.1         -           1914 742at5820            -           1341   3.6e-37  126.1  65.5   1   6      0.34   5.5e+02   -3.7   3.0    24   118    25   115    18   123 0.62 | transcript=PVPAM_100036400_t1 | gene=PVPAM_100036400 | organism=Plasmodium_vivax_PAM | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=CASCJQ010000010:1349520-1355445(-) | protein_length=1914 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721096.1         -           1914 742at5820            -           1341   3.6e-37  126.1  65.5   2   6   5.4e-24   8.7e-21   71.9  15.6   287   622   378   752   319   766 0.79 | transcript=PVPAM_100036400_t1 | gene=PVPAM_100036400 | organism=Plasmodium_vivax_PAM | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=CASCJQ010000010:1349520-1355445(-) | protein_length=1914 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721096.1         -           1914 742at5820            -           1341   3.6e-37  126.1  65.5   3   6     0.083   1.3e+02   -1.6   0.3   650   716  1088  1157  1075  1171 0.78 | transcript=PVPAM_100036400_t1 | gene=PVPAM_100036400 | organism=Plasmodium_vivax_PAM | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=CASCJQ010000010:1349520-1355445(-) | protein_length=1914 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721096.1         -           1914 742at5820            -           1341   3.6e-37  126.1  65.5   4   6   3.8e-11   6.2e-08   29.3   3.6   767   890  1176  1303  1111  1360 0.83 | transcript=PVPAM_100036400_t1 | gene=PVPAM_100036400 | organism=Plasmodium_vivax_PAM | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=CASCJQ010000010:1349520-1355445(-) | protein_length=1914 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721096.1         -           1914 742at5820            -           1341   3.6e-37  126.1  65.5   5   6   7.8e-13   1.3e-09   34.9   0.1   923  1026  1508  1609  1486  1613 0.76 | transcript=PVPAM_100036400_t1 | gene=PVPAM_100036400 | organism=Plasmodium_vivax_PAM | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=CASCJQ010000010:1349520-1355445(-) | protein_length=1914 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721096.1         -           1914 742at5820            -           1341   3.6e-37  126.1  65.5   6   6   5.8e-06    0.0093   12.1  15.3  1089  1280  1613  1815  1609  1821 0.65 | transcript=PVPAM_100036400_t1 | gene=PVPAM_100036400 | organism=Plasmodium_vivax_PAM | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=CASCJQ010000010:1349520-1355445(-) | protein_length=1914 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717931.1         -           1191 742at5820            -           1341   4.8e-16   56.2  25.0   1   4   1.5e-08   2.5e-05   20.7   4.9   300   619    55   370    24   389 0.65 | transcript=PVPAM_020016300_t1 | gene=PVPAM_020016300 | organism=Plasmodium_vivax_PAM | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=CASCJQ010000002:474480-478546(+) | protein_length=1191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717931.1         -           1191 742at5820            -           1341   4.8e-16   56.2  25.0   2   4   2.5e-06    0.0041   13.3   0.0   826   882   726   782   648   788 0.88 | transcript=PVPAM_020016300_t1 | gene=PVPAM_020016300 | organism=Plasmodium_vivax_PAM | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=CASCJQ010000002:474480-478546(+) | protein_length=1191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
