#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723739.1         -            896 3459at5820           -            642         0 1305.2  27.6   1   4   6.1e-08   1.8e-05   21.7   2.6     1    43    13    56    13    59 0.92 | transcript=PVPAM_140066300_t1 | gene=PVPAM_140066300 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=CASCJQ010000014:2628494-2631184(+) | protein_length=896 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723739.1         -            896 3459at5820           -            642         0 1305.2  27.6   2   4         0         0 1240.1   2.9    28   566    63   608    56   617 0.98 | transcript=PVPAM_140066300_t1 | gene=PVPAM_140066300 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=CASCJQ010000014:2628494-2631184(+) | protein_length=896 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723739.1         -            896 3459at5820           -            642         0 1305.2  27.6   3   4       0.3        89   -0.4   1.9   558   585   739   764   703   784 0.71 | transcript=PVPAM_140066300_t1 | gene=PVPAM_140066300 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=CASCJQ010000014:2628494-2631184(+) | protein_length=896 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723739.1         -            896 3459at5820           -            642         0 1305.2  27.6   4   4   4.2e-19   1.2e-16   58.6   0.3   583   642   818   894   796   894 0.83 | transcript=PVPAM_140066300_t1 | gene=PVPAM_140066300 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=CASCJQ010000014:2628494-2631184(+) | protein_length=896 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720479.1         -            950 3459at5820           -            642  2.7e-114  381.2   0.1   1   1  1.3e-116  3.9e-114  380.7   0.1   108   559   390   845   366   862 0.90 | transcript=PVPAM_090024400_t1 | gene=PVPAM_090024400 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=CASCJQ010000009:885031-887883(-) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722234.1         -            702 3459at5820           -            642  7.5e-112  373.1   5.9   1   2      0.93   2.7e+02   -2.0   1.6   551   586    74   109    26   120 0.73 | transcript=PVPAM_120047100_t1 | gene=PVPAM_120047100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=CASCJQ010000012:1695818-1697926(+) | protein_length=702 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722234.1         -            702 3459at5820           -            642  7.5e-112  373.1   5.9   2   2  2.6e-114  7.5e-112  373.1   5.9   115   571   246   692   225   699 0.92 | transcript=PVPAM_120047100_t1 | gene=PVPAM_120047100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=CASCJQ010000012:1695818-1697926(+) | protein_length=702 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721437.1         -            822 3459at5820           -            642   1.6e-98  329.1   2.0   1   3      0.48   1.4e+02   -1.1   2.0   553   598     6    51     2    87 0.68 | transcript=PVPAM_110034300_t1 | gene=PVPAM_110034300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000011:1241062-1243697(+) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721437.1         -            822 3459at5820           -            642   1.6e-98  329.1   2.0   2   3   1.4e-46   4.2e-44  149.3   0.0   113   354   201   437   190   454 0.91 | transcript=PVPAM_110034300_t1 | gene=PVPAM_110034300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000011:1241062-1243697(+) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721437.1         -            822 3459at5820           -            642   1.6e-98  329.1   2.0   3   3   6.4e-55   1.9e-52  176.9   0.0   115   366   476   721   464   734 0.89 | transcript=PVPAM_110034300_t1 | gene=PVPAM_110034300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000011:1241062-1243697(+) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717729.1         -           1089 3459at5820           -            642   6.2e-95  317.3   0.2   1   2   2.5e-46   7.2e-44  148.5   0.1   109   369   466   722   448   730 0.90 | transcript=PVPAM_010024300_t1 | gene=PVPAM_010024300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000001:887950-891219(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717729.1         -           1089 3459at5820           -            642   6.2e-95  317.3   0.2   2   2   8.7e-52   2.6e-49  166.5   0.0   115   349   792  1022   779  1027 0.92 | transcript=PVPAM_010024300_t1 | gene=PVPAM_010024300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000001:887950-891219(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723005.1         -           1175 3459at5820           -            642     1e-66  224.1   4.8   1   4   2.6e-05    0.0075   13.0   0.0    99   175   326   403   320   407 0.72 | transcript=PVPAM_130051100_t1 | gene=PVPAM_130051100 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000013:2025318-2028845(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723005.1         -           1175 3459at5820           -            642     1e-66  224.1   4.8   2   4   1.4e-20   4.1e-18   63.5   0.4   211   349   497   627   477   647 0.92 | transcript=PVPAM_130051100_t1 | gene=PVPAM_130051100 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000013:2025318-2028845(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723005.1         -           1175 3459at5820           -            642     1e-66  224.1   4.8   3   4   3.2e-45   9.5e-43  144.8   0.1   118   309   767   954   759   965 0.87 | transcript=PVPAM_130051100_t1 | gene=PVPAM_130051100 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000013:2025318-2028845(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723005.1         -           1175 3459at5820           -            642     1e-66  224.1   4.8   4   4      0.13        38    0.8   0.0   319   345  1092  1118  1083  1126 0.88 | transcript=PVPAM_130051100_t1 | gene=PVPAM_130051100 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000013:2025318-2028845(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723825.1         -            424 3459at5820           -            642   1.4e-57  193.8   0.4   1   1   6.9e-60     2e-57  193.3   0.4   117   363   166   409   154   421 0.94 | transcript=PVPAM_140074800_t1 | gene=PVPAM_140074800 | organism=Plasmodium_vivax_PAM | gene_product=26S protease regulatory subunit 8, putative | transcript_product=26S protease regulatory subunit 8, putative | location=CASCJQ010000014:2935721-2936995(-) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723229.1         -            393 3459at5820           -            642   1.8e-57  193.5   0.3   1   2      0.55   1.6e+02   -1.3   1.8   574   611     9    47     2    66 0.64 | transcript=PVPAM_140014800_t1 | gene=PVPAM_140014800 | organism=Plasmodium_vivax_PAM | gene_product=26S protease regulatory subunit 10B, putative | transcript_product=26S protease regulatory subunit 10B, putative | location=CASCJQ010000014:461124-462305(-) | protein_length=393 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
