#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718735.1         -           1630 1196at5820           -           1074         0 1499.5  80.6   1   9   3.5e-38   2.3e-34  117.4   4.9     1    83     1   101     1   105 0.93 | transcript=PVPAM_050012900_t1 | gene=PVPAM_050012900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:370842-375894(-) | protein_length=1630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718735.1         -           1630 1196at5820           -           1074         0 1499.5  80.6   2   9  3.3e-132  2.1e-128  428.7  22.9    83   285   150   352   142   355 0.98 | transcript=PVPAM_050012900_t1 | gene=PVPAM_050012900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:370842-375894(-) | protein_length=1630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718735.1         -           1630 1196at5820           -           1074         0 1499.5  80.6   3   9   4.8e-74   3.1e-70  236.1  17.6   285   444   419   581   417   596 0.96 | transcript=PVPAM_050012900_t1 | gene=PVPAM_050012900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:370842-375894(-) | protein_length=1630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718735.1         -           1630 1196at5820           -           1074         0 1499.5  80.6   4   9   4.4e-46   2.9e-42  143.5   0.0   438   576   603   763   590   771 0.86 | transcript=PVPAM_050012900_t1 | gene=PVPAM_050012900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:370842-375894(-) | protein_length=1630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718735.1         -           1630 1196at5820           -           1074         0 1499.5  80.6   5   9     1e-12   6.7e-09   33.1   0.0   564   620   798   861   783   873 0.82 | transcript=PVPAM_050012900_t1 | gene=PVPAM_050012900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:370842-375894(-) | protein_length=1630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718735.1         -           1630 1196at5820           -           1074         0 1499.5  80.6   6   9   1.4e-47   8.8e-44  148.5   1.0   626   746   898  1027   892  1034 0.91 | transcript=PVPAM_050012900_t1 | gene=PVPAM_050012900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:370842-375894(-) | protein_length=1630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718735.1         -           1630 1196at5820           -           1074         0 1499.5  80.6   7   9     5e-29   3.3e-25   87.1   0.1   760   853  1118  1244  1086  1245 0.79 | transcript=PVPAM_050012900_t1 | gene=PVPAM_050012900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:370842-375894(-) | protein_length=1630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718735.1         -           1630 1196at5820           -           1074         0 1499.5  80.6   8   9   5.2e-59   3.3e-55  186.4   0.4   852   985  1325  1473  1322  1481 0.92 | transcript=PVPAM_050012900_t1 | gene=PVPAM_050012900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:370842-375894(-) | protein_length=1630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718735.1         -           1630 1196at5820           -           1074         0 1499.5  80.6   9   9   6.9e-43   4.4e-39  133.0   0.7   983  1074  1529  1630  1524  1630 0.87 | transcript=PVPAM_050012900_t1 | gene=PVPAM_050012900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:370842-375894(-) | protein_length=1630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1196at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1196at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1196at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:16 2026
# [ok]
