#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720512.1         -           5292 45at5820             -           4216         0 8350.6 304.5   1  13   5.2e-59   3.7e-56  187.7   0.0     1   118     8   157     8   167 0.97 | transcript=PVPAM_090027700_t1 | gene=PVPAM_090027700 | organism=Plasmodium_vivax_PAM | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=CASCJQ010000009:1037075-1053158(+) | protein_length=5292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720512.1         -           5292 45at5820             -           4216         0 8350.6 304.5   2  13   1.4e-09     1e-06   23.6   0.0   119   164   211   267   204   274 0.84 | transcript=PVPAM_090027700_t1 | gene=PVPAM_090027700 | organism=Plasmodium_vivax_PAM | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=CASCJQ010000009:1037075-1053158(+) | protein_length=5292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720512.1         -           5292 45at5820             -           4216         0 8350.6 304.5   3  13  5.4e-102   3.8e-99  330.3   2.7   163   341   315   494   311   502 0.97 | transcript=PVPAM_090027700_t1 | gene=PVPAM_090027700 | organism=Plasmodium_vivax_PAM | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=CASCJQ010000009:1037075-1053158(+) | protein_length=5292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720512.1         -           5292 45at5820             -           4216         0 8350.6 304.5   4  13  4.7e-120  3.4e-117  390.3  10.1   337   549   538   754   534   770 0.95 | transcript=PVPAM_090027700_t1 | gene=PVPAM_090027700 | organism=Plasmodium_vivax_PAM | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=CASCJQ010000009:1037075-1053158(+) | protein_length=5292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720512.1         -           5292 45at5820             -           4216         0 8350.6 304.5   5  13         0         0 1174.4  62.7   546  1238   792  1537   790  1540 0.97 | transcript=PVPAM_090027700_t1 | gene=PVPAM_090027700 | organism=Plasmodium_vivax_PAM | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=CASCJQ010000009:1037075-1053158(+) | protein_length=5292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720512.1         -           5292 45at5820             -           4216         0 8350.6 304.5   6  13    6e-103  4.3e-100  333.5   9.7  1234  1411  1587  1766  1577  1769 0.96 | transcript=PVPAM_090027700_t1 | gene=PVPAM_090027700 | organism=Plasmodium_vivax_PAM | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=CASCJQ010000009:1037075-1053158(+) | protein_length=5292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720512.1         -           5292 45at5820             -           4216         0 8350.6 304.5   7  13  8.8e-210  6.3e-207  688.1  12.2  1411  1699  1808  2096  1800  2102 0.98 | transcript=PVPAM_090027700_t1 | gene=PVPAM_090027700 | organism=Plasmodium_vivax_PAM | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=CASCJQ010000009:1037075-1053158(+) | protein_length=5292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720512.1         -           5292 45at5820             -           4216         0 8350.6 304.5   8  13         0         0 2931.8  80.3  1697  3039  2138  3537  2109  3545 0.98 | transcript=PVPAM_090027700_t1 | gene=PVPAM_090027700 | organism=Plasmodium_vivax_PAM | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=CASCJQ010000009:1037075-1053158(+) | protein_length=5292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720512.1         -           5292 45at5820             -           4216         0 8350.6 304.5   9  13    2e-211  1.5e-208  693.5  16.0  3037  3356  3596  3915  3590  3981 0.92 | transcript=PVPAM_090027700_t1 | gene=PVPAM_090027700 | organism=Plasmodium_vivax_PAM | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=CASCJQ010000009:1037075-1053158(+) | protein_length=5292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720512.1         -           5292 45at5820             -           4216         0 8350.6 304.5  10  13  1.3e-133  9.1e-131  435.3  14.0  3358  3609  4240  4493  4222  4504 0.92 | transcript=PVPAM_090027700_t1 | gene=PVPAM_090027700 | organism=Plasmodium_vivax_PAM | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=CASCJQ010000009:1037075-1053158(+) | protein_length=5292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720512.1         -           5292 45at5820             -           4216         0 8350.6 304.5  11  13  7.6e-142  5.4e-139  462.6   5.2  3608  3829  4531  4752  4529  4761 0.98 | transcript=PVPAM_090027700_t1 | gene=PVPAM_090027700 | organism=Plasmodium_vivax_PAM | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=CASCJQ010000009:1037075-1053158(+) | protein_length=5292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
