#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721878.1         -            224 11318at5820          -            201  7.2e-114  377.0  13.2   1   1  1.6e-116  1.2e-113  376.3  13.2     1   201     1   223     1   223 0.93 | transcript=PVPAM_120011200_t1 | gene=PVPAM_120011200 | organism=Plasmodium_vivax_PAM | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=CASCJQ010000012:255844-257982(-) | protein_length=224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717926.1         -            194 11318at5820          -            201   1.2e-09   36.7   0.0   1   2       1.1   8.1e+02   -1.9   0.0    10    33    14    37    10    41 0.80 | transcript=PVPAM_020015800_t1 | gene=PVPAM_020015800 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-5C, putative | transcript_product=ras-related protein Rab-5C, putative | location=CASCJQ010000002:455366-457119(-) | protein_length=194 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717926.1         -            194 11318at5820          -            201   1.2e-09   36.7   0.0   2   2     4e-12   2.9e-09   35.5   0.0   100   180    79   165    57   179 0.84 | transcript=PVPAM_020015800_t1 | gene=PVPAM_020015800 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-5C, putative | transcript_product=ras-related protein Rab-5C, putative | location=CASCJQ010000002:455366-457119(-) | protein_length=194 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723650.1         -            213 11318at5820          -            201   3.9e-07   28.5   0.0   1   1   7.9e-10   5.6e-07   28.0   0.0   100   196    79   181    61   185 0.77 | transcript=PVPAM_140057400_t1 | gene=PVPAM_140057400 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-2, putative | transcript_product=ras-related protein Rab-2, putative | location=CASCJQ010000014:2254682-2256145(+) | protein_length=213 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718501.1         -            245 11318at5820          -            201     1e-06   27.1   7.0   1   1   1.7e-09   1.3e-06   26.9   7.0    92   200   113   229    10   230 0.80 | transcript=PVPAM_040024500_t1 | gene=PVPAM_040024500 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-5A, putative | transcript_product=ras-related protein Rab-5A, putative | location=CASCJQ010000004:818004-818741(+) | protein_length=245 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720733.1         -            207 11318at5820          -            201   9.1e-06   24.1   0.7   1   2      0.19   1.4e+02    0.6   0.0     6    26    14    34    11    44 0.82 | transcript=PVPAM_090049800_t1 | gene=PVPAM_090049800 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-6, putative | transcript_product=ras-related protein Rab-6, putative | location=CASCJQ010000009:1997786-1999218(-) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720733.1         -            207 11318at5820          -            201   9.1e-06   24.1   0.7   2   2     7e-08   5.1e-05   21.6   0.1   102   182    85   171    72   194 0.75 | transcript=PVPAM_090049800_t1 | gene=PVPAM_090049800 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-6, putative | transcript_product=ras-related protein Rab-6, putative | location=CASCJQ010000009:1997786-1999218(-) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721950.1         -            229 11318at5820          -            201    0.0003   19.1   0.8   1   1   1.1e-06   0.00078   17.8   0.8    95   186    76   179    65   194 0.73 | transcript=PVPAM_120018600_t1 | gene=PVPAM_120018600 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-11B, putative | transcript_product=ras-related protein Rab-11B, putative | location=CASCJQ010000012:585822-587159(+) | protein_length=229 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720169.1         -            754 11318at5820          -            201    0.0044   15.3   0.6   1   3     0.034        25    3.1   0.0     4    40    12    48     9   118 0.71 | transcript=PVPAM_080039100_t1 | gene=PVPAM_080039100 | organism=Plasmodium_vivax_PAM | gene_product=Ras-like G protein, putative | transcript_product=Ras-like G protein, putative | location=CASCJQ010000008:1540352-1542616(-) | protein_length=754 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720169.1         -            754 11318at5820          -            201    0.0044   15.3   0.6   2   3   0.00041       0.3    9.3   0.0     4    58   465   518   464   535 0.80 | transcript=PVPAM_080039100_t1 | gene=PVPAM_080039100 | organism=Plasmodium_vivax_PAM | gene_product=Ras-like G protein, putative | transcript_product=Ras-like G protein, putative | location=CASCJQ010000008:1540352-1542616(-) | protein_length=754 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720169.1         -            754 11318at5820          -            201    0.0044   15.3   0.6   3   3       1.1   7.7e+02   -1.8   0.1    29    56   568   595   539   617 0.71 | transcript=PVPAM_080039100_t1 | gene=PVPAM_080039100 | organism=Plasmodium_vivax_PAM | gene_product=Ras-like G protein, putative | transcript_product=Ras-like G protein, putative | location=CASCJQ010000008:1540352-1542616(-) | protein_length=754 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
