#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720005.1         -            188 12151at5820          -            140   1.3e-82  273.4   5.8   1   1   9.6e-82   5.7e-79  261.6   5.8     1   140     1   167     1   167 0.92 | transcript=PVPAM_080022700_t1 | gene=PVPAM_080022700 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000008:822474-824204(+) | protein_length=188 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722907.1         -            708 12151at5820          -            140   2.2e-14   52.3   1.6   1   4   1.8e-08   1.1e-05   24.2   0.0    46    97   390   443   384   448 0.87 | transcript=PVPAM_130040900_t1 | gene=PVPAM_130040900 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000013:1591335-1593461(-) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722907.1         -            708 12151at5820          -            140   2.2e-14   52.3   1.6   2   4   1.3e-05    0.0078   14.9   0.1    39    99   450   514   446   535 0.84 | transcript=PVPAM_130040900_t1 | gene=PVPAM_130040900 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000013:1591335-1593461(-) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722907.1         -            708 12151at5820          -            140   2.2e-14   52.3   1.6   3   4   0.00017       0.1   11.3   0.1    49    96   496   544   491   568 0.86 | transcript=PVPAM_130040900_t1 | gene=PVPAM_130040900 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000013:1591335-1593461(-) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722907.1         -            708 12151at5820          -            140   2.2e-14   52.3   1.6   4   4    0.0011      0.66    8.7   0.1    45    96   591   644   547   658 0.83 | transcript=PVPAM_130040900_t1 | gene=PVPAM_130040900 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000013:1591335-1593461(-) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720269.1         -            611 12151at5820          -            140   2.7e-10   39.1   0.5   1   2    0.0025       1.5    7.5   0.1    96   113    82    99    38   123 0.73 | transcript=PVPAM_080049200_t1 | gene=PVPAM_080049200 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC1, putative | transcript_product=palmitoyltransferase DHHC1, putative | location=CASCJQ010000008:1907073-1909842(-) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720269.1         -            611 12151at5820          -            140   2.7e-10   39.1   0.5   2   2     5e-10   2.9e-07   29.2   0.0    36    93   154   212   134   221 0.91 | transcript=PVPAM_080049200_t1 | gene=PVPAM_080049200 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC1, putative | transcript_product=palmitoyltransferase DHHC1, putative | location=CASCJQ010000008:1907073-1909842(-) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719292.1         -            482 12151at5820          -            140   4.9e-09   35.0   0.5   1   4       5.5   3.2e+03   -3.3   0.0    86    94    22    30     6    36 0.70 | transcript=PVPAM_060029900_t1 | gene=PVPAM_060029900 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=CASCJQ010000006:1023186-1025027(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719292.1         -            482 12151at5820          -            140   4.9e-09   35.0   0.5   2   4   9.8e-06    0.0058   15.3   0.0    11    96    61   150    52   155 0.81 | transcript=PVPAM_060029900_t1 | gene=PVPAM_060029900 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=CASCJQ010000006:1023186-1025027(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719292.1         -            482 12151at5820          -            140   4.9e-09   35.0   0.5   3   4   8.9e-06    0.0052   15.5   0.0    40    92   159   212   153   224 0.88 | transcript=PVPAM_060029900_t1 | gene=PVPAM_060029900 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=CASCJQ010000006:1023186-1025027(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719292.1         -            482 12151at5820          -            140   4.9e-09   35.0   0.5   4   4       3.9   2.3e+03   -2.8   0.0    85   109   339   363   332   374 0.68 | transcript=PVPAM_060029900_t1 | gene=PVPAM_060029900 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=CASCJQ010000006:1023186-1025027(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
