#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718947.1         -           2190 943at5820            -           1188         0 1662.5  65.0   1  10   2.6e-35   1.7e-31  107.3   0.2     1    78     1    86     1    93 0.89 | transcript=PVPAM_050033900_t1 | gene=PVPAM_050033900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:1179327-1186153(-) | protein_length=2190 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718947.1         -           2190 943at5820            -           1188         0 1662.5  65.0   2  10   9.7e-48   6.2e-44  148.5   0.0    77   169   188   280   180   284 0.97 | transcript=PVPAM_050033900_t1 | gene=PVPAM_050033900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:1179327-1186153(-) | protein_length=2190 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718947.1         -           2190 943at5820            -           1188         0 1662.5  65.0   3  10   1.3e-49   8.2e-46  154.7   0.8   170   283   319   444   317   448 0.92 | transcript=PVPAM_050033900_t1 | gene=PVPAM_050033900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:1179327-1186153(-) | protein_length=2190 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718947.1         -           2190 943at5820            -           1188         0 1662.5  65.0   4  10  7.9e-119  5.1e-115  383.9  12.1   284   517   487   757   479   763 0.88 | transcript=PVPAM_050033900_t1 | gene=PVPAM_050033900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:1179327-1186153(-) | protein_length=2190 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718947.1         -           2190 943at5820            -           1188         0 1662.5  65.0   5  10   4.2e-48   2.7e-44  149.7   0.2   520   610   877   967   873   970 0.97 | transcript=PVPAM_050033900_t1 | gene=PVPAM_050033900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:1179327-1186153(-) | protein_length=2190 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718947.1         -           2190 943at5820            -           1188         0 1662.5  65.0   6  10     1e-42   6.6e-39  131.9   0.0   610   710  1000  1109   993  1114 0.93 | transcript=PVPAM_050033900_t1 | gene=PVPAM_050033900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:1179327-1186153(-) | protein_length=2190 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718947.1         -           2190 943at5820            -           1188         0 1662.5  65.0   7  10   6.2e-18     4e-14   49.8   0.1   711   772  1229  1295  1215  1316 0.87 | transcript=PVPAM_050033900_t1 | gene=PVPAM_050033900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:1179327-1186153(-) | protein_length=2190 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718947.1         -           2190 943at5820            -           1188         0 1662.5  65.0   8  10   8.6e-43   5.6e-39  132.1   2.9   778   884  1519  1632  1494  1636 0.91 | transcript=PVPAM_050033900_t1 | gene=PVPAM_050033900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:1179327-1186153(-) | protein_length=2190 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718947.1         -           2190 943at5820            -           1188         0 1662.5  65.0   9  10   2.5e-54   1.6e-50  170.3   3.8   906  1027  1803  1934  1797  1944 0.86 | transcript=PVPAM_050033900_t1 | gene=PVPAM_050033900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:1179327-1186153(-) | protein_length=2190 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718947.1         -           2190 943at5820            -           1188         0 1662.5  65.0  10  10   6.7e-80   4.3e-76  255.0   4.6  1032  1188  2009  2182  1996  2182 0.91 | transcript=PVPAM_050033900_t1 | gene=PVPAM_050033900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:1179327-1186153(-) | protein_length=2190 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/943at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/943at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/943at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:51:07 2026
# [ok]
