#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721506.1         -            362 10105at5820          -            265  3.1e-102  339.7  15.8   1   1  3.2e-101   2.3e-98  327.1  15.8     6   249    24   320    21   325 0.84 | transcript=PVPAM_110041100_t1 | gene=PVPAM_110041100 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P12 | transcript_product=6-cysteine protein P12 | location=CASCJQ010000011:1509165-1510253(+) | protein_length=362 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 10105at5820          -            265   7.2e-74  246.7  83.1   1  13   1.8e-06    0.0013   16.4   2.3    79   252   386   557   283   569 0.76 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 10105at5820          -            265   7.2e-74  246.7  83.1   2  13      0.15   1.1e+02    0.3   0.9     8    48   596   640   593   666 0.75 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 10105at5820          -            265   7.2e-74  246.7  83.1   3  13   7.7e-09   5.5e-06   24.2   0.2   107   177   785   849   767   855 0.89 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 10105at5820          -            265   7.2e-74  246.7  83.1   4  13   7.8e-07   0.00056   17.6   0.5    43   113   861   934   858  1016 0.74 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 10105at5820          -            265   7.2e-74  246.7  83.1   5  13   2.8e-11     2e-08   32.1   1.3   118   237  1109  1224  1042  1242 0.75 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 10105at5820          -            265   7.2e-74  246.7  83.1   6  13       2.7   1.9e+03   -3.8   0.0    25    49  1407  1431  1384  1439 0.70 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 10105at5820          -            265   7.2e-74  246.7  83.1   7  13   4.8e-23   3.5e-20   70.7   5.3    49   243  1480  1688  1474  1702 0.80 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 10105at5820          -            265   7.2e-74  246.7  83.1   8  13   3.5e-10   2.5e-07   28.6   0.5     9   188  1714  1910  1709  1923 0.67 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 10105at5820          -            265   7.2e-74  246.7  83.1   9  13     0.024        17    2.9   0.1   216   246  1998  2032  1972  2038 0.70 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 10105at5820          -            265   7.2e-74  246.7  83.1  10  13    0.0034       2.5    5.6   0.0     6    42  2101  2141  2096  2153 0.79 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 10105at5820          -            265   7.2e-74  246.7  83.1  11  13     3e-12   2.1e-09   35.3   0.5    49   192  2217  2371  2200  2385 0.74 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 10105at5820          -            265   7.2e-74  246.7  83.1  12  13      0.89   6.4e+02   -2.3   0.1    89   102  2424  2437  2385  2448 0.68 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718521.1         -           2760 10105at5820          -            265   7.2e-74  246.7  83.1  13  13   2.4e-19   1.8e-16   58.6   5.6    11   206  2476  2680  2467  2716 0.80 | transcript=PVPAM_040026500_t1 | gene=PVPAM_040026500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=CASCJQ010000004:896201-904483(-) | protein_length=2760 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718523.1         -           2215 10105at5820          -            265   1.3e-38  131.1  68.1   1   9   5.2e-06    0.0037   14.9   0.4    73   242   187   354   181   368 0.75 | transcript=PVPAM_040026700_t1 | gene=PVPAM_040026700 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=CASCJQ010000004:906187-912834(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718523.1         -           2215 10105at5820          -            265   1.3e-38  131.1  68.1   2   9   2.6e-07   0.00019   19.2   3.3   110   235   490   615   482   634 0.72 | transcript=PVPAM_040026700_t1 | gene=PVPAM_040026700 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=CASCJQ010000004:906187-912834(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718523.1         -           2215 10105at5820          -            265   1.3e-38  131.1  68.1   3   9      0.59   4.3e+02   -1.7   0.0   156   181   674   699   647   723 0.66 | transcript=PVPAM_040026700_t1 | gene=PVPAM_040026700 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=CASCJQ010000004:906187-912834(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718523.1         -           2215 10105at5820          -            265   1.3e-38  131.1  68.1   4   9   1.3e-08   9.3e-06   23.4   0.3    73   244   805   978   792   991 0.76 | transcript=PVPAM_040026700_t1 | gene=PVPAM_040026700 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=CASCJQ010000004:906187-912834(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718523.1         -           2215 10105at5820          -            265   1.3e-38  131.1  68.1   5   9      0.61   4.4e+02   -1.7   0.0   131   177  1033  1074  1026  1078 0.57 | transcript=PVPAM_040026700_t1 | gene=PVPAM_040026700 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=CASCJQ010000004:906187-912834(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718523.1         -           2215 10105at5820          -            265   1.3e-38  131.1  68.1   6   9   2.2e-12   1.6e-09   35.8  10.7    50   241  1131  1338  1121  1346 0.66 | transcript=PVPAM_040026700_t1 | gene=PVPAM_040026700 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=CASCJQ010000004:906187-912834(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718523.1         -           2215 10105at5820          -            265   1.3e-38  131.1  68.1   7   9   1.5e-09   1.1e-06   26.5   8.9    82   233  1536  1720  1459  1735 0.62 | transcript=PVPAM_040026700_t1 | gene=PVPAM_040026700 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=CASCJQ010000004:906187-912834(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718523.1         -           2215 10105at5820          -            265   1.3e-38  131.1  68.1   8   9      0.31   2.2e+02   -0.8   0.0    27    66  1857  1900  1843  1905 0.71 | transcript=PVPAM_040026700_t1 | gene=PVPAM_040026700 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=CASCJQ010000004:906187-912834(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718523.1         -           2215 10105at5820          -            265   1.3e-38  131.1  68.1   9   9   6.2e-13   4.5e-10   37.6   2.7    94   188  2030  2119  1987  2175 0.82 | transcript=PVPAM_040026700_t1 | gene=PVPAM_040026700 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=CASCJQ010000004:906187-912834(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721891.1         -            433 10105at5820          -            265   3.3e-18   64.3  13.0   1   2   3.1e-14   2.2e-11   41.9   5.2    25   185    55   227    22   241 0.73 | transcript=PVPAM_120012500_t1 | gene=PVPAM_120012500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P47 | transcript_product=6-cysteine protein P47 | location=CASCJQ010000012:308422-309723(+) | protein_length=433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721891.1         -            433 10105at5820          -            265   3.3e-18   64.3  13.0   2   2   2.6e-09   1.9e-06   25.7   0.9   119   261   269   426   256   430 0.60 | transcript=PVPAM_120012500_t1 | gene=PVPAM_120012500 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P47 | transcript_product=6-cysteine protein P47 | location=CASCJQ010000012:308422-309723(+) | protein_length=433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718093.1         -            384 10105at5820          -            265   6.3e-18   63.3  12.5   1   2   2.6e-05     0.019   12.6   2.3     8   104    24   122    19   143 0.66 | transcript=PVPAM_030008900_t1 | gene=PVPAM_030008900 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P41 | transcript_product=6-cysteine protein P41 | location=CASCJQ010000003:192953-194107(-) | protein_length=384 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718093.1         -            384 10105at5820          -            265   6.3e-18   63.3  12.5   2   2   1.5e-18   1.1e-15   56.0   2.7   105   227   223   346   217   370 0.76 | transcript=PVPAM_030008900_t1 | gene=PVPAM_030008900 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P41 | transcript_product=6-cysteine protein P41 | location=CASCJQ010000003:192953-194107(-) | protein_length=384 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721056.1         -            355 10105at5820          -            265   1.1e-12   46.2   9.3   1   2   2.2e-15   1.6e-12   45.6   6.7    45   204    72   231    46   254 0.78 | transcript=PVPAM_100032400_t1 | gene=PVPAM_100032400 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=CASCJQ010000010:1193028-1194095(+) | protein_length=355 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721056.1         -            355 10105at5820          -            265   1.1e-12   46.2   9.3   2   2     0.093        67    0.9   0.0   219   243   269   298   261   308 0.64 | transcript=PVPAM_100032400_t1 | gene=PVPAM_100032400 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=CASCJQ010000010:1193028-1194095(+) | protein_length=355 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721505.1         -            431 10105at5820          -            265   2.8e-11   41.5   0.1   1   2   2.5e-08   1.8e-05   22.5   0.0    24   145   103   230    95   239 0.71 | transcript=PVPAM_110041000_t1 | gene=PVPAM_110041000 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P12p, putative | transcript_product=6-cysteine protein P12p, putative | location=CASCJQ010000011:1506532-1507827(+) | protein_length=431 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721505.1         -            431 10105at5820          -            265   2.8e-11   41.5   0.1   2   2   1.3e-06   0.00091   16.9   0.0   141   204   289   355   282   404 0.75 | transcript=PVPAM_110041000_t1 | gene=PVPAM_110041000 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P12p, putative | transcript_product=6-cysteine protein P12p, putative | location=CASCJQ010000011:1506532-1507827(+) | protein_length=431 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718087.1         -            487 10105at5820          -            265   5.7e-07   27.4   7.7   1   2     3e-09   2.1e-06   25.5   6.7    17   226    39   261    32   265 0.72 | transcript=PVPAM_030008300_t1 | gene=PVPAM_030008300 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P52, putative | transcript_product=6-cysteine protein P52, putative | location=CASCJQ010000003:161631-163094(-) | protein_length=487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718087.1         -            487 10105at5820          -            265   5.7e-07   27.4   7.7   2   2     0.022        15    3.0   0.1    44    64   210   230   203   287 0.73 | transcript=PVPAM_030008300_t1 | gene=PVPAM_030008300 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P52, putative | transcript_product=6-cysteine protein P52, putative | location=CASCJQ010000003:161631-163094(-) | protein_length=487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718086.1         -            353 10105at5820          -            265   8.1e-06   23.6   5.5   1   4       2.8     2e+03   -3.9   1.7   212   232    33    51    25    54 0.74 | transcript=PVPAM_030008200_t1 | gene=PVPAM_030008200 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P36, putative | transcript_product=6-cysteine protein P36, putative | location=CASCJQ010000003:158668-159729(-) | protein_length=353 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718086.1         -            353 10105at5820          -            265   8.1e-06   23.6   5.5   2   4      0.06        43    1.6   2.7   160   237    81   178    66   197 0.51 | transcript=PVPAM_030008200_t1 | gene=PVPAM_030008200 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P36, putative | transcript_product=6-cysteine protein P36, putative | location=CASCJQ010000003:158668-159729(-) | protein_length=353 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718086.1         -            353 10105at5820          -            265   8.1e-06   23.6   5.5   3   4   1.1e-08   8.1e-06   23.6   5.5    92   187   164   267   123   287 0.73 | transcript=PVPAM_030008200_t1 | gene=PVPAM_030008200 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P36, putative | transcript_product=6-cysteine protein P36, putative | location=CASCJQ010000003:158668-159729(-) | protein_length=353 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718086.1         -            353 10105at5820          -            265   8.1e-06   23.6   5.5   4   4     0.021        15    3.1   0.0   219   247   318   346   309   352 0.80 | transcript=PVPAM_030008200_t1 | gene=PVPAM_030008200 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P36, putative | transcript_product=6-cysteine protein P36, putative | location=CASCJQ010000003:158668-159729(-) | protein_length=353 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10105at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10105at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10105at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:39 2026
# [ok]
