#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720141.1         -           2013 833at5820            -           1112         0 1402.4  64.7   1  11   1.6e-44   1.1e-40  138.1   0.0     1    95    36   132    36   138 0.95 | transcript=PVPAM_080036300_t1 | gene=PVPAM_080036300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000008:1420976-1427183(+) | protein_length=2013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720141.1         -           2013 833at5820            -           1112         0 1402.4  64.7   2  11   5.7e-32   3.7e-28   96.5   0.5    92   164   204   276   188   280 0.94 | transcript=PVPAM_080036300_t1 | gene=PVPAM_080036300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000008:1420976-1427183(+) | protein_length=2013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720141.1         -           2013 833at5820            -           1112         0 1402.4  64.7   3  11   1.5e-33   9.4e-30  101.8   0.0   162   250   306   395   299   402 0.93 | transcript=PVPAM_080036300_t1 | gene=PVPAM_080036300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000008:1420976-1427183(+) | protein_length=2013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720141.1         -           2013 833at5820            -           1112         0 1402.4  64.7   4  11     1e-36   6.6e-33  112.2   6.5   274   363   604   712   597   716 0.86 | transcript=PVPAM_080036300_t1 | gene=PVPAM_080036300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000008:1420976-1427183(+) | protein_length=2013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720141.1         -           2013 833at5820            -           1112         0 1402.4  64.7   5  11   2.2e-39   1.4e-35  121.1   0.2   361   441   737   818   732   825 0.93 | transcript=PVPAM_080036300_t1 | gene=PVPAM_080036300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000008:1420976-1427183(+) | protein_length=2013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720141.1         -           2013 833at5820            -           1112         0 1402.4  64.7   6  11   8.2e-36   5.3e-32  109.2   0.0   441   533   841   953   837   959 0.87 | transcript=PVPAM_080036300_t1 | gene=PVPAM_080036300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000008:1420976-1427183(+) | protein_length=2013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720141.1         -           2013 833at5820            -           1112         0 1402.4  64.7   7  11   6.6e-70   4.3e-66  222.1   5.6   532   669   993  1133   990  1166 0.89 | transcript=PVPAM_080036300_t1 | gene=PVPAM_080036300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000008:1420976-1427183(+) | protein_length=2013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720141.1         -           2013 833at5820            -           1112         0 1402.4  64.7   8  11     1e-19   6.6e-16   56.0   0.1   661   731  1167  1238  1158  1243 0.91 | transcript=PVPAM_080036300_t1 | gene=PVPAM_080036300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000008:1420976-1427183(+) | protein_length=2013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720141.1         -           2013 833at5820            -           1112         0 1402.4  64.7   9  11   1.7e-32   1.1e-28   98.3   0.6   731   806  1538  1613  1534  1637 0.90 | transcript=PVPAM_080036300_t1 | gene=PVPAM_080036300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000008:1420976-1427183(+) | protein_length=2013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720141.1         -           2013 833at5820            -           1112         0 1402.4  64.7  10  11   9.8e-34   6.3e-30  102.4   0.5   792   890  1634  1732  1627  1735 0.93 | transcript=PVPAM_080036300_t1 | gene=PVPAM_080036300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000008:1420976-1427183(+) | protein_length=2013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720141.1         -           2013 833at5820            -           1112         0 1402.4  64.7  11  11   3.2e-86   2.1e-82  276.2   1.1   888  1111  1754  2009  1747  2010 0.90 | transcript=PVPAM_080036300_t1 | gene=PVPAM_080036300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000008:1420976-1427183(+) | protein_length=2013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
