#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723750.1         -            259 11969at5820          -            217  7.3e-113  373.9  16.1   1   2   4.2e-57   2.7e-54  182.5   1.0     1   107     1   116     1   127 0.91 | transcript=PVPAM_140067300_t1 | gene=PVPAM_140067300 | organism=Plasmodium_vivax_PAM | gene_product=S-adenosylmethionine mitochondrial carrier protein, putative | transcript_product=S-adenosylmethionine mitochondrial carrier protein, putative | location=CASCJQ010000014:2690273-2692045(+) | protein_length=259 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723750.1         -            259 11969at5820          -            217  7.3e-113  373.9  16.1   2   2   2.4e-61   1.5e-58  196.3   8.9    90   217   119   257   116   257 0.92 | transcript=PVPAM_140067300_t1 | gene=PVPAM_140067300 | organism=Plasmodium_vivax_PAM | gene_product=S-adenosylmethionine mitochondrial carrier protein, putative | transcript_product=S-adenosylmethionine mitochondrial carrier protein, putative | location=CASCJQ010000014:2690273-2692045(+) | protein_length=259 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719491.1         -           1119 11969at5820          -            217   1.1e-15   56.2   3.8   1   4    0.0001     0.064   11.2   0.0     6    37    37    68    33    72 0.90 | transcript=PVPAM_070010500_t1 | gene=PVPAM_070010500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:304368-307727(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719491.1         -           1119 11969at5820          -            217   1.1e-15   56.2   3.8   2   4   5.3e-05     0.034   12.2   0.1    35    68   672   705   662   715 0.89 | transcript=PVPAM_070010500_t1 | gene=PVPAM_070010500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:304368-307727(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719491.1         -           1119 11969at5820          -            217   1.1e-15   56.2   3.8   3   4    0.0017       1.1    7.2   0.1   142   195   747   801   740   826 0.83 | transcript=PVPAM_070010500_t1 | gene=PVPAM_070010500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:304368-307727(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719491.1         -           1119 11969at5820          -            217   1.1e-15   56.2   3.8   4   4   3.1e-08     2e-05   22.7   0.2   143   200  1027  1091  1016  1109 0.76 | transcript=PVPAM_070010500_t1 | gene=PVPAM_070010500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:304368-307727(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717911.1         -            332 11969at5820          -            217   7.3e-09   34.0   9.6   1   4    0.0064       4.2    5.3   0.0     7    34    27    54    22    60 0.80 | transcript=PVPAM_020014300_t1 | gene=PVPAM_020014300 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000002:391987-394247(+) | protein_length=332 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717911.1         -            332 11969at5820          -            217   7.3e-09   34.0   9.6   2   4   3.4e-08   2.2e-05   22.6   0.3    35   110    92   181    84   187 0.73 | transcript=PVPAM_020014300_t1 | gene=PVPAM_020014300 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000002:391987-394247(+) | protein_length=332 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717911.1         -            332 11969at5820          -            217   7.3e-09   34.0   9.6   3   4   1.8e-05     0.012   13.7   3.6   151   208   155   224   146   233 0.75 | transcript=PVPAM_020014300_t1 | gene=PVPAM_020014300 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000002:391987-394247(+) | protein_length=332 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717911.1         -            332 11969at5820          -            217   7.3e-09   34.0   9.6   4   4       0.1        66    1.4   0.0   152   179   252   279   239   318 0.71 | transcript=PVPAM_020014300_t1 | gene=PVPAM_020014300 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000002:391987-394247(+) | protein_length=332 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721170.1         -            494 11969at5820          -            217   2.1e-08   32.4   3.2   1   5     0.029        19    3.2   0.0     6    33    18    45     8    55 0.78 | transcript=PVPAM_110007200_t1 | gene=PVPAM_110007200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000011:97325-98809(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
