#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722337.1         -            152 13271at5820          -            126     7e-68  225.4  31.0   1   2   1.5e-15   3.2e-12   45.5   6.3     1    35     1    35     1    43 0.90 | transcript=PVPAM_120057300_t1 | gene=PVPAM_120057300 | organism=Plasmodium_vivax_PAM | gene_product=Pv-fam-g protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG4] | transcript_product=Pv-fam-g protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG4] | location=CASCJQ010000012:2122188-2122646(+) | protein_length=152 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722337.1         -            152 13271at5820          -            126     7e-68  225.4  31.0   2   2   1.2e-58   2.5e-55  184.8  18.6    28   126    45   150    32   150 0.91 | transcript=PVPAM_120057300_t1 | gene=PVPAM_120057300 | organism=Plasmodium_vivax_PAM | gene_product=Pv-fam-g protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG4] | transcript_product=Pv-fam-g protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG4] | location=CASCJQ010000012:2122188-2122646(+) | protein_length=152 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722331.1         -            624 13271at5820          -            126     1e-12   47.1  16.4   1   5    0.0039       8.5    5.3   0.3    93   123   112   142   106   145 0.79 | transcript=PVPAM_120056800_t1 | gene=PVPAM_120056800 | organism=Plasmodium_vivax_PAM | gene_product=Pv-fam-g protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG2] | transcript_product=Pv-fam-g protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG2] | location=CASCJQ010000012:2101748-2103622(-) | protein_length=624 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722331.1         -            624 13271at5820          -            126     1e-12   47.1  16.4   2   5   4.7e-16     1e-12   47.1  16.4    29   104   174   249   159   260 0.90 | transcript=PVPAM_120056800_t1 | gene=PVPAM_120056800 | organism=Plasmodium_vivax_PAM | gene_product=Pv-fam-g protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG2] | transcript_product=Pv-fam-g protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG2] | location=CASCJQ010000012:2101748-2103622(-) | protein_length=624 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722331.1         -            624 13271at5820          -            126     1e-12   47.1  16.4   3   5       0.4   8.6e+02   -1.1   0.3    88   102   327   341   301   397 0.62 | transcript=PVPAM_120056800_t1 | gene=PVPAM_120056800 | organism=Plasmodium_vivax_PAM | gene_product=Pv-fam-g protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG2] | transcript_product=Pv-fam-g protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG2] | location=CASCJQ010000012:2101748-2103622(-) | protein_length=624 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722331.1         -            624 13271at5820          -            126     1e-12   47.1  16.4   4   5      0.94     2e+03   -2.4   1.3    61    91   447   478   427   516 0.53 | transcript=PVPAM_120056800_t1 | gene=PVPAM_120056800 | organism=Plasmodium_vivax_PAM | gene_product=Pv-fam-g protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG2] | transcript_product=Pv-fam-g protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG2] | location=CASCJQ010000012:2101748-2103622(-) | protein_length=624 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722331.1         -            624 13271at5820          -            126     1e-12   47.1  16.4   5   5         1   2.2e+03   -2.5   0.5    25    40   501   515   482   553 0.57 | transcript=PVPAM_120056800_t1 | gene=PVPAM_120056800 | organism=Plasmodium_vivax_PAM | gene_product=Pv-fam-g protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG2] | transcript_product=Pv-fam-g protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHG2] | location=CASCJQ010000012:2101748-2103622(-) | protein_length=624 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722338.1         -            189 13271at5820          -            126   8.6e-10   37.6   7.9   1   2     4e-13   8.6e-10   37.6   7.9    48   102    15    69     4    96 0.81 | transcript=PVPAM_120057400_t1 | gene=PVPAM_120057400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2123968-2124537(-) | protein_length=189 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722338.1         -            189 13271at5820          -            126   8.6e-10   37.6   7.9   2   2      0.19   4.2e+02   -0.1   0.1    50    68   132   150   114   165 0.70 | transcript=PVPAM_120057400_t1 | gene=PVPAM_120057400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2123968-2124537(-) | protein_length=189 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
